domain_name,tier,qa_tier,parquet_stem,parquet_exists,parquet_path,canonical_output,linkage_anchor_family,note_scope,canonical_target,is_sub_prompt,classification
complications__sub,v1,critical,note_entities_llm_complications_rln_laryngoscopy,True,/Users/loganglosser/THYROID_2026/processed/output/v2_parquets/note_entities_llm_complications_rln_laryngoscopy.parquet,False,operative,all,note_entities_complications,True,child-enrichment
medications__sub,v1,standard,note_entities_llm_medication_management,True,/Users/loganglosser/THYROID_2026/processed/output/v2_parquets/note_entities_llm_medication_management.parquet,False,followup,all,note_entities_medications,True,child-enrichment
operative_detail__sub,v1,standard,note_entities_llm_operative_details,True,/Users/loganglosser/THYROID_2026/processed/output/v2_parquets/note_entities_llm_operative_details.parquet,False,operative,op_note,note_entities_operative_detail,True,child-enrichment
operative_detail__sub,v1,standard,note_entities_llm_operative_v2_enrichment,True,/Users/loganglosser/THYROID_2026/processed/output/v2_parquets/note_entities_llm_operative_v2_enrichment.parquet,False,operative,op_note,note_entities_operative_detail,True,child-enrichment
parathyroid_detail__sub,v2,standard,note_entities_llm_parathyroid_per_gland,True,/Users/loganglosser/THYROID_2026/processed/output/v2_parquets/note_entities_llm_parathyroid_per_gland.parquet,False,operative,op_note,note_entities_llm_parathyroid_detail,True,child-enrichment
genetics__sub,v1,critical,note_entities_llm_molecular_thyroseq_afirma,True,/Users/loganglosser/THYROID_2026/processed/output/v2_parquets/note_entities_llm_molecular_thyroseq_afirma.parquet,False,molecular,all,note_entities_genetics,True,child-enrichment
UNCLAIMED,unknown,unknown,note_entities_llm_procedures,True,/Users/loganglosser/THYROID_2026/processed/output/v2_parquets/note_entities_llm_procedures.parquet,False,unknown,unknown,,False,unclaimed
UNCLAIMED,unknown,unknown,note_entities_llm_medications,True,/Users/loganglosser/THYROID_2026/processed/output/v2_parquets/note_entities_llm_medications.parquet,False,unknown,unknown,,False,unclaimed
UNCLAIMED,unknown,unknown,note_entities_llm_genetics,True,/Users/loganglosser/THYROID_2026/processed/output/v2_parquets/note_entities_llm_genetics.parquet,False,unknown,unknown,,False,unclaimed
UNCLAIMED,unknown,unknown,note_entities_llm_problem_list,True,/Users/loganglosser/THYROID_2026/processed/output/v2_parquets/note_entities_llm_problem_list.parquet,False,unknown,unknown,,False,unclaimed
UNCLAIMED,unknown,unknown,note_entities_llm_staging,True,/Users/loganglosser/THYROID_2026/processed/output/v2_parquets/note_entities_llm_staging.parquet,False,unknown,unknown,,False,unclaimed
UNCLAIMED,unknown,unknown,note_entities_llm_complications,True,/Users/loganglosser/THYROID_2026/processed/output/v2_parquets/note_entities_llm_complications.parquet,False,unknown,unknown,,False,unclaimed
