overall_stage_ajcc7,I,II,III,IVB,All
I,244,0,0,0,244
II,17,1,0,0,18
III,75,66,0,0,141
IVA,61,109,19,0,189
IVC,0,0,0,1,1
All,397,176,19,1,593
