column_name,n_tables,n_distinct_dtypes,drift_classification,priority,dtypes_per_table,evidence,recommended_action,cf_tag
research_id,55,3,DATA-LOSS-RISK,high,canonical_airway_invasion_events_v1:VARCHAR | canonical_airway_invasion_patient_rollup_v1:VARCHAR | canonical_cervical_ln_clinical_events_v1:VARCHAR | canonical_cervical_ln_clinical_patient_rollup_v1:VARCHAR | canonical_complications_events_v1:VARCHAR | canonical_complications_patient_rollup_v1:VARCHAR | canonical_esophageal_invasion_events_v1:VARCHAR | canonical_esophageal_invasion_patient_rollup_v1:VARCHAR | canonical_ete_event_resolved_v1:INTEGER | canonical_ete_inline_adjudication_v1:VARCHAR | canonical_ete_subgrade_events_v1:VARCHAR | canonical_ete_subgrade_patient_rollup_v1:VARCHAR | canonical_fna_events_v1:VARCHAR | canonical_fna_patient_rollup_v1:VARCHAR | canonical_frozen_section_events_v1:VARCHAR | canonical_frozen_section_patient_rollup_v1:VARCHAR | canonical_invasion_events_v1:BIGINT | canonical_invasion_patient_rollup_v1:BIGINT | canonical_labs_calcium_v1:BIGINT | canonical_labs_pth_v1:BIGINT | canonical_labs_thyroglobulin_v1:BIGINT | canonical_labs_tsh_v1:BIGINT | canonical_labs_vitamin_d_v1:BIGINT | canonical_medications_events_v1:VARCHAR | canonical_medications_patient_rollup_v1:VARCHAR | canonical_molecular_genetics_from_notes_v2:VARCHAR | canonical_molecular_genetics_v2:VARCHAR | canonical_operative_events_v1:BIGINT | canonical_operative_patient_rollup_v1:BIGINT | canonical_operative_procedure_codes_v1:BIGINT | canonical_parathyroid_events_v1:VARCHAR | canonical_parathyroid_patient_rollup_v1:VARCHAR | canonical_path_benign_events_v1:BIGINT | canonical_path_benign_patient_rollup_v1:BIGINT | canonical_path_gland_events_v1:BIGINT | canonical_path_gland_patient_rollup_v1:BIGINT | canonical_path_malignant_events_v1:INTEGER | canonical_path_malignant_patient_rollup_v1:BIGINT | canonical_pathology_clinical_events_v1:VARCHAR | canonical_pathology_clinical_patient_rollup_v1:VARCHAR | canonical_patient_master:VARCHAR | canonical_pmh_events_v1:VARCHAR | canonical_pmh_patient_rollup_v1:VARCHAR | canonical_psh_events_v1:VARCHAR | canonical_psh_patient_rollup_v1:VARCHAR | canonical_recurrence_resolved_v1:VARCHAR | canonical_recurrence_v1:VARCHAR | canonical_survival_followup_v1:VARCHAR | canonical_t4b_invasion_events_v1:VARCHAR | canonical_t4b_invasion_patient_rollup_v1:VARCHAR | canonical_us_lymph_node_v2:INTEGER | canonical_us_nodule_v2:INTEGER | canonical_us_thyroid_gland_v2:INTEGER | canonical_vascular_invasion_events_v1:VARCHAR | canonical_vascular_invasion_patient_rollup_v1:VARCHAR,identifier key dtype drift; explicit CAST is required for portable joins,do not parse as measurement; standardize join code to CAST(other.research_id AS VARCHAR) or evaluate long-term key retype,CF-mig170-DTYPE-DRIFT-DATA_LOSS_RISK-research_id
bethesda_category,2,2,DATA-LOSS-RISK,high,canonical_molecular_genetics_v2:INTEGER | canonical_patient_master:VARCHAR,numeric values mixed with VARCHAR; COALESCE/JOIN code may silently coerce or fail,open high-priority mig_170b numeric retype/parse follow-up,CF-mig170-DTYPE-DRIFT-DATA_LOSS_RISK-bethesda_category
first_surgery_date,3,2,CASTABLE,medium,canonical_patient_master:TIMESTAMP | canonical_recurrence_v1:TIMESTAMP | canonical_survival_followup_v1:DATE,DATE/TIMESTAMP calendar drift; DATE is a subset but equality can fail without CAST,open mig_170b date-retype/cast lane; prefer DATE for clinical calendar dates,CF-mig170-DTYPE-DRIFT-CASTABLE-first_surgery_date
vessel_count,2,2,CASTABLE,low,canonical_patient_master:DOUBLE | canonical_vascular_invasion_events_v1:INTEGER,numeric-family drift; integer values may be widened to floating/decimal,review semantics; standardize only if model code requires integer typing,CF-mig170-DTYPE-DRIFT-CASTABLE-vessel_count
bethesda_final,4,2,BENIGN,low,canonical_fna_patient_rollup_v1:INTEGER | canonical_path_benign_patient_rollup_v1:BIGINT | canonical_path_malignant_patient_rollup_v1:BIGINT | canonical_patient_master:BIGINT,integer widths auto-cast safely in DuckDB joins,document only; no carry-forward,
bethesda_index_nodule,2,2,BENIGN,low,canonical_fna_patient_rollup_v1:INTEGER | canonical_patient_master:BIGINT,integer widths auto-cast safely in DuckDB joins,document only; no carry-forward,
bethesda_max_preop_2010,2,2,BENIGN,low,canonical_fna_patient_rollup_v1:INTEGER | canonical_patient_master:BIGINT,integer widths auto-cast safely in DuckDB joins,document only; no carry-forward,
bethesda_max_preop_2015,2,2,BENIGN,low,canonical_fna_patient_rollup_v1:INTEGER | canonical_patient_master:BIGINT,integer widths auto-cast safely in DuckDB joins,document only; no carry-forward,
bethesda_max_preop_2023,2,2,BENIGN,low,canonical_fna_patient_rollup_v1:INTEGER | canonical_patient_master:BIGINT,integer widths auto-cast safely in DuckDB joins,document only; no carry-forward,
n_surgeries,2,2,BENIGN,low,canonical_operative_patient_rollup_v1:BIGINT | canonical_patient_master:INTEGER,integer widths auto-cast safely in DuckDB joins,document only; no carry-forward,
worst_bethesda_num,2,2,BENIGN,low,canonical_fna_patient_rollup_v1:INTEGER | canonical_patient_master:BIGINT,integer widths auto-cast safely in DuckDB joins,document only; no carry-forward,
