column_name,n_tables_with_col,n_distinct_dtypes,dtypes,table_dtype_pairs,tables_with_col
worst_bethesda_num,2,2,BIGINT | INTEGER,canonical_fna_patient_rollup_v1:INTEGER | canonical_patient_master:BIGINT,canonical_fna_patient_rollup_v1 | canonical_patient_master
source_table,8,1,VARCHAR,canonical_complications_events_v1:VARCHAR | canonical_invasion_events_v1:VARCHAR | canonical_medications_events_v1:VARCHAR | canonical_path_benign_events_v1:VARCHAR | canonical_path_gland_events_v1:VARCHAR | canonical_patient_master:VARCHAR | canonical_pmh_events_v1:VARCHAR | canonical_psh_events_v1:VARCHAR,canonical_complications_events_v1 | canonical_invasion_events_v1 | canonical_medications_events_v1 | canonical_path_benign_events_v1 | canonical_path_gland_events_v1 | canonical_patient_master | canonical_pmh_events_v1 | canonical_psh_events_v1
laterality,7,1,VARCHAR,canonical_ete_event_resolved_v1:VARCHAR | canonical_fna_events_v1:VARCHAR | canonical_operative_events_v1:VARCHAR | canonical_path_malignant_events_v1:VARCHAR | canonical_patient_master:VARCHAR | canonical_us_lymph_node_v2:VARCHAR | canonical_us_nodule_v2:VARCHAR,canonical_ete_event_resolved_v1 | canonical_fna_events_v1 | canonical_operative_events_v1 | canonical_path_malignant_events_v1 | canonical_patient_master | canonical_us_lymph_node_v2 | canonical_us_nodule_v2
bethesda_final_name,4,1,VARCHAR,canonical_fna_patient_rollup_v1:VARCHAR | canonical_path_benign_patient_rollup_v1:VARCHAR | canonical_path_malignant_patient_rollup_v1:VARCHAR | canonical_patient_master:VARCHAR,canonical_fna_patient_rollup_v1 | canonical_path_benign_patient_rollup_v1 | canonical_path_malignant_patient_rollup_v1 | canonical_patient_master
bethesda_confidence,3,1,DOUBLE,canonical_fna_events_v1:DOUBLE | canonical_fna_patient_rollup_v1:DOUBLE | canonical_patient_master:DOUBLE,canonical_fna_events_v1 | canonical_fna_patient_rollup_v1 | canonical_patient_master
ete_grade,3,1,VARCHAR,canonical_ete_event_resolved_v1:VARCHAR | canonical_ete_subgrade_events_v1:VARCHAR | canonical_patient_master:VARCHAR,canonical_ete_event_resolved_v1 | canonical_ete_subgrade_events_v1 | canonical_patient_master
perineural_invasion,3,1,VARCHAR,canonical_path_malignant_events_v1:VARCHAR | canonical_patient_master:VARCHAR | canonical_vascular_invasion_events_v1:VARCHAR,canonical_path_malignant_events_v1 | canonical_patient_master | canonical_vascular_invasion_events_v1
ajcc7_stage_calculable_flag,2,1,BOOLEAN,canonical_path_malignant_events_v1:BOOLEAN | canonical_patient_master:BOOLEAN,canonical_path_malignant_events_v1 | canonical_patient_master
ajcc8_stage_calculable_flag,2,1,BOOLEAN,canonical_path_malignant_events_v1:BOOLEAN | canonical_patient_master:BOOLEAN,canonical_path_malignant_events_v1 | canonical_patient_master
any_airway_anywhere,2,1,BOOLEAN,canonical_invasion_patient_rollup_v1:BOOLEAN | canonical_patient_master:BOOLEAN,canonical_invasion_patient_rollup_v1 | canonical_patient_master
any_capsular_anywhere,2,1,BOOLEAN,canonical_invasion_patient_rollup_v1:BOOLEAN | canonical_patient_master:BOOLEAN,canonical_invasion_patient_rollup_v1 | canonical_patient_master
any_ete_anywhere,2,1,BOOLEAN,canonical_invasion_patient_rollup_v1:BOOLEAN | canonical_patient_master:BOOLEAN,canonical_invasion_patient_rollup_v1 | canonical_patient_master
any_ete_in_imaging,2,1,BOOLEAN,canonical_invasion_patient_rollup_v1:BOOLEAN | canonical_patient_master:BOOLEAN,canonical_invasion_patient_rollup_v1 | canonical_patient_master
any_ete_in_op_or_path,2,1,BOOLEAN,canonical_invasion_patient_rollup_v1:BOOLEAN | canonical_patient_master:BOOLEAN,canonical_invasion_patient_rollup_v1 | canonical_patient_master
any_ete_present_not_further_specified_anywhere,2,1,BOOLEAN,canonical_invasion_patient_rollup_v1:BOOLEAN | canonical_patient_master:BOOLEAN,canonical_invasion_patient_rollup_v1 | canonical_patient_master
any_ete_present_not_further_specified_in_imaging,2,1,BOOLEAN,canonical_invasion_patient_rollup_v1:BOOLEAN | canonical_patient_master:BOOLEAN,canonical_invasion_patient_rollup_v1 | canonical_patient_master
any_ete_present_not_further_specified_in_op_or_path,2,1,BOOLEAN,canonical_invasion_patient_rollup_v1:BOOLEAN | canonical_patient_master:BOOLEAN,canonical_invasion_patient_rollup_v1 | canonical_patient_master
any_lymphatic_microscopic_anywhere,2,1,BOOLEAN,canonical_invasion_patient_rollup_v1:BOOLEAN | canonical_patient_master:BOOLEAN,canonical_invasion_patient_rollup_v1 | canonical_patient_master
any_microscopic_ete_anywhere,2,1,BOOLEAN,canonical_invasion_patient_rollup_v1:BOOLEAN | canonical_patient_master:BOOLEAN,canonical_invasion_patient_rollup_v1 | canonical_patient_master
any_perineural_anywhere,2,1,BOOLEAN,canonical_invasion_patient_rollup_v1:BOOLEAN | canonical_patient_master:BOOLEAN,canonical_invasion_patient_rollup_v1 | canonical_patient_master
any_soft_tissue_anywhere,2,1,BOOLEAN,canonical_invasion_patient_rollup_v1:BOOLEAN | canonical_patient_master:BOOLEAN,canonical_invasion_patient_rollup_v1 | canonical_patient_master
any_vascular_microscopic_anywhere,2,1,BOOLEAN,canonical_invasion_patient_rollup_v1:BOOLEAN | canonical_patient_master:BOOLEAN,canonical_invasion_patient_rollup_v1 | canonical_patient_master
bethesda_derivation_methods,2,1,VARCHAR,canonical_fna_patient_rollup_v1:VARCHAR | canonical_patient_master:VARCHAR,canonical_fna_patient_rollup_v1 | canonical_patient_master
bethesda_index_nodule_linkage_source,2,1,VARCHAR,canonical_fna_patient_rollup_v1:VARCHAR | canonical_patient_master:VARCHAR,canonical_fna_patient_rollup_v1 | canonical_patient_master
biochemical_tg_at_recurrence,2,1,DOUBLE,canonical_patient_master:DOUBLE | canonical_recurrence_v1:DOUBLE,canonical_patient_master | canonical_recurrence_v1
braf_variant,2,1,VARCHAR,canonical_molecular_genetics_v2:VARCHAR | canonical_patient_master:VARCHAR,canonical_molecular_genetics_v2 | canonical_patient_master
cross_fna_concordance,2,1,VARCHAR,canonical_fna_patient_rollup_v1:VARCHAR | canonical_patient_master:VARCHAR,canonical_fna_patient_rollup_v1 | canonical_patient_master
death_date,2,1,DATE,canonical_patient_master:DATE | canonical_survival_followup_v1:DATE,canonical_patient_master | canonical_survival_followup_v1
ete_grade_source,2,1,VARCHAR,canonical_ete_event_resolved_v1:VARCHAR | canonical_patient_master:VARCHAR,canonical_ete_event_resolved_v1 | canonical_patient_master
histology_source,2,1,VARCHAR,canonical_path_malignant_events_v1:VARCHAR | canonical_patient_master:VARCHAR,canonical_path_malignant_events_v1 | canonical_patient_master
margin_status,2,1,VARCHAR,canonical_path_malignant_events_v1:VARCHAR | canonical_patient_master:VARCHAR,canonical_path_malignant_events_v1 | canonical_patient_master
ras_subtype,2,1,VARCHAR,canonical_molecular_genetics_v2:VARCHAR | canonical_patient_master:VARCHAR,canonical_molecular_genetics_v2 | canonical_patient_master
recurrence_confirmed,2,1,BOOLEAN,canonical_patient_master:BOOLEAN | canonical_recurrence_v1:BOOLEAN,canonical_patient_master | canonical_recurrence_v1
recurrence_date,2,1,TIMESTAMP,canonical_patient_master:TIMESTAMP | canonical_recurrence_v1:TIMESTAMP,canonical_patient_master | canonical_recurrence_v1
recurrence_definition,2,1,VARCHAR,canonical_patient_master:VARCHAR | canonical_recurrence_v1:VARCHAR,canonical_patient_master | canonical_recurrence_v1
recurrence_evidence_source,2,1,VARCHAR,canonical_patient_master:VARCHAR | canonical_recurrence_v1:VARCHAR,canonical_patient_master | canonical_recurrence_v1
recurrence_histology,2,1,VARCHAR,canonical_patient_master:VARCHAR | canonical_recurrence_v1:VARCHAR,canonical_patient_master | canonical_recurrence_v1
recurrence_site,2,1,VARCHAR,canonical_patient_master:VARCHAR | canonical_recurrence_v1:VARCHAR,canonical_patient_master | canonical_recurrence_v1
recurrence_type,2,1,VARCHAR,canonical_patient_master:VARCHAR | canonical_recurrence_v1:VARCHAR,canonical_patient_master | canonical_recurrence_v1
stage_migration_7_to_8,2,1,VARCHAR,canonical_path_malignant_events_v1:VARCHAR | canonical_patient_master:VARCHAR,canonical_path_malignant_events_v1 | canonical_patient_master
time_to_recurrence_days,2,1,DOUBLE,canonical_patient_master:DOUBLE | canonical_recurrence_v1:DOUBLE,canonical_patient_master | canonical_recurrence_v1
vital_status,2,1,VARCHAR,canonical_ete_event_resolved_v1:VARCHAR | canonical_patient_master:VARCHAR,canonical_ete_event_resolved_v1 | canonical_patient_master
