n_either_nonnull,n_both_nonnull_no_exact_match,n_pm_only,n_tier2_only,n_tier2_multi_value_patients,max_tier2_distinct_values_per_patient,column_name,tier2_table,pm_data_type,tier2_data_type,probe_status
10871,0,6734,0,0,1,research_id,canonical_ete_event_resolved_v1,VARCHAR,INTEGER,ok
10871,0,0,0,0,1,research_id,canonical_invasion_events_v1,VARCHAR,BIGINT,ok
10871,0,0,0,0,1,research_id,canonical_invasion_patient_rollup_v1,VARCHAR,BIGINT,ok
10871,0,10705,0,0,1,research_id,canonical_labs_calcium_v1,VARCHAR,BIGINT,ok
10871,0,10687,0,0,1,research_id,canonical_labs_pth_v1,VARCHAR,BIGINT,ok
10871,0,8150,0,0,1,research_id,canonical_labs_thyroglobulin_v1,VARCHAR,BIGINT,ok
10871,0,10422,0,0,1,research_id,canonical_labs_tsh_v1,VARCHAR,BIGINT,ok
10871,0,10789,0,0,1,research_id,canonical_labs_vitamin_d_v1,VARCHAR,BIGINT,ok
10871,0,0,0,0,1,research_id,canonical_operative_events_v1,VARCHAR,BIGINT,ok
10871,0,0,0,0,1,research_id,canonical_operative_patient_rollup_v1,VARCHAR,BIGINT,ok
10871,0,6160,0,0,1,research_id,canonical_operative_procedure_codes_v1,VARCHAR,BIGINT,ok
10871,0,0,0,0,1,research_id,canonical_path_benign_events_v1,VARCHAR,BIGINT,ok
10871,0,0,0,0,1,research_id,canonical_path_benign_patient_rollup_v1,VARCHAR,BIGINT,ok
10871,0,140,0,0,1,research_id,canonical_path_gland_events_v1,VARCHAR,BIGINT,ok
10871,0,140,0,0,1,research_id,canonical_path_gland_patient_rollup_v1,VARCHAR,BIGINT,ok
10871,0,6734,0,0,1,research_id,canonical_path_malignant_events_v1,VARCHAR,INTEGER,ok
10871,0,6734,0,0,1,research_id,canonical_path_malignant_patient_rollup_v1,VARCHAR,BIGINT,ok
10871,0,6794,0,0,1,research_id,canonical_us_lymph_node_v2,VARCHAR,INTEGER,ok
10871,0,4348,0,0,1,research_id,canonical_us_nodule_v2,VARCHAR,INTEGER,ok
10871,0,12,0,0,1,research_id,canonical_us_thyroid_gland_v2,VARCHAR,INTEGER,ok
5026,0,5026,0,0,0,bethesda_category,canonical_molecular_genetics_v2,VARCHAR,INTEGER,ok
