review_id,run_label,llm_entity_id,research_id,domain,entity_type,algorithm_status,verification_status,reviewer,reviewed_at,waiver_reason,created_at,decision_batch_id,source_object_id,evidence_ref
,20260407_tier_policy_review_gate,,,_tier_batch_summary,,existing_missing_fill_candidate,policy_batch_adjudication,tier_policy_governance_20260407,2026-04-07 15:21:19,"tier_policy batch 20260407_tier_policy; counts={'standard': 3081, 'critical': 1646, 'informational': 893}; memo=studies/20260407_tier_policy_review_gate/TIER_POLICY_BATCH_MEMO.md",2026-04-07 15:21:32.144547,20260407_tier_policy,,studies/20260407_tier_policy_review_gate/TIER_POLICY_BATCH_MEMO.md
,gate,,,_tier_batch_summary,,existing_missing_fill_candidate,policy_batch,tier_policy_script_127,,domain_mapping_rules.md tier bulk (127),2026-04-07 00:05:32.311145,legacy_rc_tier_20260407,,docs/domain_mapping_rules.md
,promotion_gate,,,_tier_batch_summary,,existing_missing_fill_candidate,policy_batch,tier_policy_script_127,,domain_mapping_rules.md tier bulk (127),2026-04-07 00:09:21.229696,legacy_rc_tier_20260407,,docs/domain_mapping_rules.md
