LND_Intent,N,Recurrence_n,Recurrence_pct,RLN_n,RLN_pct,Mean_LN_examined,Mean_LN_positive
prophylactic,1010,226,22.38,7,0.69,2.3,0.0
therapeutic,231,148,64.07,5,2.16,6.1,3.4
