Stratum,N,Female n (%),Age median [IQR],Preop nodule cm median [n with size],Bethesda I,Bethesda II,Bethesda III,Bethesda IV,Bethesda V,Bethesda VI,Afirma n (%),ThyroSeq n (%),Any named platform n (%),TIRADS ≥4 n (% of patients with TIRADS),Pre-2015 n (%),2015+ n (%),Total thyroidectomy n (%),Lobectomy n (%),Malignant on final pathology n (%)
Overall,8368,6572 (78.5),52 [40–63],1.33 [n=2038],164 (4.2),1644 (41.9),444 (11.3),489 (12.5),216 (5.5),964 (24.6),224 (2.7),273 (3.3),497 (5.9),"1293 (62.7, n=2061)",3756 (44.9),4612 (55.1),4559 (54.5),3809 (45.5),3093 (37.0)
Initial lobectomy,3809,3022 (79.3),53 [41–64],1.29 [n=994],114 (5.8),999 (51.2),280 (14.3),330 (16.9),57 (2.9),173 (8.9),110 (2.9),151 (4.0),261 (6.9),"599 (59.5, n=1006)",1837 (48.2),1972 (51.8),0 (0.0),3809 (100.0),996 (26.1)
Initial total thyroidectomy,4559,3550 (77.9),51 [39–62],1.37 [n=1044],50 (2.5),645 (32.8),164 (8.3),159 (8.1),159 (8.1),791 (40.2),114 (2.5),122 (2.7),236 (5.2),"694 (65.8, n=1055)",1919 (42.1),2640 (57.9),4559 (100.0),0 (0.0),2097 (46.0)
Preop nodule <2 cm,1636,1324 (80.9),54 [42–65],1.14 [n=1636],32 (2.8),464 (41.0),182 (16.1),144 (12.7),62 (5.5),249 (22.0),57 (3.5),151 (9.2),208 (12.7),"888 (54.3, n=1636)",62 (3.8),1574 (96.2),821 (50.2),815 (49.8),687 (42.0)
Preop nodule 2–4 cm,400,313 (78.2),55 [42–65],2.34 [n=400],15 (4.9),87 (28.4),43 (14.1),27 (8.8),25 (8.2),109 (35.6),12 (3.0),45 (11.2),57 (14.2),"387 (96.8, n=400)",8 (2.0),392 (98.0),222 (55.5),178 (44.5),232 (58.0)
Preop nodule >4 cm,2,1 (50.0),37 [37–55],4.16 [n=2],0 (0.0),1 (50.0),0 (0.0),0 (0.0),0 (0.0),1 (50.0),1 (50.0),0 (0.0),1 (50.0),"2 (100.0, n=2)",0 (0.0),2 (100.0),1 (50.0),1 (50.0),1 (50.0)
Era pre-2015,3756,2956 (78.7),51 [39–61],1.19 [n=70],78 (4.9),790 (49.4),90 (5.6),214 (13.4),65 (4.1),363 (22.7),3 (0.1),6 (0.2),9 (0.2),"31 (44.3, n=70)",3756 (100.0),0 (0.0),1919 (51.1),1837 (48.9),1215 (32.3)
Era 2015+,4612,3616 (78.4),53 [41–64],1.34 [n=1968],86 (3.7),854 (36.8),354 (15.3),275 (11.8),151 (6.5),601 (25.9),221 (4.8),267 (5.8),488 (10.6),"1262 (63.4, n=1991)",0 (0.0),4612 (100.0),2640 (57.2),1972 (42.8),1878 (40.7)
