extraction_run_id,success,extractor_build_version,n_facts
041acebc74d363d8,,,10867
68483e56c985a1a3,,,9806
dddebc4a6a92212f,,,8403
093c5f238111609a,,,4241
19767775cd46e133,,,3918
322e921410bc66d7,,,3744
3b433984093f89b7,,,3289
a45caebdf6d06f4f,,,3076
50e9b609ab9387ea,,,2447
25ba7e3c17eff716,,,1919
c055dc16e54d40b6,,,865
344d6dfb3670c379,,,640
2fbc3771e9df3f08,,,518
b0af7c1101e36316,,,375
24dd963bba313b3a,,,281
d985d85e839ae72a,,,279
a9b0d632096fedd6,,,248
8acb312077fc3e37,,,176
7b33eb696c6e6b52,,,167
34376bf3142d954a,,,104
4f8c3acc29686c49,,,52
1fd8a4fae0eb036c,,,47
97f83b63edbdd844,,,38
