table_schema,table_name,table_type
main,_specimen_path_surgery_link_v1,VIEW
main,_specimen_synoptic_spine_v1,VIEW
main,analysis_cancer_cohort_v1,BASE TABLE
main,analysis_molecular_subset_v1,BASE TABLE
main,analysis_recurrence_subset_v1,BASE TABLE
main,analysis_tirads_subset_v1,BASE TABLE
main,canonical_extracted_fact_long_v1,BASE TABLE
main,canonical_extracted_fact_long_v2,BASE TABLE
main,canonical_fact_quarantine_v1,BASE TABLE
main,canonical_fact_quarantine_v2,BASE TABLE
main,canonical_nodule_linkage_study_v1,VIEW
main,clinical_notes_long,BASE TABLE
main,complication_patient_summary_v1,BASE TABLE
main,complication_phenotype_v1,BASE TABLE
main,ct_imaging,BASE TABLE
main,episode_analysis_resolved_v1_dedup,BASE TABLE
main,episode_completeness_summary_v,VIEW
main,event_date_audit_v2,BASE TABLE
main,extracted_braf_recovery_v1,BASE TABLE
main,extracted_complications_refined_v5,BASE TABLE
main,extracted_ete_subgraded_v1,BASE TABLE
main,extracted_fna_bethesda_v1,BASE TABLE
main,extracted_postop_labs_expanded_v1,BASE TABLE
main,extracted_ras_patient_summary_v1,BASE TABLE
main,extracted_rln_injury_refined_v2,BASE TABLE
main,extracted_tirads_validated_v1,BASE TABLE
main,fhir_bundle_specimen_export_v1,BASE TABLE
main,fhir_encounter_v1,BASE TABLE
main,fhir_episode_of_care_v1,BASE TABLE
main,fhir_patient_deid_map_v1,BASE TABLE
main,fhir_procedure_collection_v1,BASE TABLE
main,fhir_specimen_v1,BASE TABLE
main,fna_cytology,BASE TABLE
main,fna_episode_master_v2,BASE TABLE
main,fna_history,BASE TABLE
main,fna_molecular_linkage_v3,BASE TABLE
main,gold_llm_verified_facts,BASE TABLE
main,gold_master_episode_events_v1,VIEW
main,gold_master_patient_facts_v1,VIEW
main,imaging_exam_master_v1,BASE TABLE
main,imaging_fna_linkage_mm_v1,BASE TABLE
main,imaging_fna_linkage_v3,BASE TABLE
main,imaging_nodule_long_v2,BASE TABLE
main,imaging_nodule_master_v1,BASE TABLE
main,imaging_patient_summary_v1,BASE TABLE
main,lab_cross_wave_dedup_map_v1,BASE TABLE
main,lab_cross_wave_review_v1,BASE TABLE
main,lab_same_day_value_review_v1,BASE TABLE
main,lesion_analysis_resolved_v1,BASE TABLE
main,linkage_ambiguity_review_v1,BASE TABLE
main,linkage_master_v1,BASE TABLE
main,linkage_summary_v,VIEW
main,linkage_summary_v3,BASE TABLE
main,longitudinal_lab_canonical_v1,BASE TABLE
main,longitudinal_lab_deduped_v,VIEW
main,manuscript_cohort_v1,BASE TABLE
main,master_fact_long_verified_v1,VIEW
main,master_patient_rollup_verified_v1,VIEW
main,master_source_lineage_v1,VIEW
main,md_extracted_fna_bethesda_v1,BASE TABLE
main,md_path_synoptics_encounter_qc_v1,BASE TABLE
main,md_synoptic_tumor_long_v1,BASE TABLE
main,md_val_path_synoptic_encounter_isolation_v1,BASE TABLE
main,molecular_assay_dictionary,BASE TABLE
main,molecular_code_crosswalk,BASE TABLE
main,molecular_fact_lineage_qa_duplicate_candidates_v,VIEW
main,molecular_fact_long_base_v,VIEW
main,molecular_fact_long_v,VIEW
main,molecular_ingestion_runs,BASE TABLE
main,molecular_normalization_review_v1,VIEW
main,molecular_patient_rollup_v,VIEW
main,molecular_qc_summary_v,VIEW
