object,checked_in_count,live_count,status
canonical_extracted_fact_long_v2,55500,55500,MATCH
canonical_fact_quarantine_v2,199,199,MATCH
note_extraction_runs,3,3,MATCH
master_fact_long_verified_v1,55500,55500,MATCH
master_patient_rollup_verified_v1,5141,5141,MATCH
master_source_lineage_v1,55500,55500,MATCH
longitudinal_lab_canonical_v1,77960,77960,MATCH
longitudinal_lab_deduped_v,56198,56198,MATCH
specimen_master_v1,10139,10139,MATCH
specimen_tumor_focus_v1,11103,11103,MATCH
specimen_genomic_assay_v1,10370,10370,MATCH
fhir_bundle_specimen_export_v1,10139,10139,MATCH
