extraction_run_id,fact_domain,n_facts,n_patients,min_extracted,max_extracted,with_source_file,with_domain
041acebc74d363d8,pathology,10867,2219,2026-03-30T05:47:35.394524+00:00,2026-03-31T12:13:08.654879+00:00,0,10867
68483e56c985a1a3,survival_followup,9806,2982,2026-04-01T04:08:07.533037+00:00,2026-04-02T12:13:06.670872+00:00,0,9806
dddebc4a6a92212f,imaging,8403,1755,2026-03-29T16:45:26.600355+00:00,2026-03-30T05:47:24.413222+00:00,0,8403
093c5f238111609a,vascular_invasion,4241,998,2026-04-01T04:35:38.499945+00:00,2026-04-02T20:30:41.797347+00:00,0,4241
19767775cd46e133,past_surgical_hx,3918,1877,2026-04-02T09:24:26.806610+00:00,2026-04-02T23:58:50.283349+00:00,0,3918
322e921410bc66d7,rai_detailed,3744,650,2026-04-01T04:47:57.953462+00:00,2026-04-02T07:28:11.282861+00:00,0,3744
3b433984093f89b7,functional_outcomes,3289,1826,2026-04-01T17:31:29.867686+00:00,2026-04-02T09:24:02.073346+00:00,0,3289
a45caebdf6d06f4f,airway_invasion,3076,1448,2026-04-01T16:53:11.058579+00:00,2026-04-02T10:34:28.326833+00:00,0,3076
50e9b609ab9387ea,labs,2447,841,2026-03-31T12:13:22.067715+00:00,2026-04-01T00:48:39.714416+00:00,0,2447
25ba7e3c17eff716,physical_exam,1919,659,2026-03-31T19:39:51.322296+00:00,2026-04-01T04:56:21.722650+00:00,0,1919
c055dc16e54d40b6,past_medical_hx,865,295,2026-03-31T19:39:49.371217+00:00,2026-04-03T04:23:34.952370+00:00,0,865
344d6dfb3670c379,patient_decision_adherence,640,397,2026-04-02T12:14:51.407012+00:00,2026-04-03T05:47:02.945243+00:00,0,640
2fbc3771e9df3f08,rad_treatment,518,187,2026-04-03T08:29:03.943244+00:00,2026-04-03T11:19:12.643723+00:00,0,518
b0af7c1101e36316,frozen_section_detail,375,303,2026-04-03T04:12:27.400362+00:00,2026-04-03T12:52:48.702507+00:00,0,375
24dd963bba313b3a,recurrence,281,137,2026-04-02T03:58:13.596424+00:00,2026-04-02T07:13:16.141327+00:00,0,281
d985d85e839ae72a,presenting_symptoms,279,120,2026-03-31T21:23:01.457086+00:00,2026-04-03T08:25:42.958156+00:00,0,279
a9b0d632096fedd6,parathyroid_detail,248,117,2026-04-02T14:13:24.702828+00:00,2026-04-03T04:07:10.900394+00:00,0,248
8acb312077fc3e37,tirads_granular,176,44,2026-03-31T13:46:01.795668+00:00,2026-04-01T07:31:31.004532+00:00,0,176
7b33eb696c6e6b52,tg_kinetics,167,58,2026-04-03T04:25:41.443280+00:00,2026-04-03T06:55:42.191874+00:00,0,167
34376bf3142d954a,cervical_ln_detail,104,48,2026-04-03T05:48:07.130994+00:00,2026-04-03T08:25:58.023697+00:00,0,104
4f8c3acc29686c49,dynamic_risk_response,52,24,2026-03-31T21:18:01.707473+00:00,2026-04-02T10:40:30.762495+00:00,0,52
1fd8a4fae0eb036c,us_nodule_dynamics,47,18,2026-04-03T09:05:40.269959+00:00,2026-04-03T12:49:20.307912+00:00,0,47
97f83b63edbdd844,synoptic_pathology_enrichment,38,8,2026-04-02T21:51:01.203589+00:00,2026-04-03T02:30:57.378174+00:00,0,38
