extraction_run_id,n_facts,n_patients,n_domains,min_extracted_at,max_extracted_at
041acebc74d363d8,10867,2219,1,2026-03-30T05:47:35.394524+00:00,2026-03-31T12:13:08.654879+00:00
68483e56c985a1a3,9806,2982,1,2026-04-01T04:08:07.533037+00:00,2026-04-02T12:13:06.670872+00:00
dddebc4a6a92212f,8403,1755,1,2026-03-29T16:45:26.600355+00:00,2026-03-30T05:47:24.413222+00:00
093c5f238111609a,4241,998,1,2026-04-01T04:35:38.499945+00:00,2026-04-02T20:30:41.797347+00:00
19767775cd46e133,3918,1877,1,2026-04-02T09:24:26.806610+00:00,2026-04-02T23:58:50.283349+00:00
322e921410bc66d7,3744,650,1,2026-04-01T04:47:57.953462+00:00,2026-04-02T07:28:11.282861+00:00
3b433984093f89b7,3289,1826,1,2026-04-01T17:31:29.867686+00:00,2026-04-02T09:24:02.073346+00:00
a45caebdf6d06f4f,3076,1448,1,2026-04-01T16:53:11.058579+00:00,2026-04-02T10:34:28.326833+00:00
50e9b609ab9387ea,2447,841,1,2026-03-31T12:13:22.067715+00:00,2026-04-01T00:48:39.714416+00:00
25ba7e3c17eff716,1919,659,1,2026-03-31T19:39:51.322296+00:00,2026-04-01T04:56:21.722650+00:00
c055dc16e54d40b6,865,295,1,2026-03-31T19:39:49.371217+00:00,2026-04-03T04:23:34.952370+00:00
344d6dfb3670c379,640,397,1,2026-04-02T12:14:51.407012+00:00,2026-04-03T05:47:02.945243+00:00
2fbc3771e9df3f08,518,187,1,2026-04-03T08:29:03.943244+00:00,2026-04-03T11:19:12.643723+00:00
b0af7c1101e36316,375,303,1,2026-04-03T04:12:27.400362+00:00,2026-04-03T12:52:48.702507+00:00
24dd963bba313b3a,281,137,1,2026-04-02T03:58:13.596424+00:00,2026-04-02T07:13:16.141327+00:00
d985d85e839ae72a,279,120,1,2026-03-31T21:23:01.457086+00:00,2026-04-03T08:25:42.958156+00:00
a9b0d632096fedd6,248,117,1,2026-04-02T14:13:24.702828+00:00,2026-04-03T04:07:10.900394+00:00
8acb312077fc3e37,176,44,1,2026-03-31T13:46:01.795668+00:00,2026-04-01T07:31:31.004532+00:00
7b33eb696c6e6b52,167,58,1,2026-04-03T04:25:41.443280+00:00,2026-04-03T06:55:42.191874+00:00
34376bf3142d954a,104,48,1,2026-04-03T05:48:07.130994+00:00,2026-04-03T08:25:58.023697+00:00
4f8c3acc29686c49,52,24,1,2026-03-31T21:18:01.707473+00:00,2026-04-02T10:40:30.762495+00:00
1fd8a4fae0eb036c,47,18,1,2026-04-03T09:05:40.269959+00:00,2026-04-03T12:49:20.307912+00:00
97f83b63edbdd844,38,8,1,2026-04-02T21:51:01.203589+00:00,2026-04-03T02:30:57.378174+00:00
