metric,value
total_patients,10871
surgical_cohort,10871
analysis_cancer_cohort,4136
manuscript_cohort,10871
episode_dedup,9368
scoring_rows,10871
survival_cohort_enriched,61134
multi_surg_patients,761
multi_surg_episodes,1576
recurrence_flagged,1986
recurrence_exact,54
recurrence_biochem,168
recurrence_unresolved,1764
rai_episodes,1857
rai_with_dose,761
molecular_tested,10025
braf_positive,546
ras_positive,292
tert_positive,96
tirads_patients,3474
imaging_nodule_rows,19891
imaging_fna_linkage,9024
lab_canonical_rows,39961
lab_canonical_patients,3349
tg_patients,2569
adjudication_decisions,0
adjudication_progress,0
complications_refined,358
complications_patients,287
master_v12_rows,12886
demographics_rows,11673
md_table_count,629
op_rln_monitoring,1702
op_drain,169
op_findings_raw,588
op_episodes_total,9371
ep_note_linkage,8323
ep_lab_linkage,12057
ep_chain_linkage,5088
ep_pathrai_linkage,2465
ep_ambiguity_registry,2339
