n_tumors_pre,n_tumors_post,n_patients
1,1,2471
2,2,802
2,1,294
3,3,263
4,4,86
3,2,85
5,5,49
4,3,21
3,1,12
4,2,12
5,3,11
5,4,11
6,3,5
6,5,4
5,2,4
7,5,2
4,1,2
6,2,1
6,4,1
7,2,1
