schema,table,exists,n_rows,n_patients,columns,error
main,clinical_note_thyroid_us_extracted_v1,False,,,,
main,clinical_note_ln_extracted_v1,True,7751,3588,"confidence, count_positive, count_total_examined, data_source_layer, date_confidence, date_source_keyword, entity_date, entity_index, entity_type, entity_value, evidence_source_modality, evidence_text, extraction_error, extraction_phase, extraction_status, extranodal_extension, laterality, ln_level, ln_status, modality_classification_method, note_date, note_row_id, original_llm_model, present_or_negated, research_id, size_cm, source_line, source_note_type, source_sheet, source_workbook",
main,canonical_us_thyroid_gland_v2,True,13578,10859,"background_echogenicity, build_script, calcifications_parenchymal, clinical_impression_text, exam_date, extracted_at, goiter_flag, hashimoto_pattern, heterogeneity, isthmus_thickness_mm, ll_depth_cm, ll_length_cm, ll_volume_ml, ll_width_cm, nlp_backfill_pending, pyramidal_present_flag, radiologist, recommendation_text, research_id, rl_depth_cm, rl_length_cm, rl_volume_ml, rl_width_cm, source_ultrasound_reports, source_us_impression_text, source_us_nodules_tirads, study_indication, substernal_extension_flag, total_thyroid_size_text, total_thyroid_volume_ml, us_exam_id, vascularity_overall",
main,note_entities_llm_cervical_ln_detail,True,10084,5106,"domain, extracted_at, linkage_date, llm_base_url, llm_model, note_date, note_index, note_row_id, note_type, preprocess_batch_id, preprocess_script_version, preprocessed_at_utc, research_id, result_json, source_column, source_sheet, source_workbook",
main,note_entities_llm_tirads_granular,True,10084,5106,"domain, extracted_at, linkage_date, llm_base_url, llm_model, note_date, note_index, note_row_id, note_type, preprocess_batch_id, preprocess_script_version, preprocessed_at_utc, research_id, result_json, source_column, source_sheet, source_workbook",
main,clinical_notes_long,True,11050,5593,"excel_row_0based, ingest_script_version, ingest_sheet_spec, ingested_at_utc, note_index, note_text, note_type, research_id, source_column, source_sheet, source_workbook",
raw,ultrasound_reports,True,6793,4074,"clinical_impression, equipment, ingest_script_version, ingest_sheet_spec, ingested_at_utc, isthmus_thickness, left_lobe_dimensions, left_lobe_volume_ml, lymph_node_assessment, nodule_10_calcifications, nodule_10_composition, nodule_10_dimensions, nodule_10_echogenicity, nodule_10_height_mm, nodule_10_length_mm, nodule_10_location, nodule_10_margins, nodule_10_shape, nodule_10_source_description, nodule_10_source_score, nodule_10_ti_rads, nodule_10_volume, nodule_10_width_mm, nodule_11_calcifications, nodule_11_composition, nodule_11_dimensions, nodule_11_echogenicity, nodule_11_height_mm, nodule_11_length_mm, nodule_11_location, nodule_11_margins, nodule_11_shape, nodule_11_source_description, nodule_11_source_score, nodule_11_ti_rads, nodule_11_volume, nodule_11_width_mm, nodule_12_calcifications, nodule_12_composition, nodule_12_dimensions, nodule_12_echogenicity, nodule_12_height_mm, nodule_12_length_mm, nodule_12_location, nodule_12_margins, nodule_12_shape, nodule_12_source_description, nodule_12_source_score, nodule_12_ti_rads, nodule_12_volume, nodule_12_width_mm, nodule_13_calcifications, nodule_13_composition, nodule_13_dimensions, nodule_13_echogenicity, nodule_13_height_mm, nodule_13_length_mm, nodule_13_location, nodule_13_margins, nodule_13_shape, nodule_13_source_description, nodule_13_source_score, nodule_13_ti_rads, nodule_13_volume, nodule_13_width_mm, nodule_14_calcifications, nodule_14_composition, nodule_14_dimensions, nodule_14_echogenicity, nodule_14_height_mm, nodule_14_length_mm, nodule_14_location, nodule_14_margins, nodule_14_shape, nodule_14_source_description, nodule_14_source_score, nodule_14_ti_rads, nodule_14_volume, nodule_14_width_mm, nodule_1_calcifications, nodule_1_composition, nodule_1_dimensions, nodule_1_echogenicity, nodule_1_height_mm, nodule_1_length_mm, nodule_1_location, nodule_1_margins, nodule_1_shape, nodule_1_source_description, nodule_1_source_score, nodule_1_ti_rads, nodule_1_volume, nodule_1_width_mm, nodule_2_calcifications, nodule_2_composition, nodule_2_dimensions, nodule_2_echogenicity, nodule_2_height_mm, nodule_2_length_mm, nodule_2_location, nodule_2_margins, nodule_2_shape, nodule_2_source_description, nodule_2_source_score, nodule_2_ti_rads, nodule_2_volume, nodule_2_width_mm, nodule_3_calcifications, nodule_3_composition, nodule_3_dimensions, nodule_3_echogenicity, nodule_3_height_mm, nodule_3_length_mm, nodule_3_location, nodule_3_margins, nodule_3_shape, nodule_3_source_description, nodule_3_source_score, nodule_3_ti_rads, nodule_3_volume, nodule_3_width_mm, nodule_4_calcifications, nodule_4_composition, nodule_4_dimensions, nodule_4_echogenicity, nodule_4_height_mm, nodule_4_length_mm, nodule_4_location, nodule_4_margins, nodule_4_shape, nodule_4_source_description, nodule_4_source_score, nodule_4_ti_rads, nodule_4_volume, nodule_4_width_mm, nodule_5_calcifications, nodule_5_composition, nodule_5_dimensions, nodule_5_echogenicity, nodule_5_height_mm, nodule_5_length_mm, nodule_5_location, nodule_5_margins, nodule_5_shape, nodule_5_source_description, nodule_5_source_score, nodule_5_ti_rads, nodule_5_volume, nodule_5_width_mm, nodule_6_calcifications, nodule_6_composition, nodule_6_dimensions, nodule_6_echogenicity, nodule_6_height_mm, nodule_6_length_mm, nodule_6_location, nodule_6_margins, nodule_6_shape, nodule_6_source_description, nodule_6_source_score, nodule_6_ti_rads, nodule_6_volume, nodule_6_width_mm, nodule_7_calcifications, nodule_7_composition, nodule_7_dimensions, nodule_7_echogenicity, nodule_7_height_mm, nodule_7_length_mm, nodule_7_location, nodule_7_margins, nodule_7_shape, nodule_7_source_description, nodule_7_source_score, nodule_7_ti_rads, nodule_7_volume, nodule_7_width_mm, nodule_8_calcifications, nodule_8_composition, nodule_8_dimensions, nodule_8_echogenicity, nodule_8_height_mm, nodule_8_length_mm, nodule_8_location, nodule_8_margins, nodule_8_shape, nodule_8_source_description, nodule_8_source_score, nodule_8_ti_rads, nodule_8_volume, nodule_8_width_mm, nodule_9_calcifications, nodule_9_composition, nodule_9_dimensions, nodule_9_echogenicity, nodule_9_height_mm, nodule_9_length_mm, nodule_9_location, nodule_9_margins, nodule_9_shape, nodule_9_source_description, nodule_9_source_score, nodule_9_ti_rads, nodule_9_volume, nodule_9_width_mm, number_of_nodules, patient_age, patient_gender, radiologist, recommendation, report_quality, report_type, research_id, right_lobe_dimensions, right_lobe_volume_ml, sheet_name, source_us_impression, source_workbook, study_indication, total_thyroid_size, total_thyroid_volume_ml, ultrasound_date, us_report_number",
raw,us_nodules_tirads,True,10859,10859,"ingest_script_version, ingest_sheet_spec, ingested_at_utc, n10_tr, n11, n11_tr, n12, n12_tr, n13, n13_tr, n14, n14_tr, n1_tr, n2_tr, n3_tr, n4_tr, n5_tr, n6_tr, n7_tr, n8_tr, n9_tr, nodule_1, nodule_10, nodule_2, nodule_3, nodule_4, nodule_5, nodule_6, nodule_7, nodule_8, nodule_9, research_id, source_workbook, us_1, us_1_date, us_1_impression",
