threshold_ng_ml,tp,fp,tn,fn,sensitivity,specificity,ppv
0.1,78,192,0,0,1.0,0.0,0.289
0.2,33,81,111,45,0.423,0.578,0.289
0.5,26,57,135,52,0.333,0.703,0.313
1.0,1,2,190,77,0.013,0.99,0.333
2.0,1,1,191,77,0.013,0.995,0.5
5.0,0,0,192,78,0.0,1.0,
