fpr,tpr,threshold
0.0,0.0,inf
0.0,0.01282051282051282,2.6
0.010416666666666666,0.01282051282051282,1.0
0.23958333333333334,0.2564102564102564,0.9
0.25,0.2564102564102564,0.8
0.25,0.2948717948717949,0.7
0.25,0.3076923076923077,0.6
0.296875,0.3333333333333333,0.5
0.328125,0.358974358974359,0.4
0.3489583333333333,0.3974358974358974,0.3
0.421875,0.4230769230769231,0.2
1.0,1.0,0.1
