trajectory,n,n_recurred,pct_recurred,or,ci_low,ci_high,p_value
suppressed (ref),251,57,22.7,1.00,--,--,--
low_stable,102,25,24.5,1.11,0.64,1.89,0.8227
detectable_stable,82,18,22.0,0.96,0.53,1.75,1.0
rising,71,23,32.4,1.63,0.91,2.91,0.1306
