domain,n_rows,n_pending,n_reviewed
airway_invasion,4090,0,4090
pathology,1366,0,1366
imaging,1202,0,1202
rai_detailed,1128,0,1128
vascular_invasion,740,0,740
functional_outcomes,692,0,692
survival_followup,558,0,558
physical_exam,494,0,494
past_surgical_hx,462,0,462
labs,198,0,198
patient_decision_adherence,104,0,104
cervical_ln_detail,74,0,74
recurrence,44,0,44
rad_treatment,32,0,32
past_medical_hx,22,0,22
synoptic_pathology_enrichment,14,0,14
presenting_symptoms,12,0,12
frozen_section_detail,4,0,4
parathyroid_detail,4,0,4
tirads_granular,2,0,2
dynamic_risk_response,2,0,2
