feature,coef,HR,p_value,HR_lower_95,HR_upper_95
age_at_surgery,-0.003,0.997,0.2369,-0.0079,0.0019
sex_male,0.0263,1.0267,0.7567,-0.1402,0.1929
gross_ete,0.0664,1.0686,0.4398,-0.102,0.2347
stage_iii_iv,0.2782,1.3208,0.0791,-0.0323,0.5888
ata_high_risk,0.3279,1.388,0.0003,0.1492,0.5066
ata_intermediate_risk,-0.4821,0.6175,0.0,-0.6784,-0.2858
histology_ptc,-0.3473,0.7066,0.0003,-0.5367,-0.1579
ln_positive,0.0085,1.0085,0.2011,-0.0045,0.0215
tumor_size_cm,0.0791,1.0823,0.0,0.0444,0.1137
