historical_group,stratum,value,n,n_def_total,pct_def_total,ci
follicular_adenoma,Age,<55y,449,61,13.6,(10.7-17.1)
follicular_adenoma,Age,>=55y,258,51,19.8,(15.4-25.1)
follicular_adenoma,Sex,female,552,91,16.5,(13.6-19.8)
follicular_adenoma,Sex,male,155,21,13.5,(9.0-19.8)
FTC_minimally_invasive,Age,<55y,96,26,27.1,(19.2-36.7)
FTC_minimally_invasive,Age,>=55y,73,19,26.0,(17.3-37.1)
FTC_minimally_invasive,Sex,female,129,36,27.9,(20.9-36.2)
FTC_minimally_invasive,Sex,male,40,9,22.5,(12.3-37.5)
FTC_oncocytic_warthin,Age,<55y,88,52,59.1,(48.6-68.8)
FTC_oncocytic_warthin,Age,>=55y,118,59,50.0,(41.1-58.9)
FTC_oncocytic_warthin,Sex,female,136,70,51.5,(43.1-59.7)
FTC_oncocytic_warthin,Sex,male,70,41,58.6,(46.9-69.4)
hurthle_cell_adenoma,Age,>=55y,62,13,21.0,(12.7-32.6)
hurthle_cell_adenoma,Age,<55y,81,10,12.3,(6.8-21.3)
hurthle_cell_adenoma,Sex,female,114,18,15.8,(10.2-23.6)
hurthle_cell_adenoma,Sex,male,29,5,17.2,(7.6-34.5)
NIFTP,Age,<55y,60,17,28.3,(18.5-40.8)
NIFTP,Age,>=55y,56,13,23.2,(14.1-35.8)
NIFTP,Sex,female,84,24,28.6,(20.0-39.0)
NIFTP,Sex,male,32,6,18.8,(8.9-35.3)
FTC_NOS,Age,<55y,60,31,51.7,(39.3-63.8)
FTC_NOS,Age,>=55y,46,21,45.7,(32.2-59.8)
FTC_NOS,Sex,female,72,36,50.0,(38.7-61.3)
FTC_NOS,Sex,male,34,16,47.1,(31.5-63.3)
FTUMP,Age,<55y,21,2,9.5,(2.7-28.9)
FTUMP,Age,>=55y,13,2,15.4,(4.3-42.2)
FTUMP,Sex,female,29,3,10.3,(3.6-26.4)
FTUMP,Sex,male,5,1,20.0,(3.6-62.4)
atypical_follicular_adenoma,Age,>=55y,19,1,5.3,(0.9-24.6)
atypical_follicular_adenoma,Age,<55y,14,3,21.4,(7.6-47.6)
atypical_follicular_adenoma,Sex,male,7,1,14.3,(2.6-51.3)
atypical_follicular_adenoma,Sex,female,26,3,11.5,(4.0-29.0)
