historical_group,n_with_size,n_total,pct_with_size,mean_cm,sd_cm,median_cm,iqr,min_cm,max_cm
DHGTC,11,11,100.0,5.09,1.47,5.0,4.00-6.30,2.9,7.4
FTC_NOS,100,106,94.3,4.37,2.53,4.0,2.50-5.25,0.4,15.0
FTC_minimally_invasive,169,169,100.0,3.22,1.49,3.0,2.30-4.00,0.5,8.5
FTC_oncocytic_warthin,202,206,98.1,4.18,2.14,4.0,2.60-5.20,0.3,12.5
FTC_widely_invasive,12,12,100.0,5.54,3.5,4.45,3.38-6.65,1.6,13.2
FTUMP,34,34,100.0,3.38,1.73,3.15,2.20-4.28,0.3,7.3
NIFTP,115,116,99.1,2.16,2.12,1.8,0.40-3.20,0.03,11.2
follicular_adenoma,7,707,1.0,4.0,1.94,4.8,3.05-5.10,0.9,6.0
