table,local_rows,md_rows,parity_status
v2_stage.note_entities_llm_imaging,11037,,MISMATCH
v2_stage.note_entities_llm_tirads_granular,11037,,MISMATCH
v2_stage.note_entities_llm_labs,11037,,MISMATCH
v2_stage.note_entities_llm_tg_kinetics,11037,,MISMATCH
v2_stage.note_entities_llm_pathology,11037,,MISMATCH
v2_stage.note_entities_llm_synoptic_pathology_enrichment,11037,,MISMATCH
v2_stage.note_entities_llm_rai_detailed,11037,,MISMATCH
v2_stage.note_entities_llm_rad_treatment,11037,,MISMATCH
v2_stage.note_entities_llm_parathyroid_detail,11037,,MISMATCH
v2_stage.note_entities_llm_recurrence,11037,,MISMATCH
v2_stage.note_entities_llm_survival_followup,11037,,MISMATCH
v2_stage.note_entities_llm_cervical_ln_detail,11037,,MISMATCH
v2_stage.note_entities_llm_functional_outcomes,11037,,MISMATCH
v2_stage.note_entities_llm_past_medical_hx,11037,,MISMATCH
v2_stage.note_entities_llm_past_surgical_hx,11037,,MISMATCH
v2_stage.note_entities_llm_presenting_symptoms,11037,,MISMATCH
v2_stage.note_entities_llm_physical_exam,11037,,MISMATCH
v2_stage.note_entities_llm_vascular_invasion,11037,,MISMATCH
v2_stage.note_entities_llm_airway_invasion,11037,,MISMATCH
v2_stage.note_entities_llm_dynamic_risk_response,11037,,MISMATCH
v2_stage.note_entities_llm_patient_decision_adherence,11037,,MISMATCH
