domain_name,provenance_cols_present,entity_date_fill_pct,note_date_fill_pct,date_confidence_fill_pct
imaging,0,0.7169,1.0,0.9996
tirads_granular,0,0.6034,1.0,0.8156
labs,0,0.711,1.0,0.9118
tg_kinetics,0,0.7572,1.0,0.9942
pathology,0,0.6997,1.0,0.9997
synoptic_pathology_enrichment,0,0.5526,1.0,0.8421
rai_detailed,0,0.869,1.0,1.0
rad_treatment,0,0.731,1.0,0.9983
parathyroid_detail,0,0.8275,1.0,1.0
recurrence,0,0.7129,1.0,1.0
survival_followup,0,0.8262,1.0,1.0
cervical_ln_detail,0,0.6154,1.0,1.0
functional_outcomes,0,0.4386,1.0,1.0
past_medical_hx,0,0.3792,1.0,0.9954
past_surgical_hx,0,0.7053,1.0,1.0
presenting_symptoms,0,0.35,1.0,1.0
physical_exam,0,0.7173,1.0,0.9766
vascular_invasion,0,0.9311,1.0,1.0
airway_invasion,0,0.6569,1.0,1.0
dynamic_risk_response,0,0.7547,1.0,1.0
patient_decision_adherence,0,0.6193,1.0,0.9984
