# generated_by,scripts/270c_emit_stray_main_review_list.py,generated_at,2026-04-17T07:11:45.260870+00:00,purpose,Logan clinical eyeball before 270d --execute renames these into archive_legacy
schema,name,object_type,row_count,column_count,column_sample_first5,describe_error,proposed_target_name,justification,logan_decision,logan_notes
main,longitudinal_lab_canonical_v1,BASE TABLE,77960,18,research_id;lab_date;lab_date_status;lab_name_raw;lab_name_standardized,,main__longitudinal_lab_canonical_v1_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail,,
main,thyroglobulin_lab_canonical_v1,BASE TABLE,76971,21,research_id;analyte;assay_method;test_name_raw;specimen_collect_dt,,main__thyroglobulin_lab_canonical_v1_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail,,
main,survival_cohort_enriched,BASE TABLE,61134,28,research_id;time_days;time_days_capped;event;age_at_diagnosis,,main__survival_cohort_enriched_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail,,
main,event_date_audit_v2,BASE TABLE,61055,8,domain;research_id;native_date;resolved_date;date_status,,main__event_date_audit_v2_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail,,
main,patient_cross_domain_timeline_v2,BASE TABLE,61055,6,research_id;event_type;domain;event_date;episode_id,,main__patient_cross_domain_timeline_v2_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail,,
main,duckdb_columns,VIEW,51273,18,database_name;database_oid;schema_name;schema_oid;table_name,,main__duckdb_columns_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail,,
main,imaging_nodule_master_v1,BASE TABLE,37016,23,research_id;exam_date;nodule_number;exam_id;nodule_id,,main__imaging_nodule_master_v1_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail,,
main,v_imaging_nodule_tirads_gap_v1,VIEW,37016,7,nodule_id;research_id;exam_date;n_populated_acr_fields;tirads_reported,,main__v_imaging_nodule_tirads_gap_v1_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail,,
main,note_entities_procedures,BASE TABLE,21942,48,research_id;note_row_id;note_type;entity_type;entity_value_raw,,main__note_entities_procedures_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail,,
main,lab_cross_wave_dedup_map_v1,BASE TABLE,21761,9,research_id;lab_date;lab_name_standardized;value_numeric;value_raw,,main__lab_cross_wave_dedup_map_v1_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail,,
main,raw_imaging_12_slots_v1,BASE TABLE,21079,16,source_system;source_workbook;source_sheet;excel_row_index;source_cell_region,,main__raw_imaging_12_slots_v1_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail,,
main,imaging_nodule_long_v2,BASE TABLE,19891,33,research_id;modality;exam_date_native;date_status;date_confidence,,main__imaging_nodule_long_v2_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail,,
main,raw_us_tirads_excel_v1,BASE TABLE,19891,40,research_id;us_report_number;us_date;nodule_number;nodule_location,,main__raw_us_tirads_excel_v1_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail,,
main,raw_us_tirads_scored_v1,BASE TABLE,19549,10,research_id;us_report_number;us_date;nodule_number;tirads_reported,,main__raw_us_tirads_scored_v1_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail,,
main,tg_postop_surveillance_windows_v1,BASE TABLE,16184,12,research_id;temporal_window;analyte;n_measurements;window_first_date,,main__tg_postop_surveillance_windows_v1_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail,,
main,imaging_exam_master_v1,BASE TABLE,13347,10,research_id;exam_date;exam_id;n_nodules;max_tirads,,main__imaging_exam_master_v1_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail,,
main,patient_refined_master_clinical_v12,BASE TABLE,12886,272,research_id;ete_path_confirmed;ete_grade_v3;margin_status_refined;closest_margin_mm,,main__patient_refined_master_clinical_v12_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail,,
main,note_entities_operative_detail,BASE TABLE,12151,48,research_id;note_row_id;note_type;entity_type;entity_value_raw,,main__note_entities_operative_detail_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail,,
main,lesion_analysis_resolved_v1,BASE TABLE,11851,28,research_id;surgery_episode_id;tumor_ordinal;surgery_date;histology,,main__lesion_analysis_resolved_v1_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail,,
main,tumor_episode_master_v2,BASE TABLE,11691,37,research_id;surgery_episode_id;tumor_ordinal;surgery_date;date_status,,main__tumor_episode_master_v2_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail,,
main,md_path_synoptics_encounter_qc_v1,BASE TABLE,11688,274,research_id;race;gender;surg_date;age,,main__md_path_synoptics_encounter_qc_v1_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail,,
main,path_synoptics,BASE TABLE,11688,271,research_id;race;gender;surg_date;age,,main__path_synoptics_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail,,
main,path_synoptics_encounter_qc_v1,VIEW,11688,274,research_id;race;gender;surg_date;age,,main__path_synoptics_encounter_qc_v1_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail,,
main,thyroid_sizes,BASE TABLE,11675,16,research_id;surg_date;rl_formatted;rl_volume_cm3;ll_formatted,,main__thyroid_sizes_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail,,
main,note_entities_problem_list,BASE TABLE,11579,48,research_id;note_row_id;note_type;entity_type;entity_value_raw,,main__note_entities_problem_list_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail,,
