detail_table_name,feeds_column,domain
_molecular_patient_rollup_v227,molecular_rollup_version,Molecular
canonical_benign_diagnosis_v1,has_follicular_adenoma,Diagnosis
canonical_molecular_tested_v1,braf_positive_canonical,Molecular
complication_patient_summary_v1,n_analysis_eligible_complication,Complications
ete_adjudication_v1,ete_adjudicated_flag,Pathology
ret_patient_adjudicated_v226,ret_adjudicated_flag,Molecular/NLP
ret_patient_adjudicated_v226,ret_evidence_source,Molecular/NLP
