# generated_by,scripts/270d_stray_schema_migrate.py,generated_at,2026-04-17T07:14:37.399070+00:00
schema,name,object_type,row_count_at_270c,live_row_count,live_column_count,live_queryable,drift_notes,proposed_target_name_270d,proposed_target_fq
main,analysis_cancer_cohort_v1,BASE TABLE,4136,4136,137,True,,main__analysis_cancer_cohort_v1_20260417T071454Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__analysis_cancer_cohort_v1_20260417T071454Z"""
main,analysis_molecular_subset_v1,BASE TABLE,10025,10025,126,True,,main__analysis_molecular_subset_v1_20260417T071454Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__analysis_molecular_subset_v1_20260417T071454Z"""
main,analysis_recurrence_subset_v1,BASE TABLE,1946,1946,133,True,,main__analysis_recurrence_subset_v1_20260417T071454Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__analysis_recurrence_subset_v1_20260417T071454Z"""
main,analysis_tirads_subset_v1,BASE TABLE,3474,3474,131,True,,main__analysis_tirads_subset_v1_20260417T071454Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__analysis_tirads_subset_v1_20260417T071454Z"""
main,canonical_benign_diagnosis_v1,BASE TABLE,6818,6818,18,True,,main__canonical_benign_diagnosis_v1_20260417T071454Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__canonical_benign_diagnosis_v1_20260417T071454Z"""
main,canonical_diagnosis_unified_v1,BASE TABLE,11259,11259,7,True,,main__canonical_diagnosis_unified_v1_20260417T071454Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__canonical_diagnosis_unified_v1_20260417T071454Z"""
main,canonical_malignant_diagnosis_v1,BASE TABLE,4441,4441,12,True,,main__canonical_malignant_diagnosis_v1_20260417T071454Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__canonical_malignant_diagnosis_v1_20260417T071454Z"""
main,canonical_molecular_tested_v1,BASE TABLE,1286,1286,17,True,,main__canonical_molecular_tested_v1_20260417T071454Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__canonical_molecular_tested_v1_20260417T071454Z"""
main,canonical_recurrence_v1,BASE TABLE,10871,10871,12,True,,main__canonical_recurrence_v1_20260417T071454Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__canonical_recurrence_v1_20260417T071454Z"""
main,canonical_survival_followup_v1,BASE TABLE,11504,11504,13,True,,main__canonical_survival_followup_v1_20260417T071454Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__canonical_survival_followup_v1_20260417T071454Z"""
main,clinical_note_ln_extracted_v1,BASE TABLE,7751,7751,30,True,,main__clinical_note_ln_extracted_v1_20260417T071454Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__clinical_note_ln_extracted_v1_20260417T071454Z"""
main,clinical_notes_long,BASE TABLE,11050,11050,11,True,,main__clinical_notes_long_20260417T071454Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__clinical_notes_long_20260417T071454Z"""
main,complication_patient_summary_v1,BASE TABLE,2892,2892,18,True,,main__complication_patient_summary_v1_20260417T071454Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__complication_patient_summary_v1_20260417T071454Z"""
main,complication_phenotype_v1,BASE TABLE,5928,5928,28,True,,main__complication_phenotype_v1_20260417T071454Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__complication_phenotype_v1_20260417T071454Z"""
main,ct_imaging,BASE TABLE,7701,7701,40,True,,main__ct_imaging_20260417T071454Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__ct_imaging_20260417T071454Z"""
main,data_dictionary_v221,BASE TABLE,1374,1374,8,True,,main__data_dictionary_v221_20260417T071454Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__data_dictionary_v221_20260417T071454Z"""
main,duckdb_columns,VIEW,51273,51273,18,True,,main__duckdb_columns_20260417T071454Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__duckdb_columns_20260417T071454Z"""
main,duckdb_constraints,VIEW,18,18,15,True,,main__duckdb_constraints_20260417T071454Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__duckdb_constraints_20260417T071454Z"""
main,duckdb_databases,VIEW,4,4,8,True,,main__duckdb_databases_20260417T071454Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__duckdb_databases_20260417T071454Z"""
main,duckdb_indexes,VIEW,0,0,14,True,,main__duckdb_indexes_20260417T071454Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__duckdb_indexes_20260417T071454Z"""
main,duckdb_schemas,VIEW,6,6,8,True,,main__duckdb_schemas_20260417T071454Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__duckdb_schemas_20260417T071454Z"""
main,duckdb_tables,VIEW,526,526,16,True,,main__duckdb_tables_20260417T071454Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__duckdb_tables_20260417T071454Z"""
main,duckdb_types,VIEW,439,439,13,True,,main__duckdb_types_20260417T071454Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__duckdb_types_20260417T071454Z"""
main,duckdb_views,VIEW,125,125,12,True,,main__duckdb_views_20260417T071454Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__duckdb_views_20260417T071454Z"""
main,episode_analysis_resolved_v1_dedup,BASE TABLE,9368,9368,46,True,,main__episode_analysis_resolved_v1_dedup_20260417T071454Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__episode_analysis_resolved_v1_dedup_20260417T071454Z"""
main,episode_completeness_summary_v,VIEW,4,4,3,True,,main__episode_completeness_summary_v_20260417T071454Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__episode_completeness_summary_v_20260417T071454Z"""
main,event_date_audit_v2,BASE TABLE,61055,61055,8,True,,main__event_date_audit_v2_20260417T071454Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__event_date_audit_v2_20260417T071454Z"""
main,extracted_braf_recovery_v1,BASE TABLE,730,730,7,True,,main__extracted_braf_recovery_v1_20260417T071454Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__extracted_braf_recovery_v1_20260417T071454Z"""
main,extracted_complications_refined_v5,BASE TABLE,358,358,9,True,,main__extracted_complications_refined_v5_20260417T071454Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__extracted_complications_refined_v5_20260417T071454Z"""
main,extracted_ete_subgraded_v1,BASE TABLE,3558,3558,9,True,,main__extracted_ete_subgraded_v1_20260417T071454Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__extracted_ete_subgraded_v1_20260417T071454Z"""
main,extracted_fna_bethesda_v1,BASE TABLE,5249,5249,15,True,,main__extracted_fna_bethesda_v1_20260417T071454Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__extracted_fna_bethesda_v1_20260417T071454Z"""
main,extracted_postop_labs_expanded_v1,BASE TABLE,1395,1395,12,True,,main__extracted_postop_labs_expanded_v1_20260417T071454Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__extracted_postop_labs_expanded_v1_20260417T071454Z"""
main,extracted_ras_patient_summary_v1,BASE TABLE,321,321,7,True,,main__extracted_ras_patient_summary_v1_20260417T071454Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__extracted_ras_patient_summary_v1_20260417T071454Z"""
main,extracted_rln_injury_refined_v2,BASE TABLE,92,92,12,True,,main__extracted_rln_injury_refined_v2_20260417T071454Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__extracted_rln_injury_refined_v2_20260417T071454Z"""
main,extracted_tirads_validated_v1,BASE TABLE,3439,3439,15,True,,main__extracted_tirads_validated_v1_20260417T071454Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__extracted_tirads_validated_v1_20260417T071454Z"""
main,fna_cytology,BASE TABLE,8063,8063,27,True,,main__fna_cytology_20260417T071454Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__fna_cytology_20260417T071454Z"""
