# generated_by,scripts/270d_stray_schema_migrate.py,generated_at,2026-04-17T07:36:53.491861+00:00
schema,name,object_type,source_row_count,source_column_count,target_name,target_fq,view_ddl_preserved,view_materialized_target,elapsed_seconds,status,error
qa,v_diag_specimen_orphan_focus_v1,VIEW,0,3,qa__v_diag_specimen_orphan_focus_v1_20260417T073708Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""qa__v_diag_specimen_orphan_focus_v1_20260417T073708Z""",True,"""Thyroid 2026 UPdated"".""archive_legacy"".""qa__v_diag_specimen_orphan_focus_v1_20260417T073708Z_view_materialized""",1.03,OK,
qa,v_diag_specimen_orphan_genomic_focus_v1,VIEW,0,5,qa__v_diag_specimen_orphan_genomic_focus_v1_20260417T073708Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""qa__v_diag_specimen_orphan_genomic_focus_v1_20260417T073708Z""",True,"""Thyroid 2026 UPdated"".""archive_legacy"".""qa__v_diag_specimen_orphan_genomic_focus_v1_20260417T073708Z_view_materialized""",1.07,OK,
qa,v_diag_specimen_orphan_genomic_master_v1,VIEW,0,5,qa__v_diag_specimen_orphan_genomic_master_v1_20260417T073708Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""qa__v_diag_specimen_orphan_genomic_master_v1_20260417T073708Z""",True,"""Thyroid 2026 UPdated"".""archive_legacy"".""qa__v_diag_specimen_orphan_genomic_master_v1_20260417T073708Z_view_materialized""",1.03,OK,
qa,v_diag_specimen_orphan_genomic_v1,VIEW,0,5,qa__v_diag_specimen_orphan_genomic_v1_20260417T073708Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""qa__v_diag_specimen_orphan_genomic_v1_20260417T073708Z""",True,"""Thyroid 2026 UPdated"".""archive_legacy"".""qa__v_diag_specimen_orphan_genomic_v1_20260417T073708Z_view_materialized""",1.09,OK,
qa,v_diag_specimen_provenance_focus_gaps_v1,VIEW,0,4,qa__v_diag_specimen_provenance_focus_gaps_v1_20260417T073708Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""qa__v_diag_specimen_provenance_focus_gaps_v1_20260417T073708Z""",True,"""Thyroid 2026 UPdated"".""archive_legacy"".""qa__v_diag_specimen_provenance_focus_gaps_v1_20260417T073708Z_view_materialized""",1.02,OK,
qa,v_diag_specimen_provenance_focus_v1,VIEW,1,2,qa__v_diag_specimen_provenance_focus_v1_20260417T073708Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""qa__v_diag_specimen_provenance_focus_v1_20260417T073708Z""",True,"""Thyroid 2026 UPdated"".""archive_legacy"".""qa__v_diag_specimen_provenance_focus_v1_20260417T073708Z_view_materialized""",1.08,OK,
qa,v_diag_specimen_provenance_genomic_v1,VIEW,1,2,qa__v_diag_specimen_provenance_genomic_v1_20260417T073708Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""qa__v_diag_specimen_provenance_genomic_v1_20260417T073708Z""",True,"""Thyroid 2026 UPdated"".""archive_legacy"".""qa__v_diag_specimen_provenance_genomic_v1_20260417T073708Z_view_materialized""",1.04,OK,
qa,v_diag_specimen_provenance_master_v1,VIEW,1,2,qa__v_diag_specimen_provenance_master_v1_20260417T073708Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""qa__v_diag_specimen_provenance_master_v1_20260417T073708Z""",True,"""Thyroid 2026 UPdated"".""archive_legacy"".""qa__v_diag_specimen_provenance_master_v1_20260417T073708Z_view_materialized""",1.02,OK,
qa,v_diag_specimen_provenance_summary_v1,VIEW,1,5,qa__v_diag_specimen_provenance_summary_v1_20260417T073708Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""qa__v_diag_specimen_provenance_summary_v1_20260417T073708Z""",True,"""Thyroid 2026 UPdated"".""archive_legacy"".""qa__v_diag_specimen_provenance_summary_v1_20260417T073708Z_view_materialized""",1.26,OK,
qa,val_specimen_contract_v1,BASE TABLE,12,4,qa__val_specimen_contract_v1_20260417T073708Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""qa__val_specimen_contract_v1_20260417T073708Z""",False,,1.23,OK,
qa,val_specimen_genomic_binding_v1,BASE TABLE,12,4,qa__val_specimen_genomic_binding_v1_20260417T073708Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""qa__val_specimen_genomic_binding_v1_20260417T073708Z""",False,,1.17,OK,
v2_stage,load_inventory,BASE TABLE,270,12,v2_stage__load_inventory_20260417T073708Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""v2_stage__load_inventory_20260417T073708Z""",False,,1.25,OK,
v2_stage,note_entities_llm_combined,BASE TABLE,11037,15,v2_stage__note_entities_llm_combined_20260417T073708Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""v2_stage__note_entities_llm_combined_20260417T073708Z""",False,,1.65,OK,
v2_stage,note_entities_llm_complications,BASE TABLE,11037,15,v2_stage__note_entities_llm_complications_20260417T073708Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""v2_stage__note_entities_llm_complications_20260417T073708Z""",False,,1.29,OK,
v2_stage,note_entities_llm_complications_rln_laryngoscopy,BASE TABLE,11037,19,v2_stage__note_entities_llm_complications_rln_laryngoscopy_20260417T073708Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""v2_stage__note_entities_llm_complications_rln_laryngoscopy_20260417T073708Z""",False,,2.26,OK,
v2_stage,note_entities_llm_genetics,BASE TABLE,11037,15,v2_stage__note_entities_llm_genetics_20260417T073708Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""v2_stage__note_entities_llm_genetics_20260417T073708Z""",False,,1.63,OK,
v2_stage,note_entities_llm_medication_management,BASE TABLE,11037,19,v2_stage__note_entities_llm_medication_management_20260417T073708Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""v2_stage__note_entities_llm_medication_management_20260417T073708Z""",False,,1.45,OK,
v2_stage,note_entities_llm_medications,BASE TABLE,11037,15,v2_stage__note_entities_llm_medications_20260417T073708Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""v2_stage__note_entities_llm_medications_20260417T073708Z""",False,,1.52,OK,
v2_stage,note_entities_llm_molecular_thyroseq_afirma,BASE TABLE,11037,19,v2_stage__note_entities_llm_molecular_thyroseq_afirma_20260417T073708Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""v2_stage__note_entities_llm_molecular_thyroseq_afirma_20260417T073708Z""",False,,1.53,OK,
v2_stage,note_entities_llm_operative_details,BASE TABLE,11037,19,v2_stage__note_entities_llm_operative_details_20260417T073708Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""v2_stage__note_entities_llm_operative_details_20260417T073708Z""",False,,2.18,OK,
v2_stage,note_entities_llm_operative_v2_enrichment,BASE TABLE,11037,19,v2_stage__note_entities_llm_operative_v2_enrichment_20260417T073708Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""v2_stage__note_entities_llm_operative_v2_enrichment_20260417T073708Z""",False,,1.55,OK,
v2_stage,note_entities_llm_parathyroid_per_gland,BASE TABLE,11037,19,v2_stage__note_entities_llm_parathyroid_per_gland_20260417T073708Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""v2_stage__note_entities_llm_parathyroid_per_gland_20260417T073708Z""",False,,1.51,OK,
v2_stage,note_entities_llm_problem_list,BASE TABLE,11037,15,v2_stage__note_entities_llm_problem_list_20260417T073708Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""v2_stage__note_entities_llm_problem_list_20260417T073708Z""",False,,1.7,OK,
v2_stage,note_entities_llm_procedures,BASE TABLE,11037,15,v2_stage__note_entities_llm_procedures_20260417T073708Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""v2_stage__note_entities_llm_procedures_20260417T073708Z""",False,,2.5,OK,
v2_stage,note_entities_llm_recurrence_detailed,BASE TABLE,11037,19,v2_stage__note_entities_llm_recurrence_detailed_20260417T073708Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""v2_stage__note_entities_llm_recurrence_detailed_20260417T073708Z""",False,,1.4,OK,
v2_stage,note_entities_llm_staging,BASE TABLE,11037,17,v2_stage__note_entities_llm_staging_20260417T073708Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""v2_stage__note_entities_llm_staging_20260417T073708Z""",False,,1.61,OK,
