# generated_by,scripts/270d_stray_schema_migrate.py,generated_at,2026-04-17T07:36:53.491861+00:00
schema,name,object_type,source_row_count,source_column_count,target_name,target_fq,view_ddl_preserved,view_materialized_target,elapsed_seconds,status,error
main,ln_x_marker_audit_v1,BASE TABLE,53,9,main__ln_x_marker_audit_v1_20260417T073708Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__ln_x_marker_audit_v1_20260417T073708Z""",False,,1.01,OK,
main,md_extracted_fna_bethesda_v1,BASE TABLE,5249,15,main__md_extracted_fna_bethesda_v1_20260417T073708Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__md_extracted_fna_bethesda_v1_20260417T073708Z""",False,,1.04,OK,
main,md_path_synoptics_encounter_qc_v1,BASE TABLE,11688,274,main__md_path_synoptics_encounter_qc_v1_20260417T073708Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__md_path_synoptics_encounter_qc_v1_20260417T073708Z""",False,,8.57,OK,
main,md_synoptic_tumor_long_v1,BASE TABLE,11103,22,main__md_synoptic_tumor_long_v1_20260417T073708Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__md_synoptic_tumor_long_v1_20260417T073708Z""",False,,1.39,OK,
main,md_val_path_synoptic_encounter_isolation_v1,BASE TABLE,3,8,main__md_val_path_synoptic_encounter_isolation_v1_20260417T073708Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__md_val_path_synoptic_encounter_isolation_v1_20260417T073708Z""",False,,1.17,OK,
main,molecular_normalization_review_v1,VIEW,116,27,main__molecular_normalization_review_v1_20260417T073708Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__molecular_normalization_review_v1_20260417T073708Z""",True,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__molecular_normalization_review_v1_20260417T073708Z_view_materialized""",1.38,OK,
main,molecular_qc_summary_v,VIEW,2,8,main__molecular_qc_summary_v_20260417T073708Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__molecular_qc_summary_v_20260417T073708Z""",True,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__molecular_qc_summary_v_20260417T073708Z_view_materialized""",1.13,OK,
main,molecular_results_contract_v,VIEW,10861,27,main__molecular_results_contract_v_20260417T073708Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__molecular_results_contract_v_20260417T073708Z""",True,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__molecular_results_contract_v_20260417T073708Z_view_materialized""",1.4,OK,
main,molecular_results_contract_v1,VIEW,10861,27,main__molecular_results_contract_v1_20260417T073708Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__molecular_results_contract_v1_20260417T073708Z""",True,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__molecular_results_contract_v1_20260417T073708Z_view_materialized""",2.19,OK,
main,molecular_results_enriched_v1,VIEW,10861,28,main__molecular_results_enriched_v1_20260417T073708Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__molecular_results_enriched_v1_20260417T073708Z""",True,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__molecular_results_enriched_v1_20260417T073708Z_view_materialized""",1.78,OK,
main,molecular_variant_long_contract_v1,VIEW,1640,22,main__molecular_variant_long_contract_v1_20260417T073708Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__molecular_variant_long_contract_v1_20260417T073708Z""",True,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__molecular_variant_long_contract_v1_20260417T073708Z_view_materialized""",1.38,OK,
main,note_extraction_runs,BASE TABLE,3,14,main__note_extraction_runs_20260417T073708Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__note_extraction_runs_20260417T073708Z""",False,,1.11,OK,
main,notes_entity_summary,VIEW,5272,11,main__notes_entity_summary_20260417T073708Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__notes_entity_summary_20260417T073708Z""",True,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__notes_entity_summary_20260417T073708Z_view_materialized""",1.75,OK,
main,path_synoptics_encounter_qc_v1,VIEW,11688,274,main__path_synoptics_encounter_qc_v1_20260417T073708Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__path_synoptics_encounter_qc_v1_20260417T073708Z""",True,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__path_synoptics_encounter_qc_v1_20260417T073708Z_view_materialized""",3.14,OK,
main,pathology_rai_linkage_v3,BASE TABLE,23,15,main__pathology_rai_linkage_v3_20260417T073708Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__pathology_rai_linkage_v3_20260417T073708Z""",False,,1.34,OK,
main,patient_refined_master_clinical_v12,BASE TABLE,12886,272,main__patient_refined_master_clinical_v12_20260417T073708Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__patient_refined_master_clinical_v12_20260417T073708Z""",False,,2.1,OK,
main,pragma_database_list,VIEW,4,3,main__pragma_database_list_20260417T073708Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__pragma_database_list_20260417T073708Z""",True,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__pragma_database_list_20260417T073708Z_view_materialized""",1.21,OK,
main,preop_surgery_linkage_v3,BASE TABLE,3554,16,main__preop_surgery_linkage_v3_20260417T073708Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__preop_surgery_linkage_v3_20260417T073708Z""",False,,0.98,OK,
