=== START 270d — stray schema migration (--EXECUTE) ===
started_at: 2026-04-17T07:36:53.491861+00:00
connected to thyroid_canonical_publication_v1_0

--- idempotency guard ---

--- ROUND-TRIP RESTORE TEST (wide-snapshot selector) ---
  chosen: "Thyroid 2026 UPdated"."archive_pub_v1_0"."canonical_patient_master_pre270_20260417T055747Z" (score_reason='pre270_match', cols=1499, rows=10871)
  PASS: round-trip 10871 rows / 1499 cols verified, temp table dropped
  wrote /Users/loganglosser/THYROID_2026/scripts/output/270d_execute_restore_test.json
  re-validated 118 plan rows (0 with drift)
  plan size: 118

--- schema setup ---
  ensured schema "Thyroid 2026 UPdated".archive_legacy
  ensured view DDL preservation table "Thyroid 2026 UPdated"."archive_legacy"."__view_ddl_preservation_v1"
  WARN: could not set statement_timeout (Catalog Error: unrecognized configuration parameter "statement_timeout"

Did you mean: "TimeZone"); using wall-clock backstop only
  statement_timeout enforced: False

--- migrate loop ---
  [  1/118] OK  main.analysis_cancer_cohort_v1                               -> main__analysis_cancer_cohort_v1_20260417T073708Z  rows=4136 elapsed=1.55s
  [  2/118] OK  main.analysis_recurrence_subset_v1                           -> main__analysis_recurrence_subset_v1_20260417T073708Z  rows=1946 elapsed=1.08s
  [  3/118] OK  main.analysis_tirads_subset_v1                               -> main__analysis_tirads_subset_v1_20260417T073708Z  rows=3474 elapsed=1.02s
  [  4/118] OK  main.data_dictionary_v221                                    -> main__data_dictionary_v221_20260417T073708Z  rows=1374 elapsed=0.98s
  [  5/118] OK  main.duckdb_columns                                          -> main__duckdb_columns_20260417T073708Z  rows=51273 elapsed=2.24s
  [  6/118] OK  main.duckdb_constraints                                      -> main__duckdb_constraints_20260417T073708Z  rows=18 elapsed=1.2s
  [  7/118] OK  main.duckdb_databases                                        -> main__duckdb_databases_20260417T073708Z  rows=4 elapsed=1.25s
  [  8/118] OK  main.duckdb_indexes                                          -> main__duckdb_indexes_20260417T073708Z  rows=0 elapsed=1.2s
  [  9/118] OK  main.duckdb_schemas                                          -> main__duckdb_schemas_20260417T073708Z  rows=6 elapsed=1.61s
  [ 10/118] OK  main.duckdb_tables                                           -> main__duckdb_tables_20260417T073708Z  rows=526 elapsed=1.41s
  [ 11/118] OK  main.duckdb_types                                            -> main__duckdb_types_20260417T073708Z  rows=439 elapsed=1.11s
  [ 12/118] OK  main.duckdb_views                                            -> main__duckdb_views_20260417T073708Z  rows=125 elapsed=1.15s
  [ 13/118] OK  main.episode_completeness_summary_v                          -> main__episode_completeness_summary_v_20260417T073708Z  rows=4 elapsed=0.98s
  [ 14/118] OK  main.event_date_audit_v2                                     -> main__event_date_audit_v2_20260417T073708Z  rows=61055 elapsed=1.62s
  [ 15/118] OK  main.fna_molecular_linkage_v3                                -> main__fna_molecular_linkage_v3_20260417T073708Z  rows=809 elapsed=1.01s
  [ 16/118] OK  main.gold_master_episode_events_v1                           -> main__gold_master_episode_events_v1_20260417T073708Z  rows=9368 elapsed=1.17s
  [ 17/118] OK  main.gold_master_patient_facts_v1                            -> main__gold_master_patient_facts_v1_20260417T073708Z  rows=10871 elapsed=2.15s
  [ 18/118] OK  main.imaging_fna_linkage_mm_v1                               -> main__imaging_fna_linkage_mm_v1_20260417T073708Z  rows=7305 elapsed=1.24s
  [ 19/118] OK  main.linkage_ambiguity_review_v1                             -> main__linkage_ambiguity_review_v1_20260417T073708Z  rows=5593 elapsed=1.34s
  [ 20/118] OK  main.linkage_master_v1                                       -> main__linkage_master_v1_20260417T073708Z  rows=11506 elapsed=1.25s
  [ 21/118] OK  main.linkage_summary_v                                       -> main__linkage_summary_v_20260417T073708Z  rows=10871 elapsed=1.19s
  [ 22/118] OK  main.linkage_summary_v3                                      -> main__linkage_summary_v3_20260417T073708Z  rows=5 elapsed=0.97s
  [ 23/118] OK  main.ln_x_marker_audit_v1                                    -> main__ln_x_marker_audit_v1_20260417T073708Z  rows=53 elapsed=1.01s
  [ 24/118] OK  main.md_extracted_fna_bethesda_v1                            -> main__md_extracted_fna_bethesda_v1_20260417T073708Z  rows=5249 elapsed=1.04s
  [ 25/118] OK  main.md_path_synoptics_encounter_qc_v1                       -> main__md_path_synoptics_encounter_qc_v1_20260417T073708Z  rows=11688 elapsed=8.57s
  [ 26/118] OK  main.md_synoptic_tumor_long_v1                               -> main__md_synoptic_tumor_long_v1_20260417T073708Z  rows=11103 elapsed=1.39s
