# generated_by,scripts/270b_phase_a_step_2_registry.py --execute,generated_at,2026-04-17T06:28:01.072314+00:00
cpm_col,resolved_feeder,match_method,stage,category
age_at_surgery,patient_analysis_resolved_v1,stage1_exact_full_cohort_preferred,1,obvious
any_confirmed_complication_flag,complication_patient_summary_v1,stage1_exact_single_candidate,1,obvious
any_disease_concern_flag,build_pipeline,stage4_build_pipeline,4,build_pipeline
benign_rai_suspect_malignant,build_pipeline,stage4_build_pipeline,4,build_pipeline
best_ene_grade,build_pipeline,stage4_build_pipeline,4,build_pipeline
bilateral_path_flag,patient_tumor_rollup_v1,stage1_exact_single_candidate,1,obvious
bmi_combined,build_pipeline,stage4_build_pipeline,4,build_pipeline
bmi_missingness_reason,build_pipeline,stage4_build_pipeline,4,build_pipeline
bmi_note_extracted,build_pipeline,stage4_build_pipeline,4,build_pipeline
bmi_note_source,build_pipeline,stage4_build_pipeline,4,build_pipeline
bmi_source,build_pipeline,stage4_build_pipeline,4,build_pipeline
completion_prior_histology,build_pipeline,stage4_build_pipeline,4,build_pipeline
completion_reason_confidence,build_pipeline,stage4_build_pipeline,4,build_pipeline
completion_tert_positive,build_pipeline,stage4_build_pipeline,4,build_pipeline
concern_highest_tier,build_pipeline,stage4_build_pipeline,4,build_pipeline
confirmed_rai_episodes,build_pipeline,stage4_build_pipeline,4,build_pipeline
date_traceability_status,patient_analysis_resolved_v1,stage1_exact_single_candidate,1,obvious
days_between_first_second_surgery,build_pipeline,stage4_build_pipeline,4,build_pipeline
days_first_to_last_tg,tg_timeline_patient_summary_v1,stage1_exact_single_candidate,1,obvious
days_to_first_laryngoscopy,build_pipeline,stage4_build_pipeline,4,build_pipeline
days_to_last_laryngoscopy,build_pipeline,stage4_build_pipeline,4,build_pipeline
demo_confidence,patient_analysis_resolved_v1,stage1_exact_single_candidate,1,obvious
demo_source,patient_analysis_resolved_v1,stage1_exact_single_candidate,1,obvious
diagnosis_confidence,build_pipeline,stage4_build_pipeline,4,build_pipeline
distant_mets_proxy,build_pipeline,stage4_build_pipeline,4,build_pipeline
earliest_complication_days,complication_patient_summary_v1,stage1_exact_single_candidate,1,obvious
first_tg_date,tg_timeline_patient_summary_v1,stage1_exact_single_candidate,1,obvious
first_tg_days_from_surg,build_pipeline,stage4_build_pipeline,4,build_pipeline
gland_weight_combined_g,build_pipeline,stage4_build_pipeline,4,build_pipeline
gland_weight_isthmus_g,build_pipeline,stage4_build_pipeline,4,build_pipeline
gland_weight_total_reported_g,build_pipeline,stage4_build_pipeline,4,build_pipeline
gm_lab_completeness_score,build_pipeline,stage4_build_pipeline,4,build_pipeline
gm_macis_calculable_flag,build_pipeline,stage4_build_pipeline,4,build_pipeline
gm_path_ene_raw,build_pipeline,stage4_build_pipeline,4,build_pipeline
gm_path_ete_raw,build_pipeline,stage4_build_pipeline,4,build_pipeline
gm_path_lvi_raw,build_pipeline,stage4_build_pipeline,4,build_pipeline
gm_path_m_stage_raw,build_pipeline,stage4_build_pipeline,4,build_pipeline
gm_path_pni_raw,build_pipeline,stage4_build_pipeline,4,build_pipeline
gm_path_stage_raw,build_pipeline,stage4_build_pipeline,4,build_pipeline
gm_path_vascular_inv_raw,build_pipeline,stage4_build_pipeline,4,build_pipeline
gm_provenance_confidence,build_pipeline,stage4_build_pipeline,4,build_pipeline
