table_name,table_type,row_count
__readme,BASE TABLE,111
_molecular_patient_rollup_v227,BASE TABLE,10026
analysis_molecular_subset_v1,BASE TABLE,10025
canonical_benign_diagnosis_v1,BASE TABLE,6818
canonical_diagnosis_unified_v1,BASE TABLE,11028
canonical_malignant_diagnosis_v1,BASE TABLE,4441
canonical_molecular_tested_v1,BASE TABLE,1286
canonical_patient_master,BASE TABLE,10871
canonical_patient_master_pre235_backup,BASE TABLE,10871
canonical_patient_master_pre236_backup,BASE TABLE,10871
canonical_recurrence_v1,BASE TABLE,10871
canonical_survival_followup_v1,BASE TABLE,11504
clinical_note_ln_extracted_v1,BASE TABLE,7751
clinical_notes_long,BASE TABLE,11050
complication_patient_summary_v1,BASE TABLE,2938
complication_patient_summary_v1_pre235_backup,BASE TABLE,2892
complication_phenotype_v1,BASE TABLE,5978
complication_phenotype_v1_pre235_backup,BASE TABLE,5928
ct_imaging,BASE TABLE,7701
data_dictionary_v235,BASE TABLE,1492
data_dictionary_v240,BASE TABLE,1488
episode_analysis_resolved_v1_dedup,BASE TABLE,9368
ete_adjudication_v1,BASE TABLE,45
extracted_braf_recovery_v1,BASE TABLE,730
extracted_complications_refined_v5,BASE TABLE,358
extracted_ete_subgraded_v1,BASE TABLE,3558
extracted_fna_bethesda_v1,BASE TABLE,5249
extracted_postop_labs_expanded_v1,BASE TABLE,1395
extracted_postop_labs_expanded_v1_pre235_backup,BASE TABLE,1395
extracted_ras_patient_summary_v1,BASE TABLE,321
extracted_rln_injury_refined_v2,BASE TABLE,92
extracted_tirads_validated_v1,BASE TABLE,3439
fna_cytology,BASE TABLE,8063
fna_episode_master_v2,BASE TABLE,8119
fna_history,BASE TABLE,8119
imaging_exam_master_v1,BASE TABLE,13347
imaging_fna_linkage_v3,BASE TABLE,9911
imaging_nodule_long_v2,BASE TABLE,19891
imaging_nodule_master_v1,BASE TABLE,37016
imaging_patient_summary_v1,BASE TABLE,6126
lab_cross_wave_dedup_map_v1,BASE TABLE,21761
lesion_analysis_resolved_v1,BASE TABLE,11851
ln_crossval_v1,BASE TABLE,4290
ln_master_rollup_v1,BASE TABLE,4273
longitudinal_lab_canonical_v1,BASE TABLE,77960
longitudinal_lab_canonical_v1_pre235_backup,BASE TABLE,77960
manuscript_cohort_v1,BASE TABLE,10871
molecular_assay_dictionary,BASE TABLE,4
molecular_code_crosswalk,BASE TABLE,44
molecular_ingestion_runs,BASE TABLE,1
molecular_results,BASE TABLE,10862
molecular_test_episode_v2,BASE TABLE,10126
molecular_testing,BASE TABLE,10862
molecular_variant_long,BASE TABLE,1640
mri_imaging,BASE TABLE,715
note_entities_complications,BASE TABLE,9359
note_entities_genetics,BASE TABLE,1738
note_entities_llm_airway_invasion,BASE TABLE,11037
note_entities_llm_cervical_ln_detail,BASE TABLE,11037
note_entities_llm_dynamic_risk_response,BASE TABLE,11037
note_entities_llm_frozen_section_detail,BASE TABLE,11037
note_entities_llm_functional_outcomes,BASE TABLE,11037
note_entities_llm_imaging,BASE TABLE,11037
note_entities_llm_labs,BASE TABLE,11037
note_entities_llm_parathyroid_detail,BASE TABLE,11037
note_entities_llm_past_medical_hx,BASE TABLE,11037
note_entities_llm_past_surgical_hx,BASE TABLE,11037
note_entities_llm_pathology,BASE TABLE,11037
note_entities_llm_patient_decision_adherence,BASE TABLE,11037
note_entities_llm_physical_exam,BASE TABLE,11037
note_entities_llm_presenting_symptoms,BASE TABLE,11037
note_entities_llm_rad_treatment,BASE TABLE,11037
note_entities_llm_rai_detailed,BASE TABLE,11037
note_entities_llm_recurrence,BASE TABLE,11037
note_entities_llm_survival_followup,BASE TABLE,11037
note_entities_llm_synoptic_pathology_enrichment,BASE TABLE,11037
note_entities_llm_tg_kinetics,BASE TABLE,11037
note_entities_llm_tirads_granular,BASE TABLE,11037
note_entities_llm_us_nodule_dynamics,BASE TABLE,11037
note_entities_llm_vascular_invasion,BASE TABLE,11037
note_entities_medications,BASE TABLE,7501
note_entities_operative_detail,BASE TABLE,12151
note_entities_problem_list,BASE TABLE,11579
note_entities_procedures,BASE TABLE,21942
note_entities_staging,BASE TABLE,3807
nsqip_enrichment,BASE TABLE,1275
nsqip_patient_summary,BASE TABLE,1261
nuclear_med,BASE TABLE,2220
operative_episode_detail_v2,BASE TABLE,9371
path_outcome_classification_v1,BASE TABLE,10871
path_synoptics,BASE TABLE,11688
patient_analysis_resolved_v1,BASE TABLE,10871
patient_completion_oed_path_linkage_v1,BASE TABLE,11506
patient_cross_domain_timeline_v2,BASE TABLE,61055
patient_tumor_rollup_v1,BASE TABLE,8422
rai_benign_histology_recovery_v234,BASE TABLE,0
rai_treatment_episode_v2,BASE TABLE,1857
recurrence_event_clean_v1,BASE TABLE,1946
ret_note_entity_adjudication_v226,BASE TABLE,177
ret_patient_adjudicated_v226,BASE TABLE,66
serial_imaging_us,BASE TABLE,0
specimen_genomic_assay_v1,BASE TABLE,10370
specimen_master_v1,BASE TABLE,10139
specimen_source_xref_v1,BASE TABLE,11273
specimen_tumor_focus_v1,BASE TABLE,11103
survival_cohort_enriched,BASE TABLE,61134
synoptic_tumor_long_v1,BASE TABLE,11103
tg_postop_surveillance_windows_v1,BASE TABLE,16184
tg_timeline_patient_summary_v1,BASE TABLE,3258
thyroglobulin_lab_canonical_v1,BASE TABLE,76971
thyroid_sizes,BASE TABLE,11675
thyroid_weights,BASE TABLE,10001
thyroseq_molecular_enrichment,BASE TABLE,10862
tirads_llm_extracted_v2,BASE TABLE,5636
tirads_llm_validation_v2,BASE TABLE,1225
tumor_episode_master_v2,BASE TABLE,11691
tumor_pathology,BASE TABLE,4290
ultrasound_reports,BASE TABLE,6793
us_nodules_tirads,BASE TABLE,10862
