detail_table_name,wildcard_feed_col,like_pattern,match
nsqip_patient_summary,nsqip_* columns (full set of 80+),nsqip_%,nsqip_pneumonia
nsqip_patient_summary,nsqip_* columns (full set of 80+),nsqip_%,nsqip_preop_biopsy_result
nsqip_patient_summary,nsqip_* columns (full set of 80+),nsqip_%,nsqip_primary_indication
nsqip_patient_summary,nsqip_* columns (full set of 80+),nsqip_%,nsqip_prior_neck_surgery
nsqip_patient_summary,nsqip_* columns (full set of 80+),nsqip_%,nsqip_pth_checked
nsqip_patient_summary,nsqip_* columns (full set of 80+),nsqip_%,nsqip_ptt
nsqip_patient_summary,nsqip_* columns (full set of 80+),nsqip_%,nsqip_readmission_30d_flag
nsqip_patient_summary,nsqip_* columns (full set of 80+),nsqip_%,nsqip_readmission_count
nsqip_patient_summary,nsqip_* columns (full set of 80+),nsqip_%,nsqip_related_readmission_count
nsqip_patient_summary,nsqip_* columns (full set of 80+),nsqip_%,nsqip_rln_injury
nsqip_patient_summary,nsqip_* columns (full set of 80+),nsqip_%,nsqip_rln_injury_flag
nsqip_patient_summary,nsqip_* columns (full set of 80+),nsqip_%,nsqip_rln_monitoring
nsqip_patient_summary,nsqip_* columns (full set of 80+),nsqip_%,nsqip_same_day_discharge_flag
nsqip_patient_summary,nsqip_* columns (full set of 80+),nsqip_%,nsqip_sepsis
nsqip_patient_summary,nsqip_* columns (full set of 80+),nsqip_%,nsqip_sex
nsqip_patient_summary,nsqip_* columns (full set of 80+),nsqip_%,nsqip_smoker
nsqip_patient_summary,nsqip_* columns (full set of 80+),nsqip_%,nsqip_sodium
nsqip_patient_summary,nsqip_* columns (full set of 80+),nsqip_%,nsqip_source
nsqip_patient_summary,nsqip_* columns (full set of 80+),nsqip_%,nsqip_superficial_ssi
nsqip_patient_summary,nsqip_* columns (full set of 80+),nsqip_%,nsqip_surgery_finish_time
nsqip_patient_summary,nsqip_* columns (full set of 80+),nsqip_%,nsqip_surgery_start_time
nsqip_patient_summary,nsqip_* columns (full set of 80+),nsqip_%,nsqip_surgical_los_days
nsqip_patient_summary,nsqip_* columns (full set of 80+),nsqip_%,nsqip_t_classification
nsqip_patient_summary,nsqip_* columns (full set of 80+),nsqip_%,nsqip_thyroidectomy_has_data
nsqip_patient_summary,nsqip_* columns (full set of 80+),nsqip_%,nsqip_thyroidectomy_source_script
nsqip_patient_summary,nsqip_* columns (full set of 80+),nsqip_%,nsqip_tobacco_use
nsqip_patient_summary,nsqip_* columns (full set of 80+),nsqip_%,nsqip_total_bilirubin
nsqip_patient_summary,nsqip_* columns (full set of 80+),nsqip_%,nsqip_transfusion
nsqip_patient_summary,nsqip_* columns (full set of 80+),nsqip_%,nsqip_unplanned_intubation
nsqip_patient_summary,nsqip_* columns (full set of 80+),nsqip_%,nsqip_unplanned_readmission_count
nsqip_patient_summary,nsqip_* columns (full set of 80+),nsqip_%,nsqip_unplanned_return_or
nsqip_patient_summary,nsqip_* columns (full set of 80+),nsqip_%,nsqip_vessel_sealant
nsqip_patient_summary,nsqip_* columns (full set of 80+),nsqip_%,nsqip_wbc
nsqip_patient_summary,nsqip_* columns (full set of 80+),nsqip_%,nsqip_weight_lbs
