# generated_by,scripts/270b_phase_a_step_2_registry.py --dry-run,generated_at,2026-04-17T06:22:36.422106+00:00
cpm_col,reason_no_feeder,stage_attempts_json
completion_tert_positive,no_feeder_candidate_in_4_stages,"[{""stage"": 1, ""method"": ""exact"", ""n_raw_candidates"": 1, ""n_candidates_after_exclude"": 0, ""candidates"": [], ""excluded_by_pattern"": [""canonical_patient_master""]}, {""stage"": 2, ""method"": ""suffix_strip"", ""attempts"": [], ""n_raw_candidates"": 0, ""n_candidates_after_exclude"": 0, ""excluded_by_pattern"": []}, {""stage"": 3, ""method"": ""domain_prefix"", ""matched_prefix"": null, ""raw_candidates"": [], ""filtered_candidates"": [], ""n_candidates_after_exclude"": 0, ""excluded_by_pattern"": []}]"
concern_highest_tier,no_feeder_candidate_in_4_stages,"[{""stage"": 1, ""method"": ""exact"", ""n_raw_candidates"": 1, ""n_candidates_after_exclude"": 0, ""candidates"": [], ""excluded_by_pattern"": [""canonical_patient_master""]}, {""stage"": 2, ""method"": ""suffix_strip"", ""attempts"": [], ""n_raw_candidates"": 0, ""n_candidates_after_exclude"": 0, ""excluded_by_pattern"": []}, {""stage"": 3, ""method"": ""domain_prefix"", ""matched_prefix"": null, ""raw_candidates"": [], ""filtered_candidates"": [], ""n_candidates_after_exclude"": 0, ""excluded_by_pattern"": []}]"
confirmed_rai_episodes,no_feeder_candidate_in_4_stages,"[{""stage"": 1, ""method"": ""exact"", ""n_raw_candidates"": 1, ""n_candidates_after_exclude"": 0, ""candidates"": [], ""excluded_by_pattern"": [""canonical_patient_master""]}, {""stage"": 2, ""method"": ""suffix_strip"", ""attempts"": [], ""n_raw_candidates"": 0, ""n_candidates_after_exclude"": 0, ""excluded_by_pattern"": []}, {""stage"": 3, ""method"": ""domain_prefix"", ""matched_prefix"": null, ""raw_candidates"": [], ""filtered_candidates"": [], ""n_candidates_after_exclude"": 0, ""excluded_by_pattern"": []}]"
days_between_first_second_surgery,no_feeder_candidate_in_4_stages,"[{""stage"": 1, ""method"": ""exact"", ""n_raw_candidates"": 1, ""n_candidates_after_exclude"": 0, ""candidates"": [], ""excluded_by_pattern"": [""canonical_patient_master""]}, {""stage"": 2, ""method"": ""suffix_strip"", ""attempts"": [], ""n_raw_candidates"": 0, ""n_candidates_after_exclude"": 0, ""excluded_by_pattern"": []}, {""stage"": 3, ""method"": ""domain_prefix"", ""matched_prefix"": null, ""raw_candidates"": [], ""filtered_candidates"": [], ""n_candidates_after_exclude"": 0, ""excluded_by_pattern"": []}]"
days_to_first_laryngoscopy,no_feeder_candidate_in_4_stages,"[{""stage"": 1, ""method"": ""exact"", ""n_raw_candidates"": 1, ""n_candidates_after_exclude"": 0, ""candidates"": [], ""excluded_by_pattern"": [""canonical_patient_master""]}, {""stage"": 2, ""method"": ""suffix_strip"", ""attempts"": [], ""n_raw_candidates"": 0, ""n_candidates_after_exclude"": 0, ""excluded_by_pattern"": []}, {""stage"": 3, ""method"": ""domain_prefix"", ""matched_prefix"": null, ""raw_candidates"": [], ""filtered_candidates"": [], ""n_candidates_after_exclude"": 0, ""excluded_by_pattern"": []}]"
days_to_last_laryngoscopy,no_feeder_candidate_in_4_stages,"[{""stage"": 1, ""method"": ""exact"", ""n_raw_candidates"": 1, ""n_candidates_after_exclude"": 0, ""candidates"": [], ""excluded_by_pattern"": [""canonical_patient_master""]}, {""stage"": 2, ""method"": ""suffix_strip"", ""attempts"": [], ""n_raw_candidates"": 0, ""n_candidates_after_exclude"": 0, ""excluded_by_pattern"": []}, {""stage"": 3, ""method"": ""domain_prefix"", ""matched_prefix"": null, ""raw_candidates"": [], ""filtered_candidates"": [], ""n_candidates_after_exclude"": 0, ""excluded_by_pattern"": []}]"
diagnosis_confidence,no_feeder_candidate_in_4_stages,"[{""stage"": 1, ""method"": ""exact"", ""n_raw_candidates"": 1, ""n_candidates_after_exclude"": 0, ""candidates"": [], ""excluded_by_pattern"": [""canonical_patient_master""]}, {""stage"": 2, ""method"": ""suffix_strip"", ""attempts"": [], ""n_raw_candidates"": 0, ""n_candidates_after_exclude"": 0, ""excluded_by_pattern"": []}, {""stage"": 3, ""method"": ""domain_prefix"", ""matched_prefix"": null, ""raw_candidates"": [], ""filtered_candidates"": [], ""n_candidates_after_exclude"": 0, ""excluded_by_pattern"": []}]"
distant_mets_proxy,no_feeder_candidate_in_4_stages,"[{""stage"": 1, ""method"": ""exact"", ""n_raw_candidates"": 1, ""n_candidates_after_exclude"": 0, ""candidates"": [], ""excluded_by_pattern"": [""canonical_patient_master""]}, {""stage"": 2, ""method"": ""suffix_strip"", ""attempts"": [], ""n_raw_candidates"": 0, ""n_candidates_after_exclude"": 0, ""excluded_by_pattern"": []}, {""stage"": 3, ""method"": ""domain_prefix"", ""matched_prefix"": null, ""raw_candidates"": [], ""filtered_candidates"": [], ""n_candidates_after_exclude"": 0, ""excluded_by_pattern"": []}]"
first_tg_days_from_surg,no_feeder_candidate_in_4_stages,"[{""stage"": 1, ""method"": ""exact"", ""n_raw_candidates"": 1, ""n_candidates_after_exclude"": 0, ""candidates"": [], ""excluded_by_pattern"": [""canonical_patient_master""]}, {""stage"": 2, ""method"": ""suffix_strip"", ""attempts"": [], ""n_raw_candidates"": 0, ""n_candidates_after_exclude"": 0, ""excluded_by_pattern"": []}, {""stage"": 3, ""method"": ""domain_prefix"", ""matched_prefix"": null, ""raw_candidates"": [], ""filtered_candidates"": [], ""n_candidates_after_exclude"": 0, ""excluded_by_pattern"": []}]"
gland_weight_combined_g,no_feeder_candidate_in_4_stages,"[{""stage"": 1, ""method"": ""exact"", ""n_raw_candidates"": 1, ""n_candidates_after_exclude"": 0, ""candidates"": [], ""excluded_by_pattern"": [""canonical_patient_master""]}, {""stage"": 2, ""method"": ""suffix_strip"", ""attempts"": [], ""n_raw_candidates"": 0, ""n_candidates_after_exclude"": 0, ""excluded_by_pattern"": []}, {""stage"": 3, ""method"": ""domain_prefix"", ""matched_prefix"": null, ""raw_candidates"": [], ""filtered_candidates"": [], ""n_candidates_after_exclude"": 0, ""excluded_by_pattern"": []}]"
