view_name,status,row_count_or_error
canonical_detail_pointer_v1,ok,1507
cohort_descriptive_full_cohort_v1,ok,10871
cohort_m001_indeterminate_genetics_v1,ok,1316
cohort_m004_graves_hashimoto_cancer_v1,ok,1761
cohort_m006_molecular_surg_decision_v1,ok,1286
cohort_m007_rss_reclassification_v1,ok,3144
cohort_m009_parathyroid_final_path_v1,ok,1409
cohort_m011_tirads_fna_genetics_v1,ok,3474
cohort_m016_graves_carcinoma_v1,ok,574
cohort_m017_eucalcemic_hypopara_v1,ok,66
cohort_m018_molecular_beth56_v1,ok,1556
cohort_m019_rai_outcomes_v1,ok,862
cohort_m023_preop_genetics_v1,ok,1286
cohort_m025_tirads_performance_v1,ok,3474
cohort_m028_bethesda_iii_iv_v1,ok,1316
cohort_m029_fna_concordance_v1,ok,2404
cohort_m030_genetic_predictive_v1,ok,1286
cohort_m031_nuclear_medicine_v1,ok,1148
cohort_m032_descriptive_25yr_v1,ok,10871
cohort_m033_afirma_thyroseq_v1,ok,969
cohort_m035_bethesda_v_v1,ok,276
cohort_m036_ata_risk_comparison_v1,ok,4137
cohort_m037_ln_metastasis_v1,ok,2271
cohort_m038_massive_goiter_v1,ok,10871
cohort_m039_pth_calcium_v1,ok,4561
cohort_m040_reoperative_v1,ok,894
cohort_m042_incidental_parathyroid_v1,ok,1497
cohort_m043_ln_predictors_v1,ok,4137
cohort_m044_ajcc_ete_v1,ok,4080
cohort_m045_multimodal_risk_v1,ok,1193
cohort_m046_niftp_era_bethesda_v1,ok,5037
cohort_m047_frozen_section_v1,ok,8668
cohort_m048_tnm_multifocal_v1,ok,10871
cohort_m049_pyramidal_lobe_v1,ok,10871
cohort_m050_tumor_size_volume_v1,ok,10871
cohort_m051_ete_ln_v1,ok,10871
cohort_m052_mrlnd_ln_count_v1,ok,10871
cohort_m053_nondiagnostic_fna_v1,ok,10871
cohort_m054_niftp_reclass_v1,ok,10871
cohort_m055_recurrence_rai_v1,ok,10871
cohort_m056_age_epidemiology_v1,ok,10871
cohort_m057_risk_stratification_v1,ok,10871
cohort_m058_thyroid_size_weight_v1,ok,10871
cohort_m059_prognostic_scoring_v1,ok,10871
cohort_m060_adenoma_ftump_v1,ok,10871
cohort_m061_thyroiditis_outcomes_v1,ok,10871
cohort_m062_incidental_frozen_v1,ok,10871
cohort_m063_frozen_false_neg_v1,ok,10871
cohort_m064_frozen_decision_v1,ok,10871
cohort_m065_frozen_tt_vs_lob_v1,ok,10871
cohort_m066_parathyroid_id_v1,ok,10871
cohort_m067_tsh_tg_tumorigenesis_v1,ok,2567
cohort_m068_mutation_labs_v1,ok,10871
cohort_m069_graves_hashimoto_v1,ok,10871
cohort_m070_hereditary_v1,ok,10871
cohort_m071_immunologic_meds_v1,ok,10871
cohort_m072_molecular_surg_impact_v1,ok,1286
cohort_m073_tg_lob_vs_tt_v1,ok,2567
cohort_m075_tirads_multi_nodule_v1,ok,3474
cohort_m076_ln_surveillance_v1,ok,10871
cohort_m078_graves_survival_v1,ok,1530
cohort_m079_eucalcemic_outcomes_v1,ok,66
cohort_m080_molecular_beth56_v1,ok,317
cohort_m081_rai_resistant_v1,ok,862
cohort_m082_parathyroid_tumors_v1,ok,1399
imaging_nodule_master_clean_v1,ok,34946
path_tumor_size_invariant_v1,ok,80
