original_db,original_schema,original_table,action,new_location,reason
Thyroid 2026 UPdated,main,analysis_cancer_cohort_v1,review,,Unclassified main table; pending manual review.
Thyroid 2026 UPdated,main,analysis_molecular_subset_v1,review,,Unclassified main table; pending manual review.
Thyroid 2026 UPdated,main,analysis_recurrence_subset_v1,review,,Unclassified main table; pending manual review.
Thyroid 2026 UPdated,main,analysis_tirads_subset_v1,review,,Unclassified main table; pending manual review.
Thyroid 2026 UPdated,main,canonical_benign_diagnosis_v1,review,,Unclassified main table; pending manual review.
Thyroid 2026 UPdated,main,canonical_diagnosis_unified_v1,review,,Unclassified main table; pending manual review.
Thyroid 2026 UPdated,main,canonical_malignant_diagnosis_v1,review,,Unclassified main table; pending manual review.
Thyroid 2026 UPdated,main,canonical_molecular_tested_v1,review,,Unclassified main table; pending manual review.
Thyroid 2026 UPdated,main,canonical_patient_master_v1,archive_to_archive_legacy,Thyroid 2026 UPdated.archive_legacy.canonical_patient_master_v1_<UTC>,Legacy CPM v1 table superseded by canonical_patient_master in publication DB.
Thyroid 2026 UPdated,main,canonical_recurrence_v1,review,,Unclassified main table; pending manual review.
Thyroid 2026 UPdated,main,canonical_survival_followup_v1,review,,Unclassified main table; pending manual review.
Thyroid 2026 UPdated,main,clinical_note_ln_extracted_v1,review,,Unclassified main table; pending manual review.
Thyroid 2026 UPdated,main,clinical_notes_long,tag_raw_source,Thyroid 2026 UPdated.main.clinical_notes_long,Raw source / Excel-derived staging table; mirrored to publication DB; tag-only.
Thyroid 2026 UPdated,main,complication_patient_summary_v1,review,,Unclassified main table; pending manual review.
Thyroid 2026 UPdated,main,complication_phenotype_v1,review,,Unclassified main table; pending manual review.
Thyroid 2026 UPdated,main,ct_imaging,tag_raw_source,Thyroid 2026 UPdated.main.ct_imaging,Raw source / Excel-derived staging table; mirrored to publication DB; tag-only.
Thyroid 2026 UPdated,main,data_dictionary_v221,review,,Unclassified main table; pending manual review.
Thyroid 2026 UPdated,main,episode_analysis_resolved_v1_dedup,review,,Unclassified main table; pending manual review.
Thyroid 2026 UPdated,main,event_date_audit_v2,review,,Unclassified main table; pending manual review.
Thyroid 2026 UPdated,main,extracted_braf_recovery_v1,review,,Unclassified main table; pending manual review.
Thyroid 2026 UPdated,main,extracted_complications_refined_v5,review,,Unclassified main table; pending manual review.
Thyroid 2026 UPdated,main,extracted_ete_subgraded_v1,review,,Unclassified main table; pending manual review.
Thyroid 2026 UPdated,main,extracted_fna_bethesda_v1,review,,Unclassified main table; pending manual review.
Thyroid 2026 UPdated,main,extracted_postop_labs_expanded_v1,review,,Unclassified main table; pending manual review.
Thyroid 2026 UPdated,main,extracted_ras_patient_summary_v1,review,,Unclassified main table; pending manual review.
Thyroid 2026 UPdated,main,extracted_rln_injury_refined_v2,review,,Unclassified main table; pending manual review.
Thyroid 2026 UPdated,main,extracted_tirads_validated_v1,review,,Unclassified main table; pending manual review.
Thyroid 2026 UPdated,main,fna_cytology,tag_raw_source,Thyroid 2026 UPdated.main.fna_cytology,Raw source / Excel-derived staging table; mirrored to publication DB; tag-only.
Thyroid 2026 UPdated,main,fna_episode_master_v2,review,,Unclassified main table; pending manual review.
Thyroid 2026 UPdated,main,fna_history,review,,Unclassified main table; pending manual review.
Thyroid 2026 UPdated,main,fna_molecular_linkage_v3,review,,Unclassified main table; pending manual review.
Thyroid 2026 UPdated,main,imaging_exam_master_v1,review,,Unclassified main table; pending manual review.
Thyroid 2026 UPdated,main,imaging_fna_linkage_mm_v1,review,,Unclassified main table; pending manual review.
Thyroid 2026 UPdated,main,imaging_fna_linkage_v3,review,,Unclassified main table; pending manual review.
Thyroid 2026 UPdated,main,imaging_nodule_long_v2,review,,Unclassified main table; pending manual review.
Thyroid 2026 UPdated,main,imaging_nodule_master_v1,review,,Unclassified main table; pending manual review.
Thyroid 2026 UPdated,main,imaging_patient_summary_v1,review,,Unclassified main table; pending manual review.
Thyroid 2026 UPdated,main,lab_cross_wave_dedup_map_v1,review,,Unclassified main table; pending manual review.
Thyroid 2026 UPdated,main,lesion_analysis_resolved_v1,review,,Unclassified main table; pending manual review.
Thyroid 2026 UPdated,main,linkage_ambiguity_review_v1,review,,Unclassified main table; pending manual review.
Thyroid 2026 UPdated,main,linkage_master_v1,review,,Unclassified main table; pending manual review.
Thyroid 2026 UPdated,main,linkage_summary_v3,review,,Unclassified main table; pending manual review.
Thyroid 2026 UPdated,main,ln_crossval_v1,review,,Unclassified main table; pending manual review.
Thyroid 2026 UPdated,main,ln_master_rollup_v1,review,,Unclassified main table; pending manual review.
Thyroid 2026 UPdated,main,ln_x_marker_audit_v1,review,,Unclassified main table; pending manual review.
