source_location_raw,n_source_rows,canonical_position,parse_status
total thyroidectomy,635,extrathyroidal_other,parsed
right lobectomy,591,extrathyroidal_other,parsed
left lobectomy,535,extrathyroidal_other,parsed
right upper,169,right_superior,parsed
left upper,163,left_superior,parsed
right inferior,150,right_inferior,parsed
right lower,134,right_inferior,parsed
left lower,129,left_inferior,parsed
left inferior,124,left_inferior,parsed
right superior,117,right_superior,parsed
left superior,111,left_superior,parsed
Total thyroidectomy,95,extrathyroidal_other,parsed
thyroidectomy,66,extrathyroidal_other,parsed
right (unspecified),31,extrathyroidal_other,parsed
left (unspecified),29,extrathyroidal_other,parsed
right central compartment,27,extrathyroidal_other,parsed
left central compartment,25,extrathyroidal_other,parsed
right paratracheal mass,22,extrathyroidal_other,parsed
parathyroid (unspecified),21,extrathyroidal_other,parsed
central neck dissection,20,,unparseable_left_null
right paratracheal soft tissue,13,extrathyroidal_other,parsed
unspecified,13,extrathyroidal_other,parsed
left paratracheal mass,11,extrathyroidal_other,parsed
left upper excision,10,left_superior,parsed
central compartment,9,extrathyroidal_other,parsed
total thyroidectomy and central compartment,9,extrathyroidal_other,parsed
right lower biopsy,8,right_inferior,parsed
left paratracheal soft tissue,7,extrathyroidal_other,parsed
left upper biopsy,7,left_superior,parsed
parathyroid gland (unspecified),7,extrathyroidal_other,parsed
right upper biopsy,7,right_superior,parsed
total thyroidectomy and central node dissection,7,extrathyroidal_other,parsed
Right lobectomy,6,extrathyroidal_other,parsed
right parathyroid,6,,unparseable_left_null
right paratracheal tissue,6,extrathyroidal_other,parsed
right upper excision,6,right_superior,parsed
superior (unspecified),6,extrathyroidal_other,parsed
central compartment dissection,5,extrathyroidal_other,parsed
left and central lymph node dissection,5,,unparseable_left_null
left central neck dissection,5,,unparseable_left_null
left lobe,5,,unparseable_left_null
Left lobectomy,5,extrathyroidal_other,parsed
left lower excision,5,left_inferior,parsed
left thymus biopsy,5,extrathyroidal_other,parsed
left upper parathyroidectomy,5,left_superior,parsed
parathyroid (unsepcified),5,,unparseable_left_null
right lobe,5,,unparseable_left_null
rule out parathyroid,5,,unparseable_left_null
total thyroidectomy and central lymph nodes,5,extrathyroidal_other,parsed
left lower biopsy,4,left_inferior,parsed
parathyroid (unspecfified),4,,unparseable_left_null
pretracheal lymph node excision,4,,unparseable_left_null
right central comaprtment,4,,unparseable_left_null
right infeiror,4,right_inferior,parsed
right lobectomy (2),4,extrathyroidal_other,parsed
right lower excision,4,right_inferior,parsed
total thyroidctomy,4,,unparseable_left_null
total thyroidecotmy,4,,unparseable_left_null
central lymph nodes,3,,unparseable_left_null
central neck lymph node dissection,3,,unparseable_left_null
intrathyroidal,3,,unparseable_left_null
left central compartment dissection,3,extrathyroidal_other,parsed
left inferior paratracheal mass,3,left_inferior,parsed
left inferior remainder,3,left_inferior,parsed
left lobectomy (2),3,extrathyroidal_other,parsed
left supeiror,3,left_superior,parsed
left superior (2),3,left_superior,parsed
left superior remainder,3,left_superior,parsed
left upper (2),3,left_superior,parsed
pretracheal lymph node,3,,unparseable_left_null
right and central lymph node dissection,3,,unparseable_left_null
right neck mass,3,,unparseable_left_null
right paratracheal,3,extrathyroidal_other,parsed
right paratracheal mass #2,3,extrathyroidal_other,parsed
right paratracheal mass excision,3,extrathyroidal_other,parsed
right upper parathyroidectomy,3,right_superior,parsed
substernal thyroidectomy,3,extrathyroidal_other,parsed
total thyroidectomy and central lymph node dissection,3,extrathyroidal_other,parsed
Total thyroidectomy and central neck contents,3,extrathyroidal_other,parsed
central compartment lymph nodes,2,extrathyroidal_other,parsed
central compartment lymph nodes excsion,2,extrathyroidal_other,parsed
Central lymph node dissection,2,,unparseable_left_null
central lymph node excision,2,,unparseable_left_null
left,2,,unparseable_left_null
left central compartment content,2,extrathyroidal_other,parsed
left central compartment lymphadenectomy,2,extrathyroidal_other,parsed
left infeiror,2,left_inferior,parsed
left inferior (2),2,left_inferior,parsed
left level 6 lymph node dissection,2,extrathyroidal_other,parsed
left lobe & isthmus intrathyroidal,2,intrathyroidal_left,parsed
left lobe intrathyroidal,2,intrathyroidal_left,parsed
left lower (2),2,left_inferior,parsed
left lower parathyroidectomy,2,left_inferior,parsed
left neck mass,2,,unparseable_left_null
left paratracheal lymph node,2,extrathyroidal_other,parsed
left paratracheal mass excision,2,extrathyroidal_other,parsed
left paratracheal tissue,2,extrathyroidal_other,parsed
Left superior paratracheal mass,2,left_superior,parsed
left thyroid nodule biopsy,2,,unparseable_left_null
left upper partial resection,2,left_superior,parsed
left upper remainder,2,left_superior,parsed
lower (unspecified),2,extrathyroidal_other,parsed
mediastinal,2,extrathyroidal_other,parsed
parathyroid (unspecified-2),2,extrathyroidal_other,parsed
paratracheal lymph node biopsy,2,extrathyroidal_other,parsed
paratracheal mass,2,extrathyroidal_other,parsed
pretracheal lymph node biopsy,2,,unparseable_left_null
questionable parathyroid,2,,unparseable_left_null
"REMAINDER OF RIGHT UPPER LOBE THYROID"", EXCISION:",2,right_superior,parsed
right central compartment dissection,2,extrathyroidal_other,parsed
right central neck contents,2,,unparseable_left_null
right central neck dissection,2,,unparseable_left_null
Right inferior,2,right_inferior,parsed
right lobe and isthmus,2,,unparseable_left_null
right lobectomy intrathyroidal,2,intrathyroidal_right,parsed
right lower (2),2,right_inferior,parsed
Right lower excsion,2,right_inferior,parsed
right neck excision,2,,unparseable_left_null
right neck mass excision,2,,unparseable_left_null
right parathyroid (unspecified),2,extrathyroidal_other,parsed
right paratracheal excision,2,extrathyroidal_other,parsed
right paratracheal lymph node excision,2,extrathyroidal_other,parsed
right superior (2),2,right_superior,parsed
right superior paratracheal mass,2,right_superior,parsed
right superior remainder,2,right_superior,parsed
right thymus,2,extrathyroidal_other,parsed
right upper (2),2,right_superior,parsed
substeranl thyroidectomy,2,extrathyroidal_other,parsed
subtotal thyroidectomy,2,extrathyroidal_other,parsed
Thyroidectomy,2,extrathyroidal_other,parsed
total thyroidectomy & central neck dissection,2,extrathyroidal_other,parsed
total thyroidectomy (2),2,extrathyroidal_other,parsed
total thyroidectomy and central neck dissection,2,extrathyroidal_other,parsed
total thyroidectomy and central neck dissection:,2,extrathyroidal_other,parsed
Total thyroidectomy and neck dissection,2,extrathyroidal_other,parsed
total thyroidectomy with central compartment dissection,2,extrathyroidal_other,parsed
Total thyroidectomy with central compartment dissection,2,extrathyroidal_other,parsed
additioinal parathyroid impalnts (unspecified),1,extrathyroidal_other,parsed
anterior compartment,1,,unparseable_left_null
anterior mediastinal mass,1,extrathyroidal_other,parsed
central and right cervical lymph hnode dissection,1,,unparseable_left_null
Central compartment dissection,1,extrathyroidal_other,parsed
Central compartment excision,1,extrathyroidal_other,parsed
central compartment level 6,1,extrathyroidal_other,parsed
central compartment lymph node,1,extrathyroidal_other,parsed
CENTRAL COMPARTMENT LYMPH NODE AND RIGHT PARATRACHEAL NODES,1,extrathyroidal_other,parsed
central compartment right lymphadenectomy,1,extrathyroidal_other,parsed
central compartment right lymphadenectomy (2),1,extrathyroidal_other,parsed
central compartmnet dissectino,1,,unparseable_left_null
central lymph node,1,,unparseable_left_null
central lymphadenectomy,1,,unparseable_left_null
central neck,1,,unparseable_left_null
central neck contents,1,,unparseable_left_null
"CENTRAL NECK CONTENTS, EXCISION:",1,,unparseable_left_null
Central Neck dissection,1,,unparseable_left_null
central neck excision,1,,unparseable_left_null
Central Neck Lymph Node,1,,unparseable_left_null
central neck lymph nodes excision,1,,unparseable_left_null
"CENTRAL NECK LYMPH NODES, DISSECTION",1,,unparseable_left_null
central neck lymphadenectomy,1,,unparseable_left_null
central neck nodes,1,,unparseable_left_null
central neck tissue,1,,unparseable_left_null
Central neck tissue:,1,,unparseable_left_null
central node dissection,1,,unparseable_left_null
cervical thyroidectomy,1,extrathyroidal_other,parsed
completion thyroidectomy,1,extrathyroidal_other,parsed
deep right (unspecified),1,extrathyroidal_other,parsed
delphian lymph node,1,,unparseable_left_null
ectopic right substernal thyroid,1,extrathyroidal_other,parsed
evaluate for parathyroid,1,,unparseable_left_null
"HYROID AND LEFT NECK LYMPH NODES LEVEL VI, TOTAL THYROIDECTOMY AND LYMPH NODE DISSECTION:",1,extrathyroidal_other,parsed
intrathyroidal parathyroid gland left lobe,1,intrathyroidal_left,parsed
isthmic margin excision,1,,unparseable_left_null
isthmusectomy,1,,unparseable_left_null
left (unspecfified),1,,unparseable_left_null
left (unspecified,1,extrathyroidal_other,parsed
left and central compartment,1,extrathyroidal_other,parsed
left and central lymphadenectomy,1,,unparseable_left_null
left cenrtral compartment,1,,unparseable_left_null
left central comaprtment,1,,unparseable_left_null
left central compartment content dissection,1,extrathyroidal_other,parsed
LEFT CENTRAL COMPARTMENT CONTENTS (DISSECTION),1,extrathyroidal_other,parsed
"Left central compartment contents, excision:",1,extrathyroidal_other,parsed
Left central compartment dissection,1,extrathyroidal_other,parsed
left central compartment lymph nodes,1,extrathyroidal_other,parsed
left central compartmnt,1,,unparseable_left_null
left central neck content,1,,unparseable_left_null
left central neck lymph nodes excision,1,,unparseable_left_null
left central neck lymphadenectomy,1,,unparseable_left_null
"LEFT CENTRAL NECK, DISSECTION:",1,,unparseable_left_null
left cervical lymph nodes and thymus excision,1,extrathyroidal_other,parsed
left compartment lymph node dissection,1,,unparseable_left_null
Left inferior,1,left_inferior,parsed
left inferior 3/4 excision,1,left_inferior,parsed
left inferior compartment dissection,1,left_inferior,parsed
left inferior neck content,1,left_inferior,parsed
left inferior neck content (2),1,left_inferior,parsed
left inferior neck mass,1,left_inferior,parsed
Left inferior paratracheal mass,1,left_inferior,parsed
left intrathyroidal,1,intrathyroidal_left,parsed
left isthmus,1,,unparseable_left_null
left level 6 cervical lymph node excision,1,extrathyroidal_other,parsed
left level 6 lymph nodes excision,1,extrathyroidal_other,parsed
left level 6 neck dissection,1,extrathyroidal_other,parsed
left lobe excision,1,,unparseable_left_null
left lobe parathyroid resection (1),1,,unparseable_left_null
left lobe parathyroid resection (2),1,,unparseable_left_null
left lobe perithyroidal,1,,unparseable_left_null
left lobe subtotal,1,,unparseable_left_null
Left Lobectomy,1,extrathyroidal_other,parsed
left lobectomy (inferior pole section),1,left_inferior,parsed
left lobectomy and attached parathyroidectomy,1,extrathyroidal_other,parsed
left lobectomy and centrl neck dissection,1,extrathyroidal_other,parsed
left lobectomy and parathyroid tumor excision,1,extrathyroidal_other,parsed
left lobectomy and parathyroidectomy,1,extrathyroidal_other,parsed
Left lobectomy and paratracheal node,1,extrathyroidal_other,parsed
Left lobectomy and substernal goiter,1,extrathyroidal_other,parsed
left lobectomy intrathyroidal,1,intrathyroidal_left,parsed
left lobectoy,1,,unparseable_left_null
left lower cyst excision,1,left_inferior,parsed
Left lower excision,1,left_inferior,parsed
left lower incision,1,left_inferior,parsed
"LEFT LOWER PARATHYROID, BIOPSY",1,left_inferior,parsed
left lower pretracheal lymph node excision,1,left_inferior,parsed
left lower remaining excision,1,left_inferior,parsed
left lower resection,1,left_inferior,parsed
left mid,1,,unparseable_left_null
left middle,1,,unparseable_left_null
left midiastinal,1,,unparseable_left_null
left neck cyst,1,,unparseable_left_null
left neck dissection,1,,unparseable_left_null
left neck level 2 dissection,1,,unparseable_left_null
left neck level 6,1,extrathyroidal_other,parsed
left neck lymph node biopsy,1,,unparseable_left_null
left neck mass possible superior parathyroid,1,left_superior,parsed
Left paraglandular lymph node,1,,unparseable_left_null
left parathyroid,1,,unparseable_left_null
left parathyroid (unspecified),1,extrathyroidal_other,parsed
Left parathyroid tumor (unspecified),1,extrathyroidal_other,parsed
left parathyroidectomy intrathyroidal,1,intrathyroidal_left,parsed
left paratracheal,1,extrathyroidal_other,parsed
Left paratracheal,1,extrathyroidal_other,parsed
left paratracheal and central compartment,1,extrathyroidal_other,parsed
left paratracheal content,1,extrathyroidal_other,parsed
left paratracheal contents,1,extrathyroidal_other,parsed
"LEFT PARATRACHEAL LESION, BIOPSY",1,extrathyroidal_other,parsed
left paratracheal lymph node dissection,1,extrathyroidal_other,parsed
left paratracheal lymph node excision,1,extrathyroidal_other,parsed
left paratracheal lymph nodes dissection,1,extrathyroidal_other,parsed
left paratracheal lymph nodes excision,1,extrathyroidal_other,parsed
left paratracheal mass excsion,1,extrathyroidal_other,parsed
left paratracheal neck content,1,extrathyroidal_other,parsed
left paratracheal node,1,extrathyroidal_other,parsed
"Left paratracheal soft tissue #1, excision:",1,extrathyroidal_other,parsed
"Left paratracheal, excision (1)",1,extrathyroidal_other,parsed
"Left paratracheal, excision (2)",1,extrathyroidal_other,parsed
left partracheal soft tissue,1,,unparseable_left_null
left radial neck dissection,1,,unparseable_left_null
left remainder (unspecified),1,extrathyroidal_other,parsed
left soft tissue,1,,unparseable_left_null
left subotal thyroid,1,,unparseable_left_null
left substernal,1,,unparseable_left_null
left substernal goiter,1,,unparseable_left_null
left substernal thyroidectomy,1,extrathyroidal_other,parsed
left supeiror remainder,1,left_superior,parsed
left superioer,1,,unparseable_left_null
left superior paratracheal mass,1,left_superior,parsed
"Left superior paratracheal soft tissue, excision",1,left_superior,parsed
"Left superior paratracheal tissue, excision:",1,left_superior,parsed
left superrior,1,,unparseable_left_null
left suprerior,1,left_superior,parsed
left thymic para gland biopsy,1,extrathyroidal_other,parsed
