detail_table_name,wildcard_feed_col,like_pattern,match
operative_episode_detail_v2,op_* columns,op_%,ops_preop_symptoms
operative_episode_detail_v2,op_* columns,op_%,ops_prior_neck_irradiation
operative_episode_detail_v2,op_* columns,op_%,ops_prior_neck_operation
operative_episode_detail_v2,op_* columns,op_%,ops_rl_ag
operative_episode_detail_v2,op_* columns,op_%,ops_rl_para_visualized
operative_episode_detail_v2,op_* columns,op_%,ops_rl_resection
operative_episode_detail_v2,op_* columns,op_%,ops_ru_ag
operative_episode_detail_v2,op_* columns,op_%,ops_ru_para_visualized
operative_episode_detail_v2,op_* columns,op_%,ops_ru_resection
operative_episode_detail_v2,op_* columns,op_%,ops_skin_to_skin_min
operative_episode_detail_v2,op_* columns,op_%,ops_supranumerary_para
operative_episode_detail_v2,op_* columns,op_%,ops_surg_date
operative_episode_detail_v2,op_* columns,op_%,ops_surgeon
operative_episode_detail_v2,op_* columns,op_%,ops_thyroid_scintigraphy
operative_episode_detail_v2,op_* columns,op_%,ops_tumor_side
