# generated_by,scripts/270c_phase_b_planning.py,generated_at,2026-04-17T07:26:38.644897+00:00
schema,table_name,object_type,row_count,disposition,justification,feeder_mapping,keep_list_entry,archive_target,phase_b_execute_order
main,ete_adjudication_v1,BASE TABLE,45,KEEP_KEEP_LIST,main_schema_keep_list_v1 entry: keep_reason='review_artifact' registered_by=270b_step_2,,review_artifact,,
main,path_size_adjudication_v241,BASE TABLE,96,KEEP_KEEP_LIST,main_schema_keep_list_v1 entry: keep_reason='human_review_pending' registered_by=270b_step_2,,human_review_pending,,
main,__readme,BASE TABLE,114,KEEP_PENDING_V1_1_DECISION,detail_table_registry_v1 row with EMPTY/NULL feeds_master_columns_normalized — deferred to v1_1 per v1_1_tech_debt_v1.debt_id='registry_null_residual_v1_1',,,,
main,analysis_molecular_subset_v1,BASE TABLE,10025,KEEP_PENDING_V1_1_DECISION,detail_table_registry_v1 row with EMPTY/NULL feeds_master_columns_normalized — deferred to v1_1 per v1_1_tech_debt_v1.debt_id='registry_null_residual_v1_1',,,,
main,canonical_tumor_characteristics_v1,BASE TABLE,11106,KEEP_PENDING_V1_1_DECISION,detail_table_registry_v1 row with EMPTY/NULL feeds_master_columns_normalized — deferred to v1_1 per v1_1_tech_debt_v1.debt_id='registry_null_residual_v1_1',,,,
main,clinical_notes_long,BASE TABLE,11050,KEEP_PENDING_V1_1_DECISION,detail_table_registry_v1 row with EMPTY/NULL feeds_master_columns_normalized — deferred to v1_1 per v1_1_tech_debt_v1.debt_id='registry_null_residual_v1_1',,,,
main,data_dictionary_v240,BASE TABLE,1529,KEEP_PENDING_V1_1_DECISION,detail_table_registry_v1 row with EMPTY/NULL feeds_master_columns_normalized — deferred to v1_1 per v1_1_tech_debt_v1.debt_id='registry_null_residual_v1_1',,,,
main,episode_analysis_resolved_v1_dedup,BASE TABLE,9368,KEEP_PENDING_V1_1_DECISION,detail_table_registry_v1 row with EMPTY/NULL feeds_master_columns_normalized — deferred to v1_1 per v1_1_tech_debt_v1.debt_id='registry_null_residual_v1_1',,,,
main,extracted_complications_refined_v5,BASE TABLE,358,KEEP_PENDING_V1_1_DECISION,detail_table_registry_v1 row with EMPTY/NULL feeds_master_columns_normalized — deferred to v1_1 per v1_1_tech_debt_v1.debt_id='registry_null_residual_v1_1',,,,
main,extracted_rln_injury_refined_v2,BASE TABLE,92,KEEP_PENDING_V1_1_DECISION,detail_table_registry_v1 row with EMPTY/NULL feeds_master_columns_normalized — deferred to v1_1 per v1_1_tech_debt_v1.debt_id='registry_null_residual_v1_1',,,,
main,extracted_tirads_validated_v1,BASE TABLE,3439,KEEP_PENDING_V1_1_DECISION,detail_table_registry_v1 row with EMPTY/NULL feeds_master_columns_normalized — deferred to v1_1 per v1_1_tech_debt_v1.debt_id='registry_null_residual_v1_1',,,,
main,fna_history,BASE TABLE,8119,KEEP_PENDING_V1_1_DECISION,detail_table_registry_v1 row with EMPTY/NULL feeds_master_columns_normalized — deferred to v1_1 per v1_1_tech_debt_v1.debt_id='registry_null_residual_v1_1',,,,
main,imaging_fna_linkage_v3,BASE TABLE,9911,KEEP_PENDING_V1_1_DECISION,detail_table_registry_v1 row with EMPTY/NULL feeds_master_columns_normalized — deferred to v1_1 per v1_1_tech_debt_v1.debt_id='registry_null_residual_v1_1',,,,
