column_name,candidate_origin_scripts,needs_manual_assignment
cpm_built_at,276_canonical_cleanup_phase6_provenance.py; 277_canonical_cleanup_phase7_verification.py,True
ct_airway_comment_last,219_imaging_gap_resolution.py,True
ct_airway_compromise_any,219_imaging_gap_resolution.py,True
ct_contrast_first,219_imaging_gap_resolution.py,True
ct_exam_type_first,219_imaging_gap_resolution.py,True
ct_first_date,219_imaging_gap_resolution.py; 221_final_database_consolidation.py,True
ct_first_days_from_surg,,True
ct_goiter_present_any,207_canonical_master_expansion.py,True
ct_indication_first,219_imaging_gap_resolution.py,True
ct_indication_last,219_imaging_gap_resolution.py,True
ct_largest_ln_short_axis_mm,207_canonical_master_expansion.py; 219_imaging_gap_resolution.py,True
ct_last_date,219_imaging_gap_resolution.py,True
ct_last_days_from_surg,,True
ct_ln_details_last,219_imaging_gap_resolution.py,True
ct_ln_enlarged_any,207_canonical_master_expansion.py,True
ct_ln_locations_last,219_imaging_gap_resolution.py,True
ct_pathologic_ln_any,219_imaging_gap_resolution.py,True
ct_thyroid_details_last,219_imaging_gap_resolution.py,True
ct_thyroid_enlarged_any,219_imaging_gap_resolution.py,True
ct_thyroid_heterogeneous_any,219_imaging_gap_resolution.py,True
ct_thyroid_nodule_any,219_imaging_gap_resolution.py,True
ct_thyroid_normal_any,219_imaging_gap_resolution.py,True
ct_thyroid_not_visualized_any,219_imaging_gap_resolution.py,True
ct_thyroid_other_abnormality_any,219_imaging_gap_resolution.py,True
ct_thyroid_postsurgical_any,219_imaging_gap_resolution.py,True
ct_tracheal_narrowing_any,207_canonical_master_expansion.py,True
date_traceability_status,207_canonical_master_expansion.py; 250_registry_pointer_rebuild.py; 29_validation_engine.py; 46_provenance_audit.py; 48_build_analysis_resolved_layer.py,True
days_first_to_last_tg,113_tg_lab_ingestion.py; 207_canonical_master_expansion.py,True
death_days_from_surg,,True
death_integration_script,221a_death_date_integration.py,True
death_occurred,210_database_audit_backup.py; 221a_death_date_integration.py; 233_canonical_finalization.py; 233_phase0c_derivation.py,True
death_source,221a_death_date_integration.py,True
demo_confidence,207_canonical_master_expansion.py; 48_build_analysis_resolved_layer.py,True
demo_source,207_canonical_master_expansion.py; 48_build_analysis_resolved_layer.py,True
earliest_complication_days,207_canonical_master_expansion.py; 235_parathyroid_calcium_fix.py; 250_registry_pointer_rebuild.py; 52_complication_phenotyping_v2.py,True
eif1ax_positive,207_canonical_master_expansion.py,True
ene_ct,207_canonical_master_expansion.py; 240_ln_staging_cleanup.py,True
ene_deposit_cm,207_canonical_master_expansion.py,True
ene_grade_v9,207_canonical_master_expansion.py; 29_validation_engine.py,True
ene_levels_v9,207_canonical_master_expansion.py,True
ene_ln_concordance_status,240_ln_staging_cleanup.py,True
ene_n_sources,207_canonical_master_expansion.py,True
ene_op_intraop,207_canonical_master_expansion.py,True
ene_path_ct_concordance,207_canonical_master_expansion.py,True
ene_path_levels,207_canonical_master_expansion.py,True
ene_path_nlp,207_canonical_master_expansion.py; 240_ln_staging_cleanup.py,True
ene_path_synoptic,207_canonical_master_expansion.py; 240_ln_staging_cleanup.py,True
ene_pet,207_canonical_master_expansion.py; 240_ln_staging_cleanup.py,True
ene_positive,207_canonical_master_expansion.py; 240_ln_staging_cleanup.py; 279_ln_ene_consistency_and_recurrence_dict_clarification.py; 29_validation_engine.py,True
ene_rai_scan,207_canonical_master_expansion.py; 240_ln_staging_cleanup.py,True
ene_record_count_v9,207_canonical_master_expansion.py,True
ene_us,207_canonical_master_expansion.py; 240_ln_staging_cleanup.py,True
ete_adjudication_confidence,228_registry_backfill.py; 233_apply_ete_adjudication.py,True
ete_adjudication_evidence,228_registry_backfill.py; 233_apply_ete_adjudication.py,True
ete_adjudication_reasoning,233_apply_ete_adjudication.py,True
ete_adjudication_t_adjustment,233_apply_ete_adjudication.py,True
ete_any_present_path,,True
ete_grade_adjudicated,228_registry_backfill.py; 233_apply_ete_adjudication.py; 237_close_registry_gaps.py; 265_canonical_finalization.py,True
ete_grade_final,204_canonical_master_assembly.py; 205_canonical_consolidation.py; 207_canonical_master_expansion.py; 265_canonical_finalization.py; 48_build_analysis_resolved_layer.py,True
ete_grade_source,207_canonical_master_expansion.py; 265_canonical_finalization.py; 48_build_analysis_resolved_layer.py,True
ete_op_note_confidence,211_canonical_gap_fill.py,True
ete_op_note_grade,211_canonical_gap_fill.py,True
ete_ordinal_worst,,True
ete_original_grade,211_canonical_gap_fill.py,True
ete_original_source,211_canonical_gap_fill.py,True
first_recurrence_date,207_canonical_master_expansion.py; 221_eras_canonical_sync.py; 221_final_database_consolidation.py; 42_hypothesis1_cln_lobectomy.py; 44_hypothesis_validation_extension.py,True
first_recurrence_days_from_surg,,True
first_tg_date,113_tg_lab_ingestion.py; 207_canonical_master_expansion.py; 221_eras_canonical_sync.py; 221_final_database_consolidation.py; 223_ingest_and_publish.py,True
fna_bethesda_final,204_canonical_master_assembly.py; 205_canonical_consolidation.py; 207_canonical_master_expansion.py; 48_build_analysis_resolved_layer.py; 56_pre_manuscript_audit.py,True
fna_pathway_status,225_molecular_pipeline_fixes_and_cleanup.py; 227_finalization_cleanup.py,True
followup_all_sources,218_followup_recovery.py,True
followup_category,201_canonical_survival_followup.py; 204_canonical_master_assembly.py; 205_canonical_consolidation.py; 218_followup_recovery.py; 56_pre_manuscript_audit.py,True
followup_completeness_score,204_canonical_master_assembly.py; 205_canonical_consolidation.py,True
followup_n_contact_sources,218_followup_recovery.py,True
followup_or_death_date,221a_death_date_integration.py; 233_canonical_finalization.py; 233_make_report.py; 233_phase0c_derivation.py,True
followup_or_death_days_from_surg,,True
followup_or_death_years,221a_death_date_integration.py,True
followup_recovery_method,218_followup_recovery.py,True
gross_ete_flag,104_operative_truth_state_hardening.py; 111_llm_extraction_validation.py; 207_canonical_master_expansion.py; 213_data_dictionary.py; 221b_final_gap_resolution.py,True
has_low_calcium_flag,207_canonical_master_expansion.py; 210_database_audit_backup.py; 235_parathyroid_calcium_fix.py; 235_recon.py; 52_complication_phenotyping_v2.py,True
has_low_pth_flag,207_canonical_master_expansion.py; 210_database_audit_backup.py; 235_parathyroid_calcium_fix.py; 235_recon.py; 52_complication_phenotyping_v2.py,True
has_suspicious_candidate,207_canonical_master_expansion.py; 50_multinodule_imaging.py,True
hematoma_status,204_canonical_master_assembly.py; 205_canonical_consolidation.py; 235_parathyroid_calcium_fix.py; 48_build_analysis_resolved_layer.py; 52_complication_phenotyping_v2.py,True
high_risk_molecular_v7,207_canonical_master_expansion.py,True
histologic_types_all,250_registry_pointer_rebuild.py,True
histologic_variants_all,250_registry_pointer_rebuild.py,True
hras_positive_v11,207_canonical_master_expansion.py; 210_database_audit_backup.py,True
hypocalcemia_status,204_canonical_master_assembly.py; 205_canonical_consolidation.py; 235_parathyroid_calcium_fix.py; 48_build_analysis_resolved_layer.py; 52_complication_phenotyping_v2.py,True
hypoparathyroidism_status,204_canonical_master_assembly.py; 205_canonical_consolidation.py; 235_parathyroid_calcium_fix.py; 48_build_analysis_resolved_layer.py; 52_complication_phenotyping_v2.py,True
ihc_braf_confidence_v13,207_canonical_master_expansion.py,True
ihc_braf_note_type_v13,207_canonical_master_expansion.py,True
ihc_braf_result_v13,207_canonical_master_expansion.py,True
imaging_has_isthmus_nodule,271b_laterality_normalization.py,True
imaging_has_left_nodule,271b_laterality_normalization.py,True
imaging_has_right_nodule,271b_laterality_normalization.py,True
imaging_has_structured_components,271_tirads_imaging_finalization.py,True
imaging_laterality_rollup,271_tirads_imaging_finalization.py; 271a_fix_concordance_three_valued.py; 271b_laterality_normalization.py,True
imaging_laterality_rollup_v271b,271b_laterality_normalization.py,True
imaging_ln_abnormal,205_canonical_consolidation.py,True
imaging_suspicious_recurrence_flag,224_canonical_etl_fixes.py; 279_ln_ene_consistency_and_recurrence_dict_clarification.py,True
imaging_suspicious_unconfirmed,203_canonical_recurrence.py; 204_canonical_master_assembly.py; 205_canonical_consolidation.py; 224_canonical_etl_fixes.py; 279_ln_ene_consistency_and_recurrence_dict_clarification.py,True
imaging_tirads_best,204_canonical_master_assembly.py; 205_canonical_consolidation.py; 207_canonical_master_expansion.py; 48_build_analysis_resolved_layer.py; 56_pre_manuscript_audit.py,True
imaging_tirads_category,204_canonical_master_assembly.py; 205_canonical_consolidation.py; 48_build_analysis_resolved_layer.py,True
imaging_tirads_source,207_canonical_master_expansion.py; 48_build_analysis_resolved_layer.py,True
imaging_tirads_worst,204_canonical_master_assembly.py; 205_canonical_consolidation.py; 252_recompute_max_tirads.py; 48_build_analysis_resolved_layer.py,True
kras_positive_v11,207_canonical_master_expansion.py; 210_database_audit_backup.py,True
lab_calcium_first_date,217_lab_recovery_ln_integration.py; 221_final_database_consolidation.py,True
lab_calcium_first_days_from_surg,,True
lab_calcium_last_date,217_lab_recovery_ln_integration.py,True
lab_calcium_last_days_from_surg,,True
lab_calcium_max,217_lab_recovery_ln_integration.py; 235_parathyroid_calcium_fix.py,True
lab_calcium_min,217_lab_recovery_ln_integration.py; 235_parathyroid_calcium_fix.py; 235_recon.py,True
lab_calcium_most_recent,217_lab_recovery_ln_integration.py; 235_parathyroid_calcium_fix.py,True
lab_calcium_most_recent_date,217_lab_recovery_ln_integration.py,True
lab_calcium_most_recent_days_from_surg,,True
lab_calcium_n_censored,217_lab_recovery_ln_integration.py,True
lab_calcium_n_parsed_from_raw,217_lab_recovery_ln_integration.py,True
lab_calcium_unit,217_lab_recovery_ln_integration.py,True
lab_completeness_score,204_canonical_master_assembly.py; 205_canonical_consolidation.py; 214_final_canonical_integration.py; 48_build_analysis_resolved_layer.py; 53_longitudinal_lab_hardening.py,True
lab_pth_first_date,217_lab_recovery_ln_integration.py; 221_final_database_consolidation.py,True
lab_pth_first_days_from_surg,,True
lab_pth_last_date,217_lab_recovery_ln_integration.py,True
lab_pth_last_days_from_surg,,True
lab_pth_max,217_lab_recovery_ln_integration.py,True
lab_pth_min,217_lab_recovery_ln_integration.py; 235_parathyroid_calcium_fix.py,True
