# generated_by,scripts/scripts/270e_dry_run_plan.py,generated_at,2026-04-17T07:44:08.942490+00:00
schema,name,object_type,row_count_at_270c,live_row_count,live_queryable,live_error,view_ddl_available,justification_270c
mm_contract_dev,val_contract_required_join_keys_mm_v1,BASE TABLE,0,0,True,,False,empty base table (0 rows) in stray archive-DB schema — no clinical/audit value to preserve
mm_contract_dev,val_imaging_fna_contract_blockers_mm_v1,BASE TABLE,0,0,True,,False,empty base table (0 rows) in stray archive-DB schema — no clinical/audit value to preserve
mm_contract_dev,val_multi_tumor_report_mm_v1,VIEW,,,False,"Catalog Error: Table with name val_multitumor_expansion_mm_v1 does not exist!
Did you mean ""Thyroid 2026 UPdated.mm_contract_dev.val_multitumor_expansion_mm_v1""",True,"object not queryable (error: Catalog Error: Table with name val_multitumor_expansion_mm_v1 does not exist!
Di); cannot recover content for migration"
mm_contract_dev,val_multitumor_expansion_mm_v1,BASE TABLE,0,0,True,,False,empty base table (0 rows) in stray archive-DB schema — no clinical/audit value to preserve
mm_contract_dev,val_nodes_invariant_mm_v1,BASE TABLE,0,0,True,,False,empty base table (0 rows) in stray archive-DB schema — no clinical/audit value to preserve
mm_contract_dev,val_preop_temporal_order_mm_v1,BASE TABLE,0,0,True,,False,empty base table (0 rows) in stray archive-DB schema — no clinical/audit value to preserve
mm_contract_dev,val_side_lobe_mismatch_mm_v1,BASE TABLE,0,0,True,,False,empty base table (0 rows) in stray archive-DB schema — no clinical/audit value to preserve
qa,date_provenance_completeness_v,VIEW,,,False,"Catalog Error: Table with name domain_validation does not exist!
Did you mean ""Thyroid 2026 UPdated.qa.domain_validation""?",True,"object not queryable (error: Catalog Error: Table with name domain_validation does not exist!
Did you mean ""T); cannot recover content for migration"
qa,domain_validation_summary_v,VIEW,,,False,"Catalog Error: Table with name domain_validation does not exist!
Did you mean ""Thyroid 2026 UPdated.qa.domain_validation""?",True,"object not queryable (error: Catalog Error: Table with name domain_validation does not exist!
Did you mean ""T); cannot recover content for migration"
qa,manual_review_queue_summary_v,VIEW,,,False,"Catalog Error: Table with name manual_review_queue does not exist!
Did you mean ""Thyroid 2026 UPdated.qa.manual_review_queue""?",True,"object not queryable (error: Catalog Error: Table with name manual_review_queue does not exist!
Did you mean ); cannot recover content for migration"
qa,molecular_pipeline_run_audit,BASE TABLE,0,0,True,,False,empty base table (0 rows) in stray archive-DB schema — no clinical/audit value to preserve
qa,promotion_scorecard_summary_v,VIEW,,,False,"Catalog Error: Table with name promotion_scorecard does not exist!
Did you mean ""Thyroid 2026 UPdated.qa.promotion_scorecard""?",True,"object not queryable (error: Catalog Error: Table with name promotion_scorecard does not exist!
Did you mean ); cannot recover content for migration"
qa,tg_lab_ingestion_qc,BASE TABLE,0,0,True,,False,empty base table (0 rows) in stray archive-DB schema — no clinical/audit value to preserve
qa,v_diag_specimen_fhir_broken_refs_v1,VIEW,,,False,"Catalog Error: Table with name fhir_specimen_v1 does not exist!
Did you mean ""specimen_master_v1""?",True,"object not queryable (error: Catalog Error: Table with name fhir_specimen_v1 does not exist!
Did you mean ""sp); cannot recover content for migration"
qa,v_diag_specimen_fhir_bundle_entry_drift_v1,VIEW,,,False,"Catalog Error: Table with name fhir_bundle_specimen_export_v1 does not exist!
Did you mean ""specimen_source_xref_v1""?",True,"object not queryable (error: Catalog Error: Table with name fhir_bundle_specimen_export_v1 does not exist!
Di); cannot recover content for migration"
qa,v_diag_specimen_review_burden_v1,VIEW,,,False,"Catalog Error: Table with name specimen_genomic_link_review_v1 does not exist!
Did you mean ""Thyroid 2026 UPdated.qa.specimen_genomic_link_review_v1""?",True,"object not queryable (error: Catalog Error: Table with name specimen_genomic_link_review_v1 does not exist!
D); cannot recover content for migration"
