schema,name,reason,n_rows_before,archive_dest,action,skipped_because
main,data_dictionary_v240,explicit_supersession (n_rows=1529),1529,"""Thyroid 2026 UPdated"".""archive_pub_v1_0"".""data_dictionary_v240_pre266c_20260418T003012Z""",archived_and_dropped,
manuscript_workspace,cpm_unmapped_triage_v265,explicit_supersession (n_rows=223),223,"""Thyroid 2026 UPdated"".""archive_pub_v1_0"".""cpm_unmapped_triage_v265_pre266c_20260418T003012Z""",archived_and_dropped,
