# generated_by,scripts/270b_phase_a_step_2_registry.py --dry-run,generated_at,2026-04-17T06:22:36.414741+00:00
cpm_col,feeder,match_method,matched_source_col,alternatives_rejected_json
age_at_surgery,patient_analysis_resolved_v1,stage1_exact_full_cohort_preferred,age_at_surgery,"[{""candidate"": ""thyroglobulin_lab_canonical_v1"", ""reason"": ""lower_coverage_than_full_cohort""}, {""candidate"": ""tumor_pathology"", ""reason"": ""lower_coverage_than_full_cohort""}]"
any_confirmed_complication_flag,complication_patient_summary_v1,stage1_exact_single_candidate,any_confirmed_complication_flag,
bilateral_path_flag,patient_tumor_rollup_v1,stage1_exact_single_candidate,bilateral_path_flag,
date_traceability_status,patient_analysis_resolved_v1,stage1_exact_single_candidate,date_traceability_status,
days_first_to_last_tg,tg_timeline_patient_summary_v1,stage1_exact_single_candidate,days_first_to_last_tg,
demo_confidence,patient_analysis_resolved_v1,stage1_exact_single_candidate,demo_confidence,
demo_source,patient_analysis_resolved_v1,stage1_exact_single_candidate,demo_source,
earliest_complication_days,complication_patient_summary_v1,stage1_exact_single_candidate,earliest_complication_days,
first_tg_date,tg_timeline_patient_summary_v1,stage1_exact_single_candidate,first_tg_date,
has_isthmus_tumor,patient_tumor_rollup_v1,stage1_exact_single_candidate,has_isthmus_tumor,
has_left_tumor,patient_tumor_rollup_v1,stage1_exact_single_candidate,has_left_tumor,
has_low_calcium_flag,complication_patient_summary_v1,stage1_exact_single_candidate,has_low_calcium_flag,
has_low_pth_flag,complication_patient_summary_v1,stage1_exact_single_candidate,has_low_pth_flag,
has_right_tumor,patient_tumor_rollup_v1,stage1_exact_single_candidate,has_right_tumor,
has_suspicious_candidate,imaging_patient_summary_v1,stage1_exact_single_candidate,has_suspicious_candidate,
histologic_types_all,patient_tumor_rollup_v1,stage1_exact_single_candidate,histologic_types_all,
histologic_variants_all,patient_tumor_rollup_v1,stage1_exact_single_candidate,histologic_variants_all,
laterality,tumor_episode_master_v2,stage1_exact_full_cohort_preferred,laterality,"[{""candidate"": ""canonical_tumor_characteristics_v1"", ""reason"": ""lower_coverage_than_full_cohort""}, {""candidate"": ""canonical_us_nodule_characteristics_v1"", ""reason"": ""lower_coverage_than_full_cohort""}, {""candidate"": ""clinical_note_ln_extracted_v1"", ""reason"": ""lower_coverage_than_full_cohort""}, {""candidate"": ""extracted_rln_injury_refined_v2"", ""reason"": ""lower_coverage_than_full_cohort""}, {""candidate"": ""fna_episode_master_v2"", ""reason"": ""lower_coverage_than_full_cohort""}, {""candidate"": ""imaging_nodule_master_v1"", ""reason"": ""lower_coverage_than_full_cohort""}, {""candidate"": ""lesion_analysis_resolved_v1"", ""reason"": ""lower_coverage_than_full_cohort""}, {""candidate"": ""operative_episode_detail_v2"", ""reason"": ""lower_coverage_than_full_cohort""}, {""candidate"": ""patient_completion_oed_path_linkage_v1"", ""reason"": ""lower_coverage_than_full_cohort""}, {""candidate"": ""specimen_master_v1"", ""reason"": ""lower_coverage_than_full_cohort""}]"
n_tgab_measurements,tg_timeline_patient_summary_v1,stage1_exact_single_candidate,n_tgab_measurements,
n_tumors_ete_present,patient_tumor_rollup_v1,stage1_exact_single_candidate,n_tumors_ete_present,
n_tumors_lvi_present,patient_tumor_rollup_v1,stage1_exact_single_candidate,n_tumors_lvi_present,
n_tumors_margin_involved,patient_tumor_rollup_v1,stage1_exact_single_candidate,n_tumors_margin_involved,
n_tumors_margin_uninvolved,patient_tumor_rollup_v1,stage1_exact_single_candidate,n_tumors_margin_uninvolved,
n_tumors_with_size,patient_tumor_rollup_v1,stage1_exact_single_candidate,n_tumors_with_size,
research_id,canonical_patient_master,stage0_identity_self_reference,research_id,
rollup_built_at,patient_tumor_rollup_v1,stage1_exact_single_candidate,rollup_built_at,
rollup_source_table,patient_tumor_rollup_v1,stage1_exact_single_candidate,rollup_source_table,
scoring_ajcc8_flag,patient_analysis_resolved_v1,stage1_exact_single_candidate,scoring_ajcc8_flag,
scoring_ata_flag,patient_analysis_resolved_v1,stage1_exact_single_candidate,scoring_ata_flag,
scoring_macis_flag,patient_analysis_resolved_v1,stage1_exact_single_candidate,scoring_macis_flag,
sex,patient_analysis_resolved_v1,stage1_exact_full_cohort_preferred,sex,"[{""candidate"": ""survival_cohort_enriched"", ""reason"": ""lower_coverage_than_full_cohort""}, {""candidate"": ""tumor_pathology"", ""reason"": ""lower_coverage_than_full_cohort""}]"
tsh_suppressed_ever,patient_analysis_resolved_v1,stage1_exact_single_candidate,tsh_suppressed_ever,
worst_bethesda_num,extracted_fna_bethesda_v1,stage1_exact_single_candidate,worst_bethesda_num,
worst_tirads_category,imaging_patient_summary_v1,stage1_exact_single_candidate,worst_tirads_category,
