column_name,n_literal_nan,n_true_null,n_real_values,n_distinct_real,repair_action,repaired_at,repaired_by
ajcc7_m_stage,0,0,10871,2,NO_ACTION,,
ajcc7_missing_components,0,4127,6744,3,NO_ACTION,,
ajcc7_n_stage,0,6734,4137,4,NO_ACTION,,
ajcc7_stage_group,0,6989,3882,6,NO_ACTION,,
ajcc7_t_stage,0,6741,4130,6,NO_ACTION,,
ajcc8_m_stage,0,0,10871,2,NO_ACTION,,
ajcc8_m_stage_v2,0,0,10871,2,NO_ACTION,,
ajcc8_missing_components,0,4082,6789,1,NO_ACTION,,
ajcc8_n_stage,0,5594,5277,3,NO_ACTION,,
ajcc8_n_stage_note,0,6734,4137,8,NO_ACTION,,
ajcc8_n_stage_v2,0,6734,4137,4,NO_ACTION,,
ajcc8_stage_group,0,6788,4083,4,NO_ACTION,,
ajcc8_stage_group_corrected,0,6788,4083,3,NO_ACTION,,
ajcc8_stage_group_v2,0,6741,4130,5,NO_ACTION,,
ajcc8_t_stage,0,6788,4083,5,NO_ACTION,,
ajcc8_t_stage_corrected,0,6788,4083,5,NO_ACTION,,
ajcc8_t_stage_v2,0,6738,4133,8,NO_ACTION,,
ames_risk,0,0,10871,2,NO_ACTION,,
ames_risk_group,0,0,10871,2,NO_ACTION,,
ata_initial_risk,0,7727,3144,3,NO_ACTION,,
ata_response_category,0,10836,35,5,NO_ACTION,,
ata_risk_category,0,7727,3144,3,NO_ACTION,,
best_ene_grade,0,9275,1596,12,NO_ACTION,,
bethesda_category,0,5622,5249,6,NO_ACTION,,
bethesda_final_name,0,5622,5249,6,NO_ACTION,,
bethesda_source,0,5622,5249,4,NO_ACTION,,
bmi_missingness_reason,0,0,10871,2,NO_ACTION,,
bmi_note_source,0,10225,646,2,NO_ACTION,,
bmi_source,0,8786,2085,3,NO_ACTION,,
braf_detection_method,0,10495,376,3,NO_ACTION,,
braf_detection_method_v11,0,10495,376,3,NO_ACTION,,
braf_recovered_status_v11,0,10495,376,1,NO_ACTION,,
braf_recovered_variant_v11,0,10600,271,3,NO_ACTION,,
braf_source,0,844,10027,2,NO_ACTION,,
braf_status_v7,0,847,10024,2,NO_ACTION,,
braf_variant,0,10698,173,2,NO_ACTION,,
braf_variant_raw,0,10698,173,2,NO_ACTION,,
capsular_invasion_refined,0,9680,1191,2,NO_ACTION,,
capsular_invasion_v6,0,9644,1227,3,NO_ACTION,,
chyle_leak_status,0,0,10871,3,NO_ACTION,,
cnln_earliest_date,0,9435,1436,473,NO_ACTION,,
cnln_img_first_date,0,10545,326,126,NO_ACTION,,
cnln_img_last_date,0,10545,326,151,NO_ACTION,,
cnln_img_laterality,0,10599,272,31,NO_ACTION,,
cnln_img_levels_mentioned,0,10630,241,62,NO_ACTION,,
cnln_latest_date,0,9435,1436,584,NO_ACTION,,
cnln_modalities_present,0,9435,1436,36,NO_ACTION,,
cnln_source_table,0,0,10871,1,NO_ACTION,,
cnln_surg_first_date,0,9630,1241,381,NO_ACTION,,
cnln_surg_last_date,0,9630,1241,496,NO_ACTION,,
cnln_surg_levels_mentioned,0,9766,1105,190,NO_ACTION,,
cnln_surg_source_note_types,0,9630,1241,39,NO_ACTION,,
comp_chyle_leak_timing_window,0,9283,1588,6,NO_ACTION,,
comp_hematoma_timing_window,0,10618,253,5,NO_ACTION,,
comp_hypocalcemia_evidence_source,0,10791,80,1,NO_ACTION,,
comp_hypocalcemia_timing_window,0,8994,1877,6,NO_ACTION,,
comp_hypopara_permanent_limitation_note,0,10855,16,2,NO_ACTION,,
comp_hypoparathyroidism_timing_window,0,10441,430,6,NO_ACTION,,
comp_rln_injury_timing_window,0,10140,731,6,NO_ACTION,,
comp_seroma_timing_window,0,9997,874,6,NO_ACTION,,
comp_vc_paralysis_timing_window,0,10783,88,5,NO_ACTION,,
comp_vc_paresis_timing_window,0,10800,71,4,NO_ACTION,,
comp_wound_infection_timing_window,0,10855,16,5,NO_ACTION,,
completion_histology_type,0,10683,188,11,NO_ACTION,,
completion_prior_histology,0,10486,385,15,NO_ACTION,,
completion_reason,0,10186,685,5,NO_ACTION,,
completion_t_stage,0,10761,110,8,NO_ACTION,,
concern_highest_tier,0,10622,249,2,NO_ACTION,,
cross_fna_concordance,0,5622,5249,3,NO_ACTION,,
ct_airway_comment_last,0,9880,991,983,NO_ACTION,,
ct_contrast_first,0,7837,3034,2,NO_ACTION,,
ct_exam_type_first,0,7837,3034,33,NO_ACTION,,
ct_indication_first,0,7837,3034,2504,NO_ACTION,,
ct_indication_last,0,7837,3034,2506,NO_ACTION,,
ct_ln_details_last,0,8603,2268,1348,NO_ACTION,,
ct_ln_locations_last,0,9967,904,476,NO_ACTION,,
ct_thyroid_details_last,0,8625,2246,2240,NO_ACTION,,
date_traceability_status,0,0,10871,4,NO_ACTION,,
death_integration_script,0,0,10871,1,NO_ACTION,,
death_source,0,10679,192,1,NO_ACTION,,
demo_source,0,0,10871,2,NO_ACTION,,
diagnosis_confidence,0,0,10871,2,NO_ACTION,,
diagnosis_full,0,0,10871,36,NO_ACTION,,
diagnosis_primary,0,0,10871,25,NO_ACTION,,
diagnosis_variant,0,9355,1516,9,NO_ACTION,,
ene_ct,0,10502,369,4,NO_ACTION,,
ene_grade_v9,0,9605,1266,4,NO_ACTION,,
ene_levels_v9,0,10827,44,15,NO_ACTION,,
ene_ln_concordance_status,0,9619,1252,3,NO_ACTION,,
ene_op_intraop,0,10859,12,3,NO_ACTION,,
ene_path_ct_concordance,0,9275,1596,3,NO_ACTION,,
ene_path_levels,0,10850,21,15,NO_ACTION,,
ene_path_nlp,0,10850,21,4,NO_ACTION,,
ene_path_synoptic,0,9605,1266,4,NO_ACTION,,
ene_pet,0,10808,63,2,NO_ACTION,,
ene_rai_scan,0,10671,200,2,NO_ACTION,,
ene_us,0,10406,465,3,NO_ACTION,,
