registry_domain,parquet_stem,canonical_target,note_scope,linkage_anchor_family,qa_tier,tier,parquet_on_disk,parquet_path,md_stage_table,classification
vascular_invasion,note_entities_llm_vascular_invasion,note_entities_llm_vascular_invasion,path_report,pathology,critical,v2,True,/Users/ros/THyroid 2026/THYROID_2026/processed/output/v2_parquets/note_entities_llm_vascular_invasion.parquet,v2_stage.note_entities_llm_vascular_invasion,standalone
airway_invasion,note_entities_llm_airway_invasion,note_entities_llm_airway_invasion,op_note,operative,standard,v2,True,/Users/ros/THyroid 2026/THYROID_2026/processed/output/v2_parquets/note_entities_llm_airway_invasion.parquet,v2_stage.note_entities_llm_airway_invasion,standalone
frozen_section_detail,note_entities_llm_frozen_section_detail,note_entities_llm_frozen_section_detail,op_note,operative,standard,v2,True,/Users/ros/THyroid 2026/THYROID_2026/processed/output/v2_parquets/note_entities_llm_frozen_section_detail.parquet,v2_stage.note_entities_llm_frozen_section_detail,standalone
dynamic_risk_response,note_entities_llm_dynamic_risk_response,note_entities_llm_dynamic_risk_response,all,followup,standard,v2,True,/Users/ros/THyroid 2026/THYROID_2026/processed/output/v2_parquets/note_entities_llm_dynamic_risk_response.parquet,v2_stage.note_entities_llm_dynamic_risk_response,standalone
patient_decision_adherence,note_entities_llm_patient_decision_adherence,note_entities_llm_patient_decision_adherence,all,followup,informational,v2,True,/Users/ros/THyroid 2026/THYROID_2026/processed/output/v2_parquets/note_entities_llm_patient_decision_adherence.parquet,v2_stage.note_entities_llm_patient_decision_adherence,standalone
recurrence__sub:recurrence_detailed,note_entities_llm_recurrence_detailed,note_entities_llm_recurrence,all,followup,critical,v2,True,/Users/ros/THyroid 2026/THYROID_2026/processed/output/v2_parquets/note_entities_llm_recurrence_detailed.parquet,,child-enrichment
complications__sub:complications_rln_laryngoscopy,note_entities_llm_complications_rln_laryngoscopy,note_entities_complications,all,operative,critical,v1,True,/Users/ros/THyroid 2026/THYROID_2026/processed/output/v2_parquets/note_entities_llm_complications_rln_laryngoscopy.parquet,,child-enrichment
medications__sub:medication_management,note_entities_llm_medication_management,note_entities_medications,all,followup,standard,v1,True,/Users/ros/THyroid 2026/THYROID_2026/processed/output/v2_parquets/note_entities_llm_medication_management.parquet,,child-enrichment
operative_detail__sub:operative_details,note_entities_llm_operative_details,note_entities_operative_detail,op_note,operative,standard,v1,True,/Users/ros/THyroid 2026/THYROID_2026/processed/output/v2_parquets/note_entities_llm_operative_details.parquet,,child-enrichment
operative_detail__sub:operative_v2_enrichment,note_entities_llm_operative_v2_enrichment,note_entities_operative_detail,op_note,operative,standard,v1,True,/Users/ros/THyroid 2026/THYROID_2026/processed/output/v2_parquets/note_entities_llm_operative_v2_enrichment.parquet,,child-enrichment
parathyroid_detail__sub:parathyroid_per_gland,note_entities_llm_parathyroid_per_gland,note_entities_llm_parathyroid_detail,op_note,operative,standard,v2,True,/Users/ros/THyroid 2026/THYROID_2026/processed/output/v2_parquets/note_entities_llm_parathyroid_per_gland.parquet,,child-enrichment
genetics__sub:molecular_thyroseq_afirma,note_entities_llm_molecular_thyroseq_afirma,note_entities_genetics,all,molecular,critical,v1,True,/Users/ros/THyroid 2026/THYROID_2026/processed/output/v2_parquets/note_entities_llm_molecular_thyroseq_afirma.parquet,,child-enrichment
UNCLAIMED,note_entities_llm_complications,,,,,,True,/Users/ros/THyroid 2026/THYROID_2026/processed/output/v2_parquets/note_entities_llm_complications.parquet,,unclaimed
UNCLAIMED,note_entities_llm_genetics,,,,,,True,/Users/ros/THyroid 2026/THYROID_2026/processed/output/v2_parquets/note_entities_llm_genetics.parquet,,unclaimed
UNCLAIMED,note_entities_llm_medications,,,,,,True,/Users/ros/THyroid 2026/THYROID_2026/processed/output/v2_parquets/note_entities_llm_medications.parquet,,unclaimed
UNCLAIMED,note_entities_llm_problem_list,,,,,,True,/Users/ros/THyroid 2026/THYROID_2026/processed/output/v2_parquets/note_entities_llm_problem_list.parquet,,unclaimed
UNCLAIMED,note_entities_llm_procedures,,,,,,True,/Users/ros/THyroid 2026/THYROID_2026/processed/output/v2_parquets/note_entities_llm_procedures.parquet,,unclaimed
UNCLAIMED,note_entities_llm_staging,,,,,,True,/Users/ros/THyroid 2026/THYROID_2026/processed/output/v2_parquets/note_entities_llm_staging.parquet,,unclaimed
