variable,OR_f,p_f,OR_p,p_p,delta_OR
ete_micro,0.5925904379044207,7.370822098812601e-09,0.5610767650713193,2.306321099898764e-10,-0.03151367283310136
ete_gross,22217749700.61635,0.9901427713354727,750437507.824828,0.9534835170959962,-21467312192.79152
age_at_surgery,1.0499540079963157,3.966427397258108e-63,1.0495174570050625,4.898327870675801e-62,-0.00043655099125317065
female,0.8298906203053771,0.04711627151743129,0.829661813932381,0.04706774780955665,-0.00022880637299604878
largest_tumor_cm,1.066268310457682,0.00019746140248627452,1.0589521395565704,0.0008491982056793673,-0.007316170901111585
ln_ratio,2.846017551730252,1.2423750337648747e-05,2.0564218088455353,9.383116822591472e-10,-0.7895957428847167
