variable,OR,CI_lo,CI_hi,p
ete_micro,0.5925904954970175,0.49627874435278974,0.7075932615477263,7.370891743591915e-09
ete_gross,22392470887.26888,0.0,inf,0.9901450759073356
age_at_surgery,1.0499540111781733,1.0439895829429129,1.0559525148532225,3.966392732404659e-63
female,0.8298905625776329,0.6903537245724465,0.99763110032029,0.04711649123053809
largest_tumor_cm,1.0662683179792671,1.0308441179112635,1.1029098446329826,0.00019746151517596597
ln_ratio,2.8460176655686453,1.7803567302361722,4.549546961666679,1.24237799465388e-05
