ete_grade_source,old_grade,new_grade,n
extraction_audit_engine_v7,absent,none,14
extraction_audit_engine_v7,present_ungraded,indeterminate,24
script_390_rule_a_20260422,gross,microscopic,187
tumor_episode_master_v2,absent,none,2
tumor_episode_master_v2,gross,indeterminate,2
