ete_grade_source,ete_grade_final_v2,n
extraction_audit_engine_v7,absent,14
extraction_audit_engine_v7,gross,132
extraction_audit_engine_v7,microscopic,2020
extraction_audit_engine_v7,present_ungraded,24
script_390_rule_a_20260422,gross,916
script_390_rule_a_20260422,microscopic,2
tumor_episode_master_v2,absent,2
tumor_episode_master_v2,gross,2
tumor_episode_master_v2,none,142
