Histology rule,Platform,Bethesda,Size band,TP,FP,FN,TN,n_total,n_positive_call,n_malignant,n_benign,Sensitivity (95% CI),Specificity (95% CI),PPV (95% CI),NPV (95% CI)
Strict (NIFTP=benign),Afirma,B3,2to4cm,1,1,1,0,3,2,2,1,50.0% [9.5–90.5],0.0% [0.0–79.3],50.0% [9.5–90.5],0.0% [0.0–79.3]
Strict (NIFTP=benign),Afirma,B3,all_sizes,10,18,11,5,44,28,21,23,47.6% [28.3–67.6],21.7% [9.7–41.9],35.7% [20.7–54.2],31.2% [14.2–55.6]
Strict (NIFTP=benign),Afirma,B3,lt2cm,3,4,6,4,17,7,9,8,33.3% [12.1–64.6],50.0% [21.5–78.5],42.9% [15.8–75.0],40.0% [16.8–68.7]
Strict (NIFTP=benign),Afirma,B3,unknown_size,6,13,4,1,24,19,10,14,60.0% [31.3–83.2],7.1% [1.3–31.5],31.6% [15.4–54.0],20.0% [3.6–62.4]
Strict (NIFTP=benign),Afirma,B3+B4,2to4cm,2,1,2,0,5,3,4,1,50.0% [15.0–85.0],0.0% [0.0–79.3],66.7% [20.8–93.9],0.0% [0.0–65.8]
Strict (NIFTP=benign),Afirma,B3+B4,all_sizes,32,31,19,11,93,63,51,42,62.7% [49.0–74.7],26.2% [15.3–41.1],50.8% [38.8–62.7],36.7% [21.9–54.5]
Strict (NIFTP=benign),Afirma,B3+B4,lt2cm,11,7,9,6,33,18,20,13,55.0% [34.2–74.2],46.2% [23.2–70.9],61.1% [38.6–79.7],40.0% [19.8–64.3]
Strict (NIFTP=benign),Afirma,B3+B4,unknown_size,19,23,8,5,55,42,27,28,70.4% [51.5–84.1],17.9% [7.9–35.6],45.2% [31.2–60.1],38.5% [17.7–64.5]
Strict (NIFTP=benign),Afirma,B4,2to4cm,1,0,1,0,2,1,2,0,50.0% [9.5–90.5],—,100.0% [20.7–100.0],0.0% [0.0–79.3]
Strict (NIFTP=benign),Afirma,B4,all_sizes,22,13,8,6,49,35,30,19,73.3% [55.6–85.8],31.6% [15.4–54.0],62.9% [46.3–76.8],42.9% [21.4–67.4]
