file_path	coupling_pattern	function_or_area	disposition	publication_anchor_overlap	mentions_any_pub_dataset_table	ddl_or_bq_load_heuristic	port_backlog_tier	bq_tables_substring_mentions
molecular_consolidation_20260421/08_build_master.py	duckdb.connect	other	ACTIVE	no	yes	yes	P3	molecular_test_episode_v2;molecular_testing;note_entities_genetics;thyroseq_molecular_enrichment
molecular_consolidation_20260421/09_verify.py	duckdb.connect	other	ACTIVE	no	yes	no	P4	canonical_molecular_tested_v1;molecular_variant_long
molecular_consolidation_20260421/10_deprecate.py	duckdb.connect	other	ACTIVE	no	yes	no	P4	canonical_molecular_tested_v1;molecular_results;molecular_test_episode_v2;molecular_testing;molecular_variant_long;note_entities_genetics;thyroseq_molecular_enrichment
motherduck_client.py	MotherDuckClient	connection_infra	ACTIVE	no	no	no	P5	
qc_framework_v1/01_backup_motherduck_to_local.py	duckdb.connect	other	ACTIVE	yes	yes	no	P4	canonical_cervical_ln_clinical_events_v1;canonical_fna_events_v1;canonical_path_malignant_events_v1;canonical_path_malignant_patient_rollup_v1;canonical_us_nodule_v2;manuscript_cohort_v1;recurrence_event_clean_v1;specimen_master_v1;specimen_tumor_focus_v1
qc_framework_v1/migrations/323_export_ctc_md_to_parquet.py	connect_locked	qc_migration	ACTIVE	yes	yes	no	P2	canonical_tumor_characteristics_v1
qc_framework_v1/migrations/327_bulk_md_to_bq_missing_tables.py	connect_locked	qc_migration	ACTIVE	yes	yes	no	P2	canonical_tumor_characteristics_v1;manuscript_cohort_v1;mri_imaging;note_entities_llm_airway_invasion;note_entities_llm_airway_invasion_v2;note_entities_llm_cervical_ln_detail;note_entities_llm_dynamic_risk_response;note_entities_llm_esophageal_invasion;note_entities_llm_ete_subgrade_v1;note_entities_llm_frozen_section_detail;note_entities_llm_parathyroid_detail;note_entities_llm_parathyroid_detail_v1;note_entities_llm_past_medical_hx;note_entities_llm_past_surgical_hx;note_entities_llm_pathology;note_entities_llm_presenting_symptoms;note_entities_llm_rai_detailed;note_entities_llm_recurrence;note_entities_llm_t4b_invasion_v1;note_entities_llm_tirads_granular;note_entities_llm_vascular_invasion;note_entities_llm_vascular_invasion_v2;note_entities_operative_detail;note_entities_procedures;nsqip_enrichment;nsqip_patient_summary;nuclear_med;path_synoptics;patient_completion_oed_path_linkage_v1;patient_cross_domain_timeline_v2;pub_release_manifest_v1_1;rai_treatment_episode_v2;release_manifest_v1;signoff_migration;specimen_genomic_assay_v1;specimen_master_v1;specimen_source_xref_v1;specimen_tumor_focus_v1;synoptic_tumor_long_v1;tg_postop_surveillance_windows_v1;tg_timeline_patient_summary_v1;thyroid_sizes;thyroid_weights;tumor_episode_master_v2;tumor_stage_heterogeneity_v1
qc_framework_v1/run_qc_live.py	duckdb.connect	other	DEAD	no	no	no	-	
qc_framework_v1/scripts/apply_mig178_histology_vocab_cleanup.py	connect_locked	qc_script	ACTIVE	yes	yes	yes	P0	canonical_path_malignant_events_v1;canonical_path_malignant_patient_rollup_v1;canonical_patient_master
qc_framework_v1/scripts/apply_mig180b_nlp_upstream_lineage.py	connect_locked	qc_script	ACTIVE	yes	yes	yes	P0	canonical_column_verification_registry_v1;canonical_patient_master;note_entities_complications;note_entities_genetics;note_entities_llm_functional_outcomes;note_entities_llm_imaging;note_entities_llm_labs;note_entities_llm_patient_decision_adherence;note_entities_llm_physical_exam;note_entities_llm_rad_treatment;note_entities_llm_us_nodule_dynamics;note_entities_medications;note_entities_problem_list;note_entities_staging
