race_strat,bethesda_bucket,tr_category,n,n_malignant
Asian,III_AUS,TR2,3,1.0
Asian,III_AUS,TR3,6,1.0
Asian,III_AUS,TR4,5,5.0
Asian,III_AUS,TR5,11,1.0
Asian,II_benign,TR1,3,1.0
Asian,II_benign,TR2,4,1.0
Asian,II_benign,TR3,5,1.0
Asian,II_benign,TR4,4,3.0
Asian,II_benign,TR5,11,5.0
Asian,IV_FN,TR1,2,1.0
Asian,IV_FN,TR3,1,0.0
Asian,IV_FN,TR4,1,0.0
Asian,IV_FN,TR5,3,1.0
Asian,I_nondiagnostic,TR4,1,0.0
Asian,VI_malig,TR1,3,1.0
Asian,VI_malig,TR2,2,2.0
Asian,VI_malig,TR3,6,4.0
Asian,VI_malig,TR4,10,8.0
Asian,VI_malig,TR5,40,38.0
Asian,V_susp_malig,TR2,1,1.0
Asian,V_susp_malig,TR4,3,3.0
Asian,V_susp_malig,TR5,7,6.0
Asian,missing,TR1,10,5.0
Asian,missing,TR2,10,3.0
Asian,missing,TR3,12,4.0
Asian,missing,TR4,9,7.0
Asian,missing,TR5,31,25.0
Black,III_AUS,TR1,16,7.0
Black,III_AUS,TR2,9,3.0
Black,III_AUS,TR3,41,15.0
Black,III_AUS,TR4,30,14.0
Black,III_AUS,TR5,66,31.0
Black,II_benign,TR1,65,9.0
Black,II_benign,TR2,60,7.0
Black,II_benign,TR3,205,20.0
Black,II_benign,TR4,78,11.0
Black,II_benign,TR5,158,23.0
Black,IV_FN,TR1,16,6.0
Black,IV_FN,TR2,9,3.0
Black,IV_FN,TR3,32,18.0
Black,IV_FN,TR4,13,8.0
Black,IV_FN,TR5,42,23.0
Black,I_nondiagnostic,TR1,7,2.0
Black,I_nondiagnostic,TR2,4,1.0
Black,I_nondiagnostic,TR3,7,1.0
Black,I_nondiagnostic,TR4,4,1.0
Black,I_nondiagnostic,TR5,9,2.0
Black,VI_malig,TR1,7,3.0
Black,VI_malig,TR2,8,7.0
Black,VI_malig,TR3,38,17.0
Black,VI_malig,TR4,26,21.0
Black,VI_malig,TR5,77,68.0
Black,V_susp_malig,TR1,2,2.0
Black,V_susp_malig,TR2,3,2.0
Black,V_susp_malig,TR3,8,6.0
Black,V_susp_malig,TR4,6,5.0
Black,V_susp_malig,TR5,18,16.0
Black,missing,TR1,71,8.0
Black,missing,TR2,65,11.0
Black,missing,TR3,158,23.0
Black,missing,TR4,50,11.0
Black,missing,TR5,127,36.0
Other,III_AUS,TR3,1,0.0
Other,III_AUS,TR5,5,2.0
Other,II_benign,TR1,2,1.0
Other,II_benign,TR3,2,0.0
Other,II_benign,TR4,3,0.0
Other,II_benign,TR5,7,3.0
Other,IV_FN,TR5,4,4.0
Other,I_nondiagnostic,TR3,1,1.0
Other,VI_malig,TR1,2,2.0
Other,VI_malig,TR3,2,2.0
Other,VI_malig,TR4,5,5.0
Other,VI_malig,TR5,16,16.0
Other,V_susp_malig,TR2,1,1.0
Other,V_susp_malig,TR3,1,1.0
Other,V_susp_malig,TR4,1,1.0
Other,V_susp_malig,TR5,3,3.0
