race_strat,n_above_thr,n_below_thr,tp_thr4,fp_thr4,fn_thr4,tn_thr4
Asian,136.0,68.0,102.0,34.0,26.0,42.0
Black,704.0,831.0,270.0,434.0,171.0,660.0
Other,65.0,22.0,46.0,19.0,9.0,13.0
Unknown,96.0,71.0,56.0,40.0,25.0,46.0
White,890.0,492.0,580.0,310.0,194.0,298.0
