race_strat,feature,score,n
White,composition,2.0,1519
Black,composition,0.0,11
Asian,composition,2.0,203
Unknown,composition,0.0,1
White,composition,1.0,8
Black,composition,1.0,18
Other,composition,2.0,85
Unknown,composition,1.0,2
Black,composition,2.0,1672
Unknown,composition,2.0,159
White,composition,0.0,5
Other,composition,1.0,2
Asian,composition,0.0,2
White,echogenicity,1.0,602
Asian,echogenicity,1.0,67
White,echogenicity,2.0,930
Asian,echogenicity,2.0,138
Black,echogenicity,2.0,738
Unknown,echogenicity,2.0,98
Other,echogenicity,1.0,28
Black,echogenicity,1.0,963
Unknown,echogenicity,1.0,64
Other,echogenicity,2.0,59
Other,shape,0.0,47
Black,shape,0.0,1290
White,shape,3.0,566
Asian,shape,3.0,81
Unknown,shape,0.0,95
Other,shape,3.0,40
White,shape,0.0,966
Black,shape,3.0,411
Asian,shape,0.0,124
Unknown,shape,3.0,67
Other,margin,0.0,73
Black,margin,0.0,1616
White,margin,2.0,231
Asian,margin,2.0,32
Unknown,margin,0.0,135
Other,margin,2.0,14
White,margin,0.0,1301
Asian,margin,0.0,173
Black,margin,2.0,85
Unknown,margin,2.0,27
White,foci,1.0,73
Other,foci,0.0,56
Asian,foci,1.0,10
Black,foci,0.0,1514
Asian,foci,3.0,25
Unknown,foci,0.0,130
White,foci,3.0,208
White,foci,2.0,70
Asian,foci,2.0,22
White,foci,0.0,1181
Asian,foci,0.0,148
Black,foci,3.0,87
Other,foci,1.0,10
Black,foci,2.0,57
Unknown,foci,3.0,19
Unknown,foci,2.0,7
Black,foci,1.0,43
Other,foci,3.0,18
Unknown,foci,1.0,6
Other,foci,2.0,3
