Molecular group,Mutation class,n_malignant,Path-proven recurrence n pct Wilson,Structural pct of n,Any recurrence pct
Afirma,high_risk_mutation,11,0/11 (0.0% [0.0–25.9]),7/11 (63.6%),7/11 (63.6%)
Afirma,wild_type,13,0/13 (0.0% [0.0–22.8]),7/13 (53.8%),8/13 (61.5%)
Other / historical / in-house,high_risk_mutation,17,0/17 (0.0% [0.0–18.4]),12/17 (70.6%),13/17 (76.5%)
Other / historical / in-house,no_result,1,0/1 (0.0% [0.0–79.3]),1/1 (100.0%),1/1 (100.0%)
Other / historical / in-house,ras_only,10,0/10 (0.0% [0.0–27.8]),8/10 (80.0%),8/10 (80.0%)
Other / historical / in-house,wild_type,289,6/289 (2.1% [1.0–4.5]),172/289 (59.5%),175/289 (60.6%)
ThyroSeq,high_risk_mutation,15,1/15 (6.7% [1.2–29.8]),13/15 (86.7%),13/15 (86.7%)
ThyroSeq,ras_only,15,0/15 (0.0% [0.0–20.4]),14/15 (93.3%),14/15 (93.3%)
ThyroSeq,wild_type,27,0/27 (0.0% [0.0–12.5]),24/27 (88.9%),24/27 (88.9%)
Untested,wild_type,5,0/5 (0.0% [0.0–43.4]),3/5 (60.0%),3/5 (60.0%)
