Bethesda,Era,n_total,Total thyroidectomy Wilson,Lobectomy n pct
Bethesda 1,2015_plus,25,4/25 (16.0% [6.4–34.7]),21/25 (84.0%)
Bethesda 2,2015_plus,168,81/168 (48.2% [40.8–55.7]),87/168 (51.8%)
Bethesda 2,pre_2015,2,1/2 (50.0% [9.5–90.5]),1/2 (50.0%)
Bethesda 3,2015_plus,91,35/91 (38.5% [29.1–48.7]),56/91 (61.5%)
Bethesda 4,2015_plus,64,24/64 (37.5% [26.7–49.7]),40/64 (62.5%)
Bethesda 5,2015_plus,37,28/37 (75.7% [59.9–86.6]),9/37 (24.3%)
Bethesda 6,2015_plus,183,151/183 (82.5% [76.4–87.3]),32/183 (17.5%)
Bethesda 6,pre_2015,1,1/1 (100.0% [20.7–100.0]),0/1 (0.0%)
