Molecular group,Mutation class,n_malignant,Path-proven recurrence n (%) [Wilson 95% CI],Structural recurrence n (% of n_malignant),Any recurrence (path/imaging/biochemical) n (%)
Afirma,high_risk_mutation,64,0/64 (0.0% [0.0–5.7]),31/64 (48.4%),32/64 (50.0%)
Afirma,ras_only,8,0/8 (0.0% [0.0–32.4]),6/8 (75.0%),6/8 (75.0%)
Afirma,wild_type,65,0/65 (0.0% [0.0–5.6]),38/65 (58.5%),39/65 (60.0%)
Other / historical / in-house,high_risk_mutation,86,4/86 (4.7% [1.8–11.4]),48/86 (55.8%),49/86 (57.0%)
Other / historical / in-house,no_result,28,2/28 (7.1% [2.0–22.6]),3/28 (10.7%),5/28 (17.9%)
Other / historical / in-house,ras_only,47,1/47 (2.1% [0.4–11.1]),27/47 (57.4%),27/47 (57.4%)
Other / historical / in-house,wild_type,2377,61/2377 (2.6% [2.0–3.3]),678/2377 (28.5%),755/2377 (31.8%)
ThyroSeq,high_risk_mutation,32,2/32 (6.2% [1.7–20.1]),24/32 (75.0%),24/32 (75.0%)
ThyroSeq,no_result,3,0/3 (0.0% [0.0–56.2]),1/3 (33.3%),2/3 (66.7%)
ThyroSeq,ras_only,38,1/38 (2.6% [0.5–13.5]),32/38 (84.2%),33/38 (86.8%)
ThyroSeq,wild_type,88,1/88 (1.1% [0.2–6.2]),64/88 (72.7%),65/88 (73.9%)
Untested,high_risk_mutation,1,0/1 (0.0% [0.0–79.3]),1/1 (100.0%),1/1 (100.0%)
Untested,no_result,2,0/2 (0.0% [0.0–65.8]),0/2 (0.0%),0/2 (0.0%)
Untested,ras_only,1,0/1 (0.0% [0.0–79.3]),1/1 (100.0%),1/1 (100.0%)
Untested,wild_type,253,4/253 (1.6% [0.6–4.0]),10/253 (4.0%),25/253 (9.9%)
