Histology rule,Platform,Bethesda,Size band,TP (test-pos AND malignant),FP (test-pos AND benign),FN (test-neg AND malignant),TN (test-neg AND benign),n_2x2,Intermediate-call n (% malig),Not-classifiable-call n (% malig),Sensitivity (95% CI),Specificity (95% CI),PPV (95% CI),NPV (95% CI)
Strict (NIFTP=benign),Afirma,B3,2to4cm,1,1,1,0,3,0,0,50.0% [9.5–90.5],0.0% [0.0–79.3],50.0% [9.5–90.5],0.0% [0.0–79.3]
Strict (NIFTP=benign),Afirma,B3,all_sizes,20,17,2,5,44,0,2 (50.0% malig),90.9% [72.2–97.5],22.7% [10.1–43.4],54.1% [38.4–69.0],71.4% [35.9–91.8]
Strict (NIFTP=benign),Afirma,B3,lt2cm,9,6,0,2,17,0,1 (100.0% malig),100.0% [70.1–100.0],25.0% [7.1–59.1],60.0% [35.7–80.2],100.0% [34.2–100.0]
Strict (NIFTP=benign),Afirma,B3,unknown_size,10,10,1,3,24,0,1 (0.0% malig),90.9% [62.3–98.4],23.1% [8.2–50.3],50.0% [29.9–70.1],75.0% [30.1–95.4]
Strict (NIFTP=benign),Afirma,B3+B4,2to4cm,3,1,1,0,5,0,0,75.0% [30.1–95.4],0.0% [0.0–79.3],75.0% [30.1–95.4],0.0% [0.0–79.3]
Strict (NIFTP=benign),Afirma,B3+B4,all_sizes,47,31,5,8,91,0,6 (33.3% malig),90.4% [79.4–95.8],20.5% [10.8–35.5],60.3% [49.2–70.4],61.5% [35.5–82.3]
Strict (NIFTP=benign),Afirma,B3+B4,lt2cm,19,9,1,3,32,0,2 (50.0% malig),95.0% [76.4–99.1],25.0% [8.9–53.2],67.9% [49.3–82.1],75.0% [30.1–95.4]
Strict (NIFTP=benign),Afirma,B3+B4,unknown_size,25,21,3,5,54,0,4 (25.0% malig),89.3% [72.8–96.3],19.2% [8.5–37.9],54.3% [40.2–67.8],62.5% [30.6–86.3]
Strict (NIFTP=benign),Afirma,B4,2to4cm,2,0,0,0,2,0,0,100.0% [34.2–100.0],—,100.0% [34.2–100.0],—
Strict (NIFTP=benign),Afirma,B4,all_sizes,27,14,3,3,47,0,4 (25.0% malig),90.0% [74.4–96.5],17.6% [6.2–41.0],65.9% [50.5–78.4],50.0% [18.8–81.2]
Strict (NIFTP=benign),Afirma,B4,lt2cm,10,3,1,1,15,0,1 (0.0% malig),90.9% [62.3–98.4],25.0% [4.6–69.9],76.9% [49.7–91.8],50.0% [9.5–90.5]
Strict (NIFTP=benign),Afirma,B4,unknown_size,15,11,2,2,30,0,3 (33.3% malig),88.2% [65.7–96.7],15.4% [4.3–42.2],57.7% [38.9–74.5],50.0% [15.0–85.0]
Strict (NIFTP=benign),ThyroSeq,B3,2to4cm,11,1,1,7,20,6 (66.7% malig),1 (100.0% malig),91.7% [64.6–98.5],87.5% [52.9–97.8],91.7% [64.6–98.5],87.5% [52.9–97.8]
Strict (NIFTP=benign),ThyroSeq,B3,all_sizes,47,26,26,46,145,19 (47.4% malig),10 (50.0% malig),64.4% [52.9–74.4],63.9% [52.4–74.0],64.4% [52.9–74.4],63.9% [52.4–74.0]
Strict (NIFTP=benign),ThyroSeq,B3,lt2cm,25,16,19,27,87,10 (30.0% malig),7 (42.9% malig),56.8% [42.2–70.3],62.8% [47.9–75.6],61.0% [45.7–74.3],58.7% [44.3–71.7]
Strict (NIFTP=benign),ThyroSeq,B3,unknown_size,11,9,6,12,38,3 (66.7% malig),2 (50.0% malig),64.7% [41.3–82.7],57.1% [36.5–75.5],55.0% [34.2–74.2],66.7% [43.7–83.7]
Strict (NIFTP=benign),ThyroSeq,B3+B4,2to4cm,13,4,2,12,31,6 (66.7% malig),1 (100.0% malig),86.7% [62.1–96.3],75.0% [50.5–89.8],76.5% [52.7–90.4],85.7% [60.1–96.0]
Strict (NIFTP=benign),ThyroSeq,B3+B4,all_sizes,76,43,33,74,226,26 (53.8% malig),17 (52.9% malig),69.7% [60.5–77.6],63.2% [54.2–71.4],63.9% [54.9–71.9],69.2% [59.9–77.1]
Strict (NIFTP=benign),ThyroSeq,B3+B4,lt2cm,42,25,23,47,137,16 (50.0% malig),11 (45.5% malig),64.6% [52.5–75.1],65.3% [53.8–75.2],62.7% [50.7–73.3],67.1% [55.5–77.0]
