Histology rule,Platform,Bethesda,Size band,TP (test-pos AND malignant),FP (test-pos AND benign),FN (test-neg AND malignant),TN (test-neg AND benign),n_2x2,Intermediate-call n (% malig),Not-classifiable-call n (% malig),Sensitivity (95% CI),Specificity (95% CI),PPV (95% CI),NPV (95% CI)
Strict (NIFTP=benign),Afirma,B3,2to4cm,1,1,1,0,3,0,0,50.0% [9.5–90.5],0.0% [0.0–79.3],50.0% [9.5–90.5],0.0% [0.0–79.3]
Strict (NIFTP=benign),Afirma,B3,all_sizes,4,3,1,0,8,0,0,80.0% [37.6–96.4],0.0% [0.0–56.2],57.1% [25.0–84.2],0.0% [0.0–79.3]
Strict (NIFTP=benign),Afirma,B3,lt2cm,3,2,0,0,5,0,0,100.0% [43.8–100.0],0.0% [0.0–65.8],60.0% [23.1–88.2],—
Strict (NIFTP=benign),Afirma,B3+B4,2to4cm,3,1,1,0,5,0,0,75.0% [30.1–95.4],0.0% [0.0–79.3],75.0% [30.1–95.4],0.0% [0.0–79.3]
Strict (NIFTP=benign),Afirma,B3+B4,all_sizes,8,3,2,0,13,0,1 (0.0% malig),80.0% [49.0–94.3],0.0% [0.0–56.2],72.7% [43.4–90.3],0.0% [0.0–65.8]
Strict (NIFTP=benign),Afirma,B3+B4,lt2cm,4,2,1,0,7,0,1 (0.0% malig),80.0% [37.6–96.4],0.0% [0.0–65.8],66.7% [30.0–90.3],0.0% [0.0–79.3]
Strict (NIFTP=benign),Afirma,B3+B4,unknown_size,1,0,0,0,1,0,0,100.0% [20.7–100.0],—,100.0% [20.7–100.0],—
Strict (NIFTP=benign),Afirma,B4,2to4cm,2,0,0,0,2,0,0,100.0% [34.2–100.0],—,100.0% [34.2–100.0],—
Strict (NIFTP=benign),Afirma,B4,all_sizes,4,0,1,0,5,0,1 (0.0% malig),80.0% [37.6–96.4],—,100.0% [51.0–100.0],0.0% [0.0–79.3]
Strict (NIFTP=benign),Afirma,B4,lt2cm,1,0,1,0,2,0,1 (0.0% malig),50.0% [9.5–90.5],—,100.0% [20.7–100.0],0.0% [0.0–79.3]
Strict (NIFTP=benign),Afirma,B4,unknown_size,1,0,0,0,1,0,0,100.0% [20.7–100.0],—,100.0% [20.7–100.0],—
Strict (NIFTP=benign),ThyroSeq,B3,2to4cm,11,1,1,7,20,6 (66.7% malig),0,91.7% [64.6–98.5],87.5% [52.9–97.8],91.7% [64.6–98.5],87.5% [52.9–97.8]
Strict (NIFTP=benign),ThyroSeq,B3,all_sizes,22,4,2,17,45,11 (63.6% malig),0,91.7% [74.2–97.7],81.0% [60.0–92.3],84.6% [66.5–93.9],89.5% [68.6–97.1]
Strict (NIFTP=benign),ThyroSeq,B3,lt2cm,11,3,1,10,25,5 (60.0% malig),0,91.7% [64.6–98.5],76.9% [49.7–91.8],78.6% [52.4–92.4],90.9% [62.3–98.4]
Strict (NIFTP=benign),ThyroSeq,B3+B4,2to4cm,13,4,2,11,30,6 (66.7% malig),0,86.7% [62.1–96.3],73.3% [48.0–89.1],76.5% [52.7–90.4],84.6% [57.8–95.7]
Strict (NIFTP=benign),ThyroSeq,B3+B4,all_sizes,31,9,4,27,71,13 (61.5% malig),0,88.6% [74.0–95.5],75.0% [58.9–86.2],77.5% [62.5–87.7],87.1% [71.1–94.9]
Strict (NIFTP=benign),ThyroSeq,B3+B4,lt2cm,17,5,2,16,40,7 (57.1% malig),0,89.5% [68.6–97.1],76.2% [54.9–89.4],77.3% [56.6–89.9],88.9% [67.2–96.9]
Strict (NIFTP=benign),ThyroSeq,B3+B4,unknown_size,1,0,0,0,1,0,0,100.0% [20.7–100.0],—,100.0% [20.7–100.0],—
Strict (NIFTP=benign),ThyroSeq,B4,2to4cm,2,3,1,4,10,0,0,66.7% [20.8–93.9],57.1% [25.0–84.2],40.0% [11.8–76.9],80.0% [37.6–96.4]
Strict (NIFTP=benign),ThyroSeq,B4,all_sizes,9,5,2,10,26,2 (50.0% malig),0,81.8% [52.3–94.9],66.7% [41.7–84.8],64.3% [38.8–83.7],83.3% [55.2–95.3]
Strict (NIFTP=benign),ThyroSeq,B4,lt2cm,6,2,1,6,15,2 (50.0% malig),0,85.7% [48.7–97.4],75.0% [40.9–92.9],75.0% [40.9–92.9],85.7% [48.7–97.4]
Strict (NIFTP=benign),ThyroSeq,B4,unknown_size,1,0,0,0,1,0,0,100.0% [20.7–100.0],—,100.0% [20.7–100.0],—
Inclusive (NIFTP=malignant),Afirma,B3,2to4cm,1,1,1,0,3,0,0,50.0% [9.5–90.5],0.0% [0.0–79.3],50.0% [9.5–90.5],0.0% [0.0–79.3]
Inclusive (NIFTP=malignant),Afirma,B3,all_sizes,4,3,1,0,8,0,0,80.0% [37.6–96.4],0.0% [0.0–56.2],57.1% [25.0–84.2],0.0% [0.0–79.3]
Inclusive (NIFTP=malignant),Afirma,B3,lt2cm,3,2,0,0,5,0,0,100.0% [43.8–100.0],0.0% [0.0–65.8],60.0% [23.1–88.2],—
Inclusive (NIFTP=malignant),Afirma,B3+B4,2to4cm,3,1,1,0,5,0,0,75.0% [30.1–95.4],0.0% [0.0–79.3],75.0% [30.1–95.4],0.0% [0.0–79.3]
Inclusive (NIFTP=malignant),Afirma,B3+B4,all_sizes,8,3,2,0,13,0,1 (0.0% malig),80.0% [49.0–94.3],0.0% [0.0–56.2],72.7% [43.4–90.3],0.0% [0.0–65.8]
Inclusive (NIFTP=malignant),Afirma,B3+B4,lt2cm,4,2,1,0,7,0,1 (0.0% malig),80.0% [37.6–96.4],0.0% [0.0–65.8],66.7% [30.0–90.3],0.0% [0.0–79.3]
Inclusive (NIFTP=malignant),Afirma,B3+B4,unknown_size,1,0,0,0,1,0,0,100.0% [20.7–100.0],—,100.0% [20.7–100.0],—
