domain,detail,reason
imaging_fna_link,5f9eafe7ec13e4ea372f7402c412aac6,no_primary_linkage_row
imaging_fna_link,ec58c3610008341362199ae54a6da0c9,no_primary_linkage_row
imaging_fna_link,1aaa09437ec80fcf6a20000802911660,no_primary_linkage_row
imaging_fna_link,c6bf5349710c5d00ceadb743b4563bf0,no_primary_linkage_row
imaging_fna_link,888398ecb9803e5cb67b373cd398492b,no_primary_linkage_row
imaging_fna_link,e0e5c2bc3a58ef3c673a40e391912951,no_primary_linkage_row
imaging_fna_link,e6747d870d86be256086e47c3386ddfd,no_primary_linkage_row
imaging_fna_link,4187a83cbf6a561a50433c5efdbe110a,no_primary_linkage_row
imaging_fna_link,3553d73b7bd2048b07680c855b0ca19b,no_primary_linkage_row
imaging_fna_link,6472c26cfdceddea50535a67a00ad628,no_primary_linkage_row
imaging_fna_link,92e9cbfffd1d379713e6835c02a8e669,no_primary_linkage_row
imaging_fna_link,34940d69a2e09fe21ff22ef2bdbf2958,no_primary_linkage_row
imaging_fna_link,c7531953dee50395eb5504ffd9042652,no_primary_linkage_row
imaging_fna_link,9714e02f279c24eeb8e0342e08c31a74,no_primary_linkage_row
imaging_fna_link,2d63084ab8e0bb9a6f8f27840b7cdba5,no_primary_linkage_row
imaging_fna_link,fe610d6017139e4ffddd2384202440d6,no_primary_linkage_row
imaging_fna_link,d818ab6a6ebd4e6b8c8fbeb0644500d7,no_primary_linkage_row
imaging_fna_link,2acdca6403c898033844fb74a6dd1bfa,no_primary_linkage_row
imaging_fna_link,f1d7cadf7c166828dcdd29bbd57a9b57,no_primary_linkage_row
imaging_fna_link,5770cda36219b44c3754ca8d8dc18fe4,no_primary_linkage_row
imaging_fna_link,21a4cfda9252020c614cd4dc3ff94542,no_primary_linkage_row
imaging_fna_link,f988f171b4c9ea3de580361e418e9180,no_primary_linkage_row
imaging_fna_link,1f458d85772a9a06233f81fe88082c64,no_primary_linkage_row
imaging_fna_link,e1eba42463b7ac4185489d1ed93db2a4,no_primary_linkage_row
imaging_fna_link,7d3e39918d03a908eb8367e400eb51d2,no_primary_linkage_row
imaging_fna_link,f2a022daa5ccb122fb764e6b9b1b9f41,no_primary_linkage_row
imaging_fna_link,172b06eaeb612209f242f4b3a10940f8,no_primary_linkage_row
imaging_fna_link,c3b059eb1131753a32076c33692bcd44,no_primary_linkage_row
imaging_fna_link,73770077a779c2bdb9c5ea33d6088069,no_primary_linkage_row
imaging_fna_link,e441c9f079304363742513dca117d6e7,no_primary_linkage_row
imaging_fna_link,88f3a7411d66a1358ef068c4e777d284,no_primary_linkage_row
imaging_fna_link,9556fc010bcdf0884ebfffd53b2d0b75,no_primary_linkage_row
imaging_fna_link,6107ef59fe774872079aefb9041152f3,no_primary_linkage_row
imaging_fna_link,c31e4d6cc1b2e42969f9d7bb869328a4,no_primary_linkage_row
imaging_fna_link,7acd2ed34e946271b997bed2a4aec339,no_primary_linkage_row
imaging_fna_link,20f3781b30fb8b284c47911e1641dd53,no_primary_linkage_row
