col_name,family,metric_kind,data_type,description_inferred
nlp_airway_has_data,nlp_airway,has_data,BOOLEAN,Boolean presence flag for validated airway NLP/source rows.
nlp_airway_key_finding,nlp_airway,key_finding,VARCHAR,Text rollup for key finding in the airway NLP/source cluster.
nlp_airway_n_entities,nlp_airway,n_entities,BIGINT,Count of validated airway NLP/source rows per patient.
nlp_airway_n_notes,nlp_airway,n_notes,BIGINT,Count of distinct notes contributing validated airway NLP/source rows.
nlp_dynrisk_has_data,nlp_dynrisk,has_data,BOOLEAN,Boolean presence flag for validated dynrisk NLP/source rows.
nlp_dynrisk_key_finding,nlp_dynrisk,key_finding,VARCHAR,Text rollup for key finding in the dynrisk NLP/source cluster.
nlp_dynrisk_n_entities,nlp_dynrisk,n_entities,BIGINT,Count of validated dynrisk NLP/source rows per patient.
nlp_dynrisk_n_notes,nlp_dynrisk,n_notes,BIGINT,Count of distinct notes contributing validated dynrisk NLP/source rows.
nlp_frozensec_has_data,nlp_frozensec,has_data,BOOLEAN,Boolean presence flag for validated frozensec NLP/source rows.
nlp_frozensec_key_finding,nlp_frozensec,key_finding,VARCHAR,Text rollup for key finding in the frozensec NLP/source cluster.
nlp_frozensec_n_entities,nlp_frozensec,n_entities,BIGINT,Count of validated frozensec NLP/source rows per patient.
nlp_frozensec_n_notes,nlp_frozensec,n_notes,BIGINT,Count of distinct notes contributing validated frozensec NLP/source rows.
nlp_funcoutcome_has_data,nlp_funcoutcome,has_data,BOOLEAN,Boolean presence flag for validated funcoutcome NLP/source rows.
nlp_funcoutcome_key_finding,nlp_funcoutcome,key_finding,VARCHAR,Text rollup for key finding in the funcoutcome NLP/source cluster.
nlp_funcoutcome_n_entities,nlp_funcoutcome,n_entities,BIGINT,Count of validated funcoutcome NLP/source rows per patient.
nlp_funcoutcome_n_notes,nlp_funcoutcome,n_notes,BIGINT,Count of distinct notes contributing validated funcoutcome NLP/source rows.
nlp_imaging_has_data,nlp_imaging,has_data,BOOLEAN,Boolean presence flag for validated imaging NLP/source rows.
nlp_imaging_key_finding,nlp_imaging,key_finding,VARCHAR,Text rollup for key finding in the imaging NLP/source cluster.
nlp_imaging_n_entities,nlp_imaging,n_entities,BIGINT,Count of validated imaging NLP/source rows per patient.
nlp_imaging_n_notes,nlp_imaging,n_notes,BIGINT,Count of distinct notes contributing validated imaging NLP/source rows.
nlp_labs_has_data,nlp_labs,has_data,BOOLEAN,Boolean presence flag for validated labs NLP/source rows.
nlp_labs_key_finding,nlp_labs,key_finding,VARCHAR,Text rollup for key finding in the labs NLP/source cluster.
nlp_labs_n_entities,nlp_labs,n_entities,BIGINT,Count of validated labs NLP/source rows per patient.
nlp_labs_n_notes,nlp_labs,n_notes,BIGINT,Count of distinct notes contributing validated labs NLP/source rows.
nlp_ln_has_data,nlp_ln,has_data,BOOLEAN,Boolean presence flag for validated ln NLP/source rows.
nlp_ln_levels_mentioned,nlp_ln,levels_mentioned,VARCHAR,Boolean rollup indicating levels mentioned in the ln NLP/source cluster.
nlp_ln_n_entities,nlp_ln,n_entities,BIGINT,Count of validated ln NLP/source rows per patient.
nlp_ln_n_notes,nlp_ln,n_notes,BIGINT,Count of distinct notes contributing validated ln NLP/source rows.
nlp_ln_positive_mentioned,nlp_ln,positive_mentioned,BOOLEAN,Boolean rollup indicating positive mentioned in the ln NLP/source cluster.
nlp_ne_complications_has_data,nlp_ne_complications,has_data,BOOLEAN,Boolean presence flag for validated note entities complications NLP/source rows.
nlp_ne_complications_n_rows,nlp_ne_complications,n_rows,BIGINT,Count of validated note entities complications NLP/source rows per patient.
nlp_ne_genetics_has_data,nlp_ne_genetics,has_data,BOOLEAN,Boolean presence flag for validated note entities genetics NLP/source rows.
nlp_ne_genetics_n_rows,nlp_ne_genetics,n_rows,BIGINT,Count of validated note entities genetics NLP/source rows per patient.
nlp_ne_medications_has_data,nlp_ne_medications,has_data,BOOLEAN,Boolean presence flag for validated note entities medications NLP/source rows.
nlp_ne_medications_n_rows,nlp_ne_medications,n_rows,BIGINT,Count of validated note entities medications NLP/source rows per patient.
nlp_ne_operative_has_data,nlp_ne_operative,has_data,BOOLEAN,Boolean presence flag for validated note entities operative NLP/source rows.
nlp_ne_operative_n_rows,nlp_ne_operative,n_rows,BIGINT,Count of validated note entities operative NLP/source rows per patient.
