term,coef_logit,se,or,or_ci_low,or_ci_high,pvalue
"C(lvi_clean, Treatment(reference='missing'))[T.focal]",-20.353020873162038,32283.701005518058,1.4480893006541385e-09,1.3887943864964021e-11,72004899337.38588,0.9994969796046037
"C(ajcc8_n_fac, Treatment(reference='N0'))[T.missing]",-20.34767339066223,14166.91178007307,1.4558536742713505e-09,1.3887943864964021e-11,72004899337.38588,0.9988540135551914
"C(ajcc8_n_fac, Treatment(reference='N0'))[T.Nx]",-0.7761875781052628,0.5474995528041607,0.4601569840219628,0.15735246605864314,1.3456697263662498,0.1562797240246736
"C(lvi_clean, Treatment(reference='missing'))[T.indeterminate]",-0.3309873867850281,0.4295712841042406,0.7182142279738923,0.3094583918948697,1.6668854061626948,0.4409996109864299
"C(histology_fac, Treatment(reference='PTC'))[T.follicular-like]",-0.31936624227574517,0.28332531316368187,0.7266093854941721,0.4169980839720688,1.2660998200739504,0.25965502230316007
"C(lvi_clean, Treatment(reference='missing'))[T.present]",-0.19874531291397654,0.2378607692552759,0.8197586486896278,0.5143024029242229,1.3066325148017193,0.40340633946750315
age10,0.0019597920124555003,0.04655455699529075,1.0019617136599597,0.9145844562706281,1.0976867896203761,0.9664216315274249
"C(ajcc8_n_fac, Treatment(reference='N0'))[T.N1a]",0.04429097809207809,0.1823170310506643,1.0452864661030292,0.7312178578087242,1.4942520680395825,0.8080566431729559
tumor_size_cm,0.0588068798026249,0.03315514128376406,1.0605704033960475,0.9938430292893878,1.131777903965287,0.07611475462990556
"C(vasc_clean, Treatment(reference='missing'))[T.indeterminate]",0.0609391000996239,0.6628774679308785,1.06283418572021,0.28988329639874416,3.896797505647641,0.9267527275479167
"C(sex_lc, Treatment(reference='female'))[T.male]",0.18787602242682613,0.1629229022231242,1.2066839043335444,0.8768257472603137,1.6606333122941026,0.24884509981713443
"C(vasc_clean, Treatment(reference='missing'))[T.extensive]",0.3984952201071651,0.3301858762269038,1.489581518001715,0.7798472549195241,2.8452406349769954,0.22747778963009424
"C(lvi_clean, Treatment(reference='missing'))[T.extensive]",0.4384210212071056,0.45105602241101606,1.550257461308041,0.6404190586716134,3.7526962444345173,0.3310565404061224
"C(ete_group, Treatment(reference='Microscopic ETE'))[T.No/negative ETE]",0.4473850558116095,0.3137090123215609,1.5642164939913188,0.8457991913982197,2.892853605156147,0.15383521617198792
"C(vasc_clean, Treatment(reference='missing'))[T.focal]",0.4510172070838691,0.290740066760624,1.5699082954044974,0.8879650875102204,2.7755731510688335,0.12083628141691699
"C(ete_group, Treatment(reference='Microscopic ETE'))[T.Gross ETE]",0.49221852279816924,0.16517034042083636,1.6359415706778353,1.1835171067725436,2.261314861743028,0.0028818624368514207
"C(vasc_clean, Treatment(reference='missing'))[T.present_ungraded]",0.5013493343736075,0.2341490723640414,1.650947448574578,1.0433384140062243,2.6124097812990605,0.03226158280874388
"C(histology_fac, Treatment(reference='PTC'))[T.MTC-like]",0.6290973678220391,0.3596692785010128,1.8759165521945078,0.9269631515839638,3.796335274799296,0.08027381558699881
"C(histology_fac, Treatment(reference='PTC'))[T.other]",1.2936384807160055,0.25019337430127087,3.6460284551705002,2.2328269604970874,5.953673854311347,2.3340037280989893e-07
"C(ajcc8_n_fac, Treatment(reference='N0'))[T.N1b]",1.5145516624716258,0.32261880106653834,4.547381907785477,2.4162830547805623,8.558054560016208,2.6718789317530166e-06
rai_received_flag,1.5747684543085674,0.15389356958554373,4.829623210188446,3.57206050109927,6.529917493058363,1.4131161178952268e-24
