metric,no_recurrence,recurred
Tumor size mean (cm),3.24,3.61
Tumor size median (cm),2.0,2.5
Lateral LN+ rate (%),31.9,65.5
>=2 surgeries (%),14.7,34.5
Median days to 2nd surgery,147.0,679.0
n,163.0,29.0
